[Heroes Archive] (Data_41_muspell01)


Heroes Message Name: Message


MID_MISSION_M201712A_TITLE: １２月任務Ａ
MID_MISSION_S201712ARENA01_A8: 在縛鎖鬥技場達成5連勝
MID_MISSION_H_S201712ARENA01_A8: 在縛鎖鬥技場達成5連勝。
MID_MISSION_S201712ARENA01_A9: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A9: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A10: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A10: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A11: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A11: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A12: 在縛鎖鬥技場達成7連勝
MID_MISSION_H_S201712ARENA01_A12: 在縛鎖鬥技場達成7連勝。
MID_MISSION_M201712B_TITLE: １２月任務Ｂ
MID_MISSION_M201712B_A1: 特殊:突破修練之塔・第1層
MID_MISSION_H_M201712B_A1: 在4人皆生存的狀態下\n過關修練之塔・第1層。
MID_MISSION_M201712B_A2: 特殊:突破修練之塔・第2層
MID_MISSION_H_M201712B_A2: 在4人皆生存的狀態下\n過關修練之塔・第2層。
MID_MISSION_M201712B_A3: 特殊:突破修練之塔・第3層
MID_MISSION_H_M201712B_A3: 在4人皆生存的狀態下\n過關修練之塔・第3層。
MID_MISSION_M201712B_A4: 特殊:突破修練之塔・第4層
MID_MISSION_H_M201712B_A4: 在4人皆生存的狀態下\n過關修練之塔・第4層。
MID_MISSION_M201712B_A5: 特殊:突破修練之塔・第5層
MID_MISSION_H_M201712B_A5: 在4人皆生存的狀態下\n過關修練之塔・第5層。
MID_MISSION_M201712B_A6: 特殊:突破修練之塔・第6層
MID_MISSION_H_M201712B_A6: 在4人皆生存的狀態下\n過關修練之塔・第6層。
MID_MISSION_M201712B_A7: 特殊:突破修練之塔・第7層
MID_MISSION_H_M201712B_A7: 在4人皆生存的狀態下\n過關修練之塔・第7層。
MID_MISSION_M201712B_A8: 特殊:突破修練之塔・第8層
MID_MISSION_H_M201712B_A8: 在4人皆生存的狀態下\n過關修練之塔・第8層。
MID_MISSION_M201712B_A9: 特殊:突破修練之塔・第9層
MID_MISSION_H_M201712B_A9: 在4人皆生存的狀態下\n過關修練之塔・第9層。
MID_MISSION_M201712B_A10: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201712B_A10: 在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201712B_A11: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201712B_A11: 我軍全員為步行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201712B_A12: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201712B_A12: 我軍全員為重裝，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201712B_A13: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201712B_A13: 我軍全員為騎馬，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201712B_A14: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201712B_A14: 我軍全員為飛行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201712C_TITLE: １２月任務Ｃ
MID_MISSION_M201712C_A1: 特殊:突破第4章-第1節
MID_MISSION_H_M201712C_A1: 在4人皆生存的狀態下\n過關第4章-第1節。
MID_MISSION_M201712C_A2: 特殊:突破第4章-第2節
MID_MISSION_H_M201712C_A2: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關第4章-第2節。
MID_MISSION_M201712C_A3: 特殊:突破第4章-第3節
MID_MISSION_H_M201712C_A3: 我軍內有青屬性成員，\n且在4人皆生存的狀態下\n過關第4章-第3節。
MID_MISSION_M201712C_A4: 特殊:突破第4章-第4節
MID_MISSION_H_M201712C_A4: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關第4章-第4節。
MID_MISSION_M201712C_A5: 特殊:突破第4章-第5節
MID_MISSION_H_M201712C_A5: 我軍內有無屬性成員，\n且在4人皆生存的狀態下\n過關第4章-第5節。
MID_MISSION_M201712C_A6: 特殊:突破第7章-第1節(困難)
MID_MISSION_H_M201712C_A6: 在4人皆生存的狀態下\n過關第7章-第1節(困難以上)。
MID_MISSION_M201712C_A7: 特殊:突破第7章-第2節(困難)
MID_MISSION_H_M201712C_A7: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關第7章-第2節(困難)。
MID_MISSION_M201712C_A8: 特殊:突破第7章-第3節(困難)
MID_MISSION_H_M201712C_A8: 我軍內有青屬性成員，\n且在4人皆生存的狀態下\n過關第7章-第3節(困難)。
MID_MISSION_M201712C_A9: 特殊:突破第7章-第4節(困難)
MID_MISSION_H_M201712C_A9: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關第7章-第4節(困難)。
MID_MISSION_M201712C_A10: 特殊:突破第7章-第5節(困難)
MID_MISSION_H_M201712C_A10: 我軍內有無屬性成員，\n且在4人皆生存的狀態下\n過關第7章-第5節(困難)。
MID_MISSION_M201712C_A11: 特殊:突破第10章-第1節(超難)
MID_MISSION_H_M201712C_A11: 在4人皆生存的狀態下\n過關第10章-第1節(超難)。
MID_MISSION_M201712C_A12: 特殊:突破第10章-第2節(超難)
MID_MISSION_H_M201712C_A12: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關第10章-第2節(超難)。
MID_MISSION_M201712C_A13: 特殊:突破第10章-第3節(超難)
MID_MISSION_H_M201712C_A13: 我軍內有青屬性成員，\n且在4人皆生存的狀態下\n過關第10章-第3節(超難)。
MID_MISSION_M201712C_A14: 特殊:突破第10章-第4節(超難)
MID_MISSION_H_M201712C_A14: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關第10章-第4節(超難)。
MID_MISSION_M201712C_A15: 特殊:突破第10章-第5節(超難)
MID_MISSION_H_M201712C_A15: 我軍內有無屬性成員，\n且在4人皆生存的狀態下\n過關第10章-第5節(超難)。
MID_MISSION_S201712RENSEI01_TITLE: 武器鍊成
MID_MISSION_S201712RENSEI01_A1: 擊敗敵人
MID_MISSION_H_S201712RENSEI01_A1: 擊敗敵人。
MID_MISSION_S201712RENSEI01_A2: 以赤屬性擊敗敵人
MID_MISSION_H_S201712RENSEI01_A2: 以赤屬性的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A3: 以青屬性擊敗敵人
MID_MISSION_H_S201712RENSEI01_A3: 以青屬性的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A4: 以綠屬性擊敗敵人
MID_MISSION_H_S201712RENSEI01_A4: 以綠屬性的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A5: 以無屬性擊敗敵人
MID_MISSION_H_S201712RENSEI01_A5: 以無屬性的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A6: 以步行擊敗敵人
MID_MISSION_H_S201712RENSEI01_A6: 以步行的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A7: 以重裝擊敗敵人
MID_MISSION_H_S201712RENSEI01_A7: 以重裝的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A8: 以騎馬擊敗敵人
MID_MISSION_H_S201712RENSEI01_A8: 以騎馬的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A9: 以飛行擊敗敵人
MID_MISSION_H_S201712RENSEI01_A9: 以飛行的我方擊敗敵人。
MID_MISSION_S201712RENSEI01_A10: 在鬥技場獲勝
MID_MISSION_H_S201712RENSEI01_A10: 在鬥技場獲勝。
MID_MISSION_S201712RENSEI01_A11: 在縛鎖鬥技場達成7連勝
MID_MISSION_H_S201712RENSEI01_A11: 在縛鎖鬥技場達成7連勝。
MID_MISSION_S201712RENSEI01_A12: 以菲約爾姆擊敗敵人
MID_MISSION_H_S201712RENSEI01_A12: 以菲約爾姆擊敗敵人。
MID_MISSION_S201712RENSEI01_A13: 特殊：擊敗LV20以上
MID_MISSION_H_S201712RENSEI01_A13: 以菲約爾姆\n擊敗等級20以上的敵人。
MID_MISSION_S201712RENSEI01_A14: 特殊：擊敗LV40以上
MID_MISSION_H_S201712RENSEI01_A14: 以菲約爾姆\n擊敗等級40以上的敵人。
MID_MISSION_S201712RENSEI01_A15: 特殊：突破修練之塔・第1層
MID_MISSION_H_S201712RENSEI01_A15: 將菲約爾姆編入我軍，\n過關修練之塔・第1層。
MID_MISSION_S201712RENSEI01_A16: 特殊：突破修練之塔・第5層
MID_MISSION_H_S201712RENSEI01_A16: 將菲約爾姆編入我軍，\n過關修練之塔・第5層。
MID_MISSION_S201712RENSEI01_A17: 特殊：突破修練之塔・第9層
MID_MISSION_H_S201712RENSEI01_A17: 將菲約爾姆編入我軍，\n過關修練之塔・第9層。
MID_MISSION_S201712RENSEI01_A18: 特殊：突破修練之塔・第10層
MID_MISSION_H_S201712RENSEI01_A18: 包含菲約爾姆在內編組3人部隊，\n且於全員生存的狀態下，\n過關修練之塔・第10層。
MID_MISSION_S201711SENKA03_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201711SENKA03_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201711SENKA03_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201711SENKA03_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201711SENKA03_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201711SENKA03_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201711SENKA03_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201711SENKA03_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201711SENKA03_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201711STORY02_TITLE: 炎
MID_MISSION_S201711STORY02_A1: 特殊:突破第1章-第1節(超難)
MID_MISSION_H_S201711STORY02_A1: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關<第2部>第1章-第1節(超難)。
MID_MISSION_S201711STORY02_A2: 特殊:突破第1章-第2節(超難)
MID_MISSION_H_S201711STORY02_A2: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關<第2部>第1章-第2節(超難)。
MID_MISSION_S201711STORY02_A3: 特殊:突破第1章-第3節(超難)
MID_MISSION_H_S201711STORY02_A3: 我軍內有成員武器為槍，\n且在4人皆生存的狀態下\n過關<第2部>第1章-第3節(超難)。
MID_MISSION_S201711STORY02_A4: 特殊:突破第1章-第4節(超難)
MID_MISSION_H_S201711STORY02_A4: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關<第2部>第1章-第4節(超難)。
MID_MISSION_S201711STORY02_A5: 特殊:突破第1章-第5節(超難)
MID_MISSION_H_S201711STORY02_A5: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關<第2部>第1章-第5節(超難)。
MID_MISSION_S201711STORY03_TITLE: 冰之公主
MID_MISSION_S201711STORY03_A1: 特殊:突破第2章-第1節(超難)
MID_MISSION_H_S201711STORY03_A1: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關<第2部>第2章-第1節(超難)。
MID_MISSION_S201711STORY03_A2: 特殊:突破第2章-第2節(超難)
MID_MISSION_H_S201711STORY03_A2: 我軍內有成員武器為槍，\n且在4人皆生存的狀態下\n過關<第2部>第2章-第2節(超難)。
MID_MISSION_S201711STORY03_A3: 特殊:突破第2章-第3節(超難)
MID_MISSION_H_S201711STORY03_A3: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關<第2部>第2章-第3節(超難)。
MID_MISSION_S201711STORY03_A4: 特殊:突破第2章-第4節(超難)
MID_MISSION_H_S201711STORY03_A4: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關<第2部>第2章-第4節(超難)。
MID_MISSION_S201711STORY03_A5: 特殊:突破第2章-第5節(超難)
MID_MISSION_H_S201711STORY03_A5: 我軍內有成員武器為槍，\n且在4人皆生存的狀態下\n過關<第2部>第2章-第5節(超難)。
MID_MISSION_S201712HERO01_TITLE: 大英雄戰
MID_MISSION_S201712HERO01_A1: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201712HERO01_A1: 將夏蓉編入我軍，\n過關大英雄戰・傲慢的王子貝爾克特。
MID_MISSION_S201712HERO01_A2: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201712HERO01_A2: 將傲慢的王子貝爾克特編入我軍，\n過關大英雄戰・傲慢的王子貝爾克特(超難以上)。
MID_MISSION_S201712HERO01_A3: 特殊:擊敗傲慢的王子貝爾克特
MID_MISSION_H_S201712HERO01_A3: 以夏蓉\n擊敗等級40以上的傲慢的王子貝爾克特
MID_MISSION_S201712HERO01_A4: 特殊:擊敗傲慢的王子貝爾克特
MID_MISSION_H_S201712HERO01_A4: 以傲慢的王子貝爾克特\n擊敗等級40以上的傲慢的王子貝爾克特
MID_MISSION_S201712HERO01_A5: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201712HERO01_A5: 我軍全員為步行，\n過關大英雄戰・傲慢的王子貝爾克特(超難以上)。
MID_MISSION_S201712VMAP01_TITLE: 來自開發者的感謝函
MID_MISSION_S201712VMAP01_A1: 特殊:突破鐵臂艾爾菲
MID_MISSION_H_S201712VMAP01_A1: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關鐵臂艾爾菲　Shingoroid。
MID_MISSION_S201712VMAP01_A2: 特殊:突破漆黑與三色美人
MID_MISSION_H_S201712VMAP01_A2: 我軍內有青屬性成員，\n且在4人皆生存的狀態下\n過關漆黑與三色美人　Taroimo。
MID_MISSION_S201712VMAP01_A3: 特殊:突破最美的四人
MID_MISSION_H_S201712VMAP01_A3: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關最美的四人　Rokumoji。
MID_MISSION_S201712VMAP01_A4: 特殊:突破輕飄飄日常系
MID_MISSION_H_S201712VMAP01_A4: 我軍內有無屬性成員，\n且在4人皆生存的狀態下\n過關輕飄飄日常系　Arayang。
MID_MISSION_S201712VMAP01_A5: 特殊:突破鐵壁之進軍
MID_MISSION_H_S201712VMAP01_A5: 在4人皆生存的狀態下\n過關鐵壁之進軍　ryo。
MID_MISSION_S201712VMAP01_A6: 特殊:突破鐵臂艾爾菲
MID_MISSION_H_S201712VMAP01_A6: 我軍內有赤屬性成員，\n且在4人皆生存的狀態下\n過關鐵臂艾爾菲　Shingoroid(超難)。
MID_MISSION_S201712VMAP01_A7: 特殊:突破漆黑與三色美人
MID_MISSION_H_S201712VMAP01_A7: 我軍內有青屬性成員，\n且在4人皆生存的狀態下\n過關漆黑與三色美人　Taroimo(超難)。
MID_MISSION_S201712VMAP01_A8: 特殊:突破最美的四人
MID_MISSION_H_S201712VMAP01_A8: 我軍內有綠屬性成員，\n且在4人皆生存的狀態下\n過關最美的四人　Rokumoji(超難)。
MID_MISSION_S201712VMAP01_A9: 特殊:突破輕飄飄日常系
MID_MISSION_H_S201712VMAP01_A9: 我軍內有無屬性成員，\n且在4人皆生存的狀態下\n過關輕飄飄日常系　Arayang(超難)。
MID_MISSION_S201712VMAP01_A10: 特殊:突破鐵壁之進軍
MID_MISSION_H_S201712VMAP01_A10: 在4人皆生存的狀態下\n過關鐵壁之進軍　ryo(超難)。
MID_MISSION_S201712VOTE01_TITLE: 投票大戰
MID_MISSION_S201712VOTE01_A1: 在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A1: 過關投票大戰。
MID_MISSION_S201712VOTE01_A2: 在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A2: 過關投票大戰。
MID_MISSION_S201712VOTE01_A3: 在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A3: 過關投票大戰。
MID_MISSION_S201712VOTE01_A4: 在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A4: 過關投票大戰。
MID_MISSION_S201712VOTE01_A5: 在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A5: 過關投票大戰。
MID_MISSION_S201712VOTE01_A6: 突破修練之塔・第2層
MID_MISSION_H_S201712VOTE01_A6: 過關修練之塔・第2層。
MID_MISSION_S201712VOTE01_A7: 突破修練之塔・第5層
MID_MISSION_H_S201712VOTE01_A7: 過關修練之塔・第5層。
MID_MISSION_S201712VOTE01_A8: 突破修練之塔・第8層
MID_MISSION_H_S201712VOTE01_A8: 過關修練之塔・第8層。
MID_MISSION_S201712VOTE01_A9: 在鬥技場獲勝
MID_MISSION_H_S201712VOTE01_A9: 在鬥技場獲勝。
MID_MISSION_S201712VOTE01_A10: 在鬥技場獲勝
MID_MISSION_H_S201712VOTE01_A10: 在鬥技場獲勝。
MID_MISSION_S201712VOTE01_A11: 在鬥技場(中級以上)獲勝
MID_MISSION_H_S201712VOTE01_A11: 在鬥技場(中級以上)獲勝。
MID_MISSION_S201712VOTE01_A12: 在鬥技場(中級以上)獲勝
MID_MISSION_H_S201712VOTE01_A12: 在鬥技場(中級以上)獲勝。
MID_MISSION_S201712VOTE01_A13: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A13: 我軍內有赤屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A14: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A14: 我軍內有綠屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A15: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A15: 我軍內有青屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A16: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A16: 我軍內有無屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A17: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A17: 我軍內有赤屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A18: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A18: 我軍內有青屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A19: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A19: 我軍內有綠屬性成員，\n過關投票大戰。
MID_MISSION_S201712VOTE01_A20: 特殊:在投票大戰獲勝
MID_MISSION_H_S201712VOTE01_A20: 我軍內有無屬性成員，\n過關投票大戰。
MEID_ラウアマムクート: 赤紅龍族
MEID_ブラーマムクート: 蒼藍龍族
MEID_グルンマムクート: 翠綠龍族
MEID_ソードドラゴン: 劍飛龍騎士
MEID_ランスドラゴン: 槍飛龍騎士
MEID_アクスドラゴン: 斧飛龍騎士
MEID_H_ラウアマムクート: 赤屬性的龍族。\n戰鬥時會化身為龍。
MEID_H_ブラーマムクート: 青屬性的龍族。\n戰鬥時會化身為龍。
MEID_H_グルンマムクート: 綠屬性的龍族。\n戰鬥時會化身為龍。
MEID_H_ソードドラゴン: 騎乘飛龍、用劍戰鬥的飛行兵。\n雖然能在山岳及河川移動，但弱點是弓箭。
MEID_H_ランスドラゴン: 騎乘飛龍、用槍戰鬥的飛行兵。\n雖然能在山岳及河川移動，但弱點是弓箭。
MEID_H_アクスドラゴン: 騎乘飛龍、用斧戰鬥的飛行兵。\n雖然能在山岳及河川移動，但弱點是弓箭。
MEID_スルト: 斯爾特
MEID_レーヴァテイン: 瑞瓦提恩
MEID_ロキ: 洛基
MPID_スルト: 斯爾特
MPID_フィヨルム: 菲約爾姆
MPID_レーヴァテイン: 瑞瓦提恩
MPID_ロキ: 洛基
MPID_スリーズ声: 斯利茲
MPID_ソレイユ: 索雷優
MPID_シャラ: 夏拉
MPID_シノノメ: 東雲
MPID_ジークベルト: 齊格貝爾特
MEID_HONOR_スルト: 炎之王
MPID_HONOR_フィヨルム: 冰之公主
MEID_HONOR_レーヴァテイン: 炎劍
MEID_HONOR_ロキ: 調皮搗蛋
MPID_HONOR_ソレイユ: 熱愛女孩
MPID_HONOR_シャラ: 執著的符咒師
MPID_HONOR_シノノメ: 未完成的英才
MPID_HONOR_ジークベルト: 未來的暗夜王
MEID_H_スルト: 炎之王國穆斯貝爾的國王，繼承了炎龍的血脈。\n個性嚴厲冷酷，擁有極強的征服慾。
MPID_H_フィヨルム: 冰之王國尼福爾的第二公主。溫柔的少女。\n一心想對仇敵斯爾特復仇。
MEID_H_レーヴァテイン: 炎之王國穆斯貝爾的第二公主。\n將自己比喻為劍，缺乏感情波動。
MEID_H_ロキ: 炎之王國穆斯貝爾的軍師。\n喜歡惡作劇和蠱惑人心。
MPID_H_ソレイユ: 拉茲沃德的女兒，個性開朗活潑。\n十分憧憬帥氣的女性，但缺乏羞恥觀念。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_H_シャラ: 月讀的女兒。很容易鑽牛角尖，\n也常對喜歡的人糾纏不休。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_H_シノノメ: 龍馬的兒子，為了追求力量，訓練時從不怠慢。\n個性溫和又好相處，相當重情義。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_H_ジークベルト: 馬克斯的兒子，善良、嚴謹、具備常識。\n是位接受過嚴格教育的菁英。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MEID_VOICE_スルト: 玄田哲章(Tessyo Genda)
MPID_VOICE_フィヨルム: 高橋李依(Rie Takahashi)
MEID_VOICE_レーヴァテイン: 釘宮理恵(Rie Kugimiya)
MEID_VOICE_ロキ: 新井里美(Satomi Arai)
MPID_VOICE_ソレイユ: 鈴木絵理(Eri Suzuki)
MPID_VOICE_シャラ: 高田憂希(Yuuki Takada)
MPID_VOICE_シノノメ: 内匠靖明(Yasuaki Takumi)
MPID_VOICE_ジークベルト: 河西健吾(Kengo Kawanishi)
MEID_ILLUST_スルト: 前嶋重機(Shigeki Maeshima)
MPID_ILLUST_フィヨルム: 前嶋重機(Shigeki Maeshima)
MEID_ILLUST_レーヴァテイン: 前嶋重機(Shigeki Maeshima)
MEID_ILLUST_ロキ: 前嶋重機(Shigeki Maeshima)
MPID_ILLUST_ソレイユ: 円居雄一郎(Yuichiro Enkyo)
MPID_ILLUST_シャラ: 草木原俊行 (Toshiyuki Kusakihara) / INTELLIGENT SYSTEMS
MPID_ILLUST_シノノメ: 新井テル子(Teruko Arai)
MPID_ILLUST_ジークベルト: 新井テル子(Teruko Arai)
MPID_LEGEND_フィヨルム: 傳承效果：「水」　我方ＨＰ＋３、速度＋３\n在「水」的季節時，\n被賦予「水」的祝福的夥伴，\n與此英雄一起出擊，將會獲得傳承效果加持。
MSID_アーマーキラー2: 破甲劍鍛
MSID_アーマーキラー2＋: 破甲劍鍛＋
MSID_貫きの槍2: 貫穿之槍鍛
MSID_貫きの槍2＋: 貫穿之槍鍛＋
MSID_ハンマー2: 戰錘鍛
MSID_ハンマー2＋: 戰錘鍛＋
MSID_遠距離防御の弓: 遠距離防禦之弓
MSID_遠距離防御の弓＋: 遠距離防禦之弓＋
MSID_ラウアウルフ2: 赤紅餓狼鍛
MSID_ラウアウルフ2＋: 赤紅餓狼鍛＋
MSID_ブラーウルフ2: 蒼藍餓狼鍛
MSID_ブラーウルフ2＋: 蒼藍餓狼鍛＋
MSID_グルンウルフ2: 翠綠餓狼鍛
MSID_グルンウルフ2＋: 翠綠餓狼鍛＋
MSID_アブゾーブ＋: 吸收＋
MSID_フィアー＋: 恐懼＋
MSID_スロウ＋: 緩速＋
MSID_グラビティ＋: 重壓＋
MSID_ペイン＋: 疼痛＋
MSID_パニック＋: 慌亂＋
MSID_キャンドル＋: 燭光＋
MSID_リブロー＋: 遠程聖療＋
MSID_リカバー＋: 聖癒＋
MSID_セインツ＋: 殉教＋
MSID_リバース＋: 重生＋
MSID_第5迷宮の覇者1: 第５迷宮的霸王１
MSID_第5迷宮の覇者2: 第５迷宮的霸王２
MSID_第5迷宮の覇者3: 第５迷宮的霸王３
MSID_レーヴァテイン: 瑞瓦提恩
MSID_レイプト: 雷依普特
MSID_シンモラ: 辛摩拉
MSID_セック: 索克
MSID_氷の聖鏡: 冰之聖鏡
MSID_攻撃守備の絆1: 攻擊防守的羈絆１
MSID_攻撃守備の絆2: 攻擊防守的羈絆２
MSID_攻撃守備の絆3: 攻擊防守的羈絆３
MSID_火薙ぎの剣: 火薙之劍
MSID_火薙ぎの剣＋: 火薙之劍＋
MSID_黒き血の大剣: 黑血大劍
MSID_白き血の薙刀: 白血薙刀
MSID_攻撃守備の応援: 攻擊防守支援
MSID_攻撃の指揮1: 攻擊指揮１
MSID_攻撃の指揮2: 攻擊指揮２
MSID_攻撃の指揮3: 攻擊指揮３
MSID_守備の指揮1: 防守指揮１
MSID_守備の指揮2: 防守指揮２
