[Heroes Archive] (Data_63_dream01)


Heroes Message Name: Message


MDAID_白夜王妃の頭飾り: 白夜王妃的頭飾
MID_MISSION_H_S201811TAPBTL01_D01_A1: 於難度普通的一「觸」即發點觸大戰中，\n擊敗第16～20層的BOSS・露琪娜。
MID_MISSION_S201811TAPBTL01_D01_A2: 過關第21～25層
MID_MISSION_H_S201811TAPBTL01_D01_A2: 於一「觸」即發點觸大戰中\n過關第21～25層的關卡。
MID_MISSION_S201811TAPBTL01_D01_A3: 過關關卡
MID_MISSION_H_S201811TAPBTL01_D01_A3: 過關一「觸」即發點觸大戰中的關卡。
MID_MISSION_S201811TAPBTL01_D02_TITLE: 點觸大戰・每日任務
MID_MISSION_S201811TAPBTL01_D02_A1: 特殊:擊敗露琪娜
MID_MISSION_H_S201811TAPBTL01_D02_A1: 於難度困難的一「觸」即發點觸大戰中，\n擊敗第16～20層的BOSS・露琪娜。
MID_MISSION_S201811TAPBTL01_D02_A2: 過關第41～45層
MID_MISSION_H_S201811TAPBTL01_D02_A2: 於一「觸」即發點觸大戰中\n過關第41～45層的關卡。
MID_MISSION_S201811TAPBTL01_D02_A3: 過關關卡
MID_MISSION_H_S201811TAPBTL01_D02_A3: 過關一「觸」即發點觸大戰中的關卡。
MID_MISSION_S201811TAPBTL01_D03_TITLE: 點觸大戰・每日任務
MID_MISSION_S201811TAPBTL01_D03_A1: 特殊:擊敗伍德
MID_MISSION_H_S201811TAPBTL01_D03_A1: 於難度普通的一「觸」即發點觸大戰中，\n擊敗第36～40層的BOSS・伍德。
MID_MISSION_S201811TAPBTL01_D03_A2: 過關第61～65層
MID_MISSION_H_S201811TAPBTL01_D03_A2: 於一「觸」即發點觸大戰中\n過關第61～65層的關卡。
MID_MISSION_S201811TAPBTL01_D03_A3: 過關關卡
MID_MISSION_H_S201811TAPBTL01_D03_A3: 過關一「觸」即發點觸大戰中的關卡。
MID_MISSION_S201811TAPBTL01_D04_TITLE: 點觸大戰・每日任務
MID_MISSION_S201811TAPBTL01_D04_A1: 特殊:擊敗伍德
MID_MISSION_H_S201811TAPBTL01_D04_A1: 於難度困難的一「觸」即發點觸大戰中，\n擊敗第36～40層的BOSS・伍德。
MID_MISSION_S201811TAPBTL01_D04_A2: 過關第81～85層
MID_MISSION_H_S201811TAPBTL01_D04_A2: 於一「觸」即發點觸大戰中\n過關第81～85層的關卡。
MID_MISSION_S201811TAPBTL01_D04_A3: 過關關卡
MID_MISSION_H_S201811TAPBTL01_D04_A3: 過關一「觸」即發點觸大戰中的關卡。
MID_MISSION_S201811TAPBTL02_TITLE: 點觸大戰
MID_MISSION_S201811TAPBTL02_A1: 擊敗BOSS
MID_MISSION_H_S201811TAPBTL02_A1: 於一「觸」即發點觸大戰中擊敗BOSS。
MID_MISSION_S201811TAPBTL02_A2: 擊敗BOSS
MID_MISSION_H_S201811TAPBTL02_A2: 於一「觸」即發點觸大戰中擊敗BOSS。
MID_MISSION_S201811TAPBTL02_A3: 過關關卡
MID_MISSION_H_S201811TAPBTL02_A3: 過關一「觸」即發點觸大戰中的關卡。
MID_MISSION_S201811TAPBTL02_A4: 過關特別關卡1
MID_MISSION_H_S201811TAPBTL02_A4: 過關一「觸」即發點觸大戰中的特別關卡1。\n(特別關卡1可於特別關卡開放後遊玩)
MPID_夢カミラ: 卡美拉
MPID_HONOR_夢カミラ: 夢幻之花
MPID_H_夢カミラ: 暗夜王國的第一公主。來自異界的存在。\n總是溫柔對待阿庫婭，是個相當謙恭的姐姐。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢カミラ: 沢城みゆき(Miyuki Sawashiro)
MPID_ILLUST_夢カミラ: みく郎(Mikuro)
MPID_夢カムイ男: 神威
MPID_HONOR_夢カムイ男: 夢境的王子
MPID_H_夢カムイ男: 在暗夜王國長大的白夜王國王子。來自異界的存在。\n能夠理解阿庫婭的心情，是一名理想的朋友。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢カムイ男: 島﨑信長(Nobunaga Shimazaki)
MPID_ILLUST_夢カムイ男: まいぽんぽん(Maiponpon) / INTELLIGENT SYSTEMS
MPID_夢カムイ女: 神威
MPID_HONOR_夢カムイ女: 夢想的公主
MPID_H_夢カムイ女: 在暗夜王國長大的白夜王國公主。來自異界的存在。\n能夠理解阿庫婭的心情，是一名理想的朋友。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢カムイ女: 佐藤聡美(Satomi Sato)
MPID_ILLUST_夢カムイ女: 煎茶(Sencha)
MPID_幼少アクア: 阿庫婭
MPID_HONOR_幼少アクア: 幼小的歌姬
MPID_H_幼少アクア: 暗夜王國王妃萱玫的女兒。在王宮內受到\n旁人的冷酷對待，因此內心被黑暗籠罩。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_幼少アクア: Lynn
MPID_ILLUST_幼少アクア: kaya8
MPID_夢ミコト: 水琴
MPID_HONOR_夢ミコト: 拂過夢境的慈母
MPID_H_夢ミコト: 慈悲為懷的白夜王國女王。來自異界的存在。\n如同母親般保護著阿庫婭的守護者。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢ミコト: 大原さやか(Sayaka Ohara)
MPID_ILLUST_夢ミコト: 伊藤未生(Misei Ito)
MSID_黄金の短剣: 黃金短劍
MSID_シャニーの誓槍: 夏妮的誓槍
MSID_フロリーナの誓槍: 芙羅利娜的誓槍
MSID_バアトルの豪斧: 巴多爾的豪斧
MSID_第16迷宮の覇者1: 第１６迷宮的霸王１
MSID_第16迷宮の覇者2: 第１６迷宮的霸王２
MSID_第16迷宮の覇者3: 第１６迷宮的霸王３
MSID_夢幻の書: 夢幻之書
MSID_泡影の書: 泡影之書
MSID_フラッシュ: 閃爍
MSID_フラッシュ＋: 閃爍＋
MSID_水の飛沫: 水之飛沫
MSID_攻撃速さの応援＋: 攻擊速度支援＋
MSID_静水の舞い2: 靜水之舞２
MSID_静水の舞い3: 靜水之舞３
MSID_攻撃魔防の連携1: 攻擊魔防連動１
MSID_攻撃魔防の連携2: 攻擊魔防連動２
MSID_攻撃魔防の連携3: 攻擊魔防連動３
MSID_見切り・追撃効果1: 識破・追擊效果１
MSID_見切り・追撃効果2: 識破・追擊效果２
MSID_見切り・追撃効果3: 識破・追擊效果３
MSID_H_黄金の短剣: 容易發動奧義（發動計量－１）
MSID_H_シャニーの誓槍: 容易發動奧義（發動計量－１）
MSID_H_フロリーナの誓槍: 克制重裝
MSID_H_バアトルの豪斧: 克制重裝
MSID_H_特殊射程R奥義待機: 若戰鬥開始時，為可發動奧義的狀態，\n戰鬥中的攻擊、速度、防守、魔防＋３，\n且可無視距離進行反擊
MSID_H_近距離構えR4: 受到武器為劍、槍、斧、龍的敵人攻擊時，\n戰鬥中的攻擊、速度、防守、魔防＋４
MSID_H_第16迷宮の覇者1: ＨＰ＋３
MSID_H_第16迷宮の覇者2: ＨＰ＋４
MSID_H_第16迷宮の覇者3: ＨＰ＋５
MSID_H_夢幻の書: 攻擊＋３\n和我方相鄰時，\n戰鬥中，敵人的攻擊、速度、防守、魔防－４
MSID_H_泡影の書: 速度＋３\n和我方相鄰時，\n戰鬥中，敵人的攻擊、速度、防守、魔防－４
MSID_H_フラッシュ: 若在戰鬥時進行攻擊，戰鬥後\n為敵人附加無法反擊的異常狀態\n（直到敵人下次行動結束）
MSID_H_フラッシュ＋: 若在戰鬥時進行攻擊，戰鬥後\n為對方與其周圍２格內的敵人\n附加無法反擊的異常狀態（直到敵人下次行動結束）
MSID_H_水の飛沫: 容易發動奧義（發動計量－１）\n敵人攻擊射程為２格時，以其防守及魔防中較低方計算傷害\n周圍２格內的我方的數量多於敵方時，\n（不包括自己與戰鬥對手）\n戰鬥中的攻擊及速度＋５
MSID_H_攻撃速さの応援＋: 指定目標的攻擊及速度＋６（１回合）
MSID_H_静水の舞い2: 使用「歌唱」、「起舞」時，\n指定目標的魔防＋４
MSID_H_静水の舞い3: 使用「歌唱」、「起舞」時，\n指定目標的魔防＋５
MSID_H_攻撃魔防の連携1: 使用或被施放移動系輔助技能時\n（衝撞、帶回、迂迴等），\n自己和對方的攻擊及魔防＋２（１回合）
MSID_H_攻撃魔防の連携2: 使用或被施放移動系輔助技能時\n（衝撞、帶回、迂迴等），\n自己和對方的攻擊及魔防＋４（１回合）
MSID_H_攻撃魔防の連携3: 使用或被施放移動系輔助技能時\n（衝撞、帶回、迂迴等），\n自己和對方的攻擊及魔防＋６（１回合）
MSID_H_見切り・追撃効果1: 若戰鬥開始時，自身ＨＰ為１００％，\n戰鬥中抵銷敵人擁有的絕對追擊狀態、\n以及自己受到的無法追擊狀態
MSID_H_見切り・追撃効果2: 若戰鬥開始時，自身ＨＰ高於５０％，\n戰鬥中抵銷敵人擁有的絕對追擊狀態、\n以及自己受到的無法追擊狀態
MSID_H_見切り・追撃効果3: 戰鬥中抵銷敵人擁有的絕對追擊狀態、\n以及自己受到的無法追擊狀態
MID_CHAPTER_TITLE_CX026: 外傳２７
MID_CHAPTER_CX026: 浮雲、朝露
MID_STAGE_TITLE_X0261: 外傳２７—１節
MID_STAGE_TITLE_X0262: 外傳２７—２節
MID_STAGE_TITLE_X0263: 外傳２７—３節
MID_STAGE_X0261: 我的朋友
MID_STAGE_X0262: 我的家族
MID_STAGE_X0263: 我的心願……
MID_STAGE_HONOR_T0043: 神威　＆
MID_STAGE_T0043: 神流
MID_STAGE_TITLE_SB_0016: 第１６迷宮
MID_STAGE_TITLE_BG_FIRE_0013: 火之大庭園３
MID_STAGE_TITLE_BG_WATER_0014: 水之大庭園４
MID_STAGE_TITLE_BG_WIND_0014: 風之大庭園４
MID_STAGE_TITLE_BG_EARTH_0014: 地之大庭園４
MID_STAGE_TITLE_BG_FIRE_0014: 火之大庭園４
MID_STAGE_TITLE_PB034: 技能篇３４
MID_STAGE_PB034: 過度保護的神威
