[Heroes Archive] (Data_48_spring02)


Heroes Message Name: Message


MID_MISSION_S201803BLESS01_TITLE: 地之祝福
MPID_H_春祭カゲロウ: 白夜王國的忍者，龍馬的部下。\n為人忠心赤膽，接受密令而參加本次春祭。\n（登場作品：『ファイアーエムブレム　ｉｆ』）
MPID_H_春祭カチュア: 馬其頓王國飛馬三姊妹中的次女。\n個性嚴謹，為完成任務而參加本次春祭。\n（登場作品：『ファイアーエムブレム　紋章の謎』）
MPID_H_春祭シャロン: 亞斯克王國的公主，阿爾馮斯的妹妹。\n邀請遲疑不定的哥哥一起參加本次春祭。
MPID_VOICE_春祭アルフォンス: 鈴木達央(Tatsuhisa Suzuki)
MPID_VOICE_春祭カゲロウ: 村川梨衣(Rie Murakawa)
MPID_VOICE_春祭カチュア: 生天目仁美(Hitomi Nabatame)
MPID_VOICE_春祭シャロン: 内田真礼(Maaya Uchida)
MPID_ILLUST_春祭アルフォンス: コザキユースケ(Yusuke Kozaki)
MPID_ILLUST_春祭カゲロウ: cuboon
MPID_ILLUST_春祭カチュア: アマガイタロー(Amagaitaro)
MPID_ILLUST_春祭シャロン: コザキユースケ(Yusuke Kozaki)
MSID_ビッグスプーン: 巨大湯匙
MSID_ビッグスプーン＋: 巨大湯匙＋
MSID_ベビーキャロット: 致命卡洛特
MSID_ベビーキャロット＋: 致命卡洛特＋
MSID_フギンの魔卵: 福金的魔卵
MSID_ムニンの魔卵: 霧尼的魔卵
MSID_飛燕の構え1: 飛燕架勢１
MSID_飛燕明鏡の構え1: 飛燕明鏡架勢１
MSID_飛燕明鏡の構え2: 飛燕明鏡架勢２
MSID_速さ魔防の絆1: 速度魔防的羈絆１
MSID_速さ魔防の絆2: 速度魔防的羈絆２
MSID_速さ魔防の絆3: 速度魔防的羈絆３
MSID_魔防の封印1: 魔防封殺１
MSID_魔防の封印2: 魔防封殺２
MSID_魔防の封印3: 魔防封殺３
MSID_守備の紫煙1: 防守紫煙１
MSID_守備の紫煙2: 防守紫煙２
MSID_守備の紫煙3: 防守紫煙３
MSID_H_ビッグスプーン: 發動奧義時，奧義造成的傷害＋１０
MSID_H_ビッグスプーン＋: 發動奧義時，奧義造成的傷害＋１０
MSID_H_ベビーキャロット: 發動奧義時，奧義造成的傷害＋１０\n若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人防守及魔防－５\n（直到敵人下次行動結束）
MSID_H_ベビーキャロット＋: 發動奧義時，奧義造成的傷害＋１０\n若在戰鬥時進行攻擊，戰鬥後\n對方與其周圍２格內的敵人防守及魔防－７\n（直到敵人下次行動結束）
MSID_H_フギンの魔卵: 魔防＋３\n回合開始時，若自身ＨＰ高於５０％，\n敵軍內魔防最低的敵人攻擊及防守－５\n（直到敵人下次行動結束）
MSID_H_ムニンの魔卵: 魔防＋３\n回合開始時，若自身ＨＰ高於５０％，\n敵軍內速度最低的敵人攻擊及魔防－５\n（直到敵人下次行動結束）
MSID_H_飛燕の構え1: 受到敵人攻擊時，戰鬥中的速度＋２
MSID_H_飛燕明鏡の構え1: 受到敵人攻擊時，戰鬥中的速度及魔防＋２
MSID_H_飛燕明鏡の構え2: 受到敵人攻擊時，戰鬥中的速度及魔防＋４
MSID_H_速さ魔防の絆1: 和我方相鄰時，\n自己在戰鬥中的速度及魔防＋３
MSID_H_速さ魔防の絆2: 和我方相鄰時，\n自己在戰鬥中的速度及魔防＋４
MSID_H_速さ魔防の絆3: 和我方相鄰時，\n自己在戰鬥中的速度及魔防＋５
MSID_H_魔防の封印1: 回合開始時，\n敵軍內魔防最高的敵人魔防－３\n（直到敵人下次行動結束）
MSID_H_魔防の封印2: 回合開始時，\n敵軍內魔防最高的敵人魔防－５\n（直到敵人下次行動結束）
MSID_H_魔防の封印3: 回合開始時，\n敵軍內魔防最高的敵人魔防－７\n（直到敵人下次行動結束）
MSID_H_守備の紫煙1: 戰鬥後，對方周圍２格內的敵人防守－３\n（直到敵人下次行動結束）
MSID_H_守備の紫煙2: 戰鬥後，對方周圍２格內的敵人防守－５\n（直到敵人下次行動結束）
MSID_H_守備の紫煙3: 戰鬥後，對方周圍２格內的敵人防守－７\n（直到敵人下次行動結束）
MID_CHAPTER_TITLE_CX018: 外傳１９
MID_CHAPTER_CX018: 兔子們的春祭
MID_STAGE_TITLE_X0181: 外傳１９—１節
MID_STAGE_TITLE_X0182: 外傳１９—２節
MID_STAGE_TITLE_X0183: 外傳１９—３節
MID_STAGE_X0181: 兔子兄妹檔
MID_STAGE_X0182: 為了任務
MID_STAGE_X0183: 我與我
MID_TAP_BATTLE_DATA_TITLE_0002: 黑色追憶
MID_MUSIC_NAME_BGM_MAP_FE12_01: 進擊
MID_MUSIC_NAME_BGM_MAP_FE07_01: 重要的事物
MID_MUSIC_NAME_BGM_MAP_FE15_05: 神啊，黃昏啊
