[Heroes Archive] (Data_00_first)


Heroes Message Name: Message


MID_MISSION_M0001_TITLE: ２月ミッション
MID_MISSION_H_M0001_C1: 青属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M0001_C2: 騎馬で、LV３５以上を撃破
MID_MISSION_H_M0001_C2: 騎馬の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M0001_C3: ＬＶ３５以上の緑属性を撃破
MID_MISSION_H_M0001_C3: レベル３５以上の緑属性の敵を撃破。
MID_MISSION_M0001_C4: ＬＶ３５以上の重装を撃破
MID_MISSION_H_M0001_C4: レベル３５以上の重装の敵を撃破。
MID_MISSION_M0001_C5: 特殊：６章－５節ルナ突破
MID_MISSION_H_M0001_C5: ６章－５節ルナティックを\n４人全員歩行の仲間で\n４人全員生存でクリア。
MID_MISSION_M0001_C6: 特殊：６章－１節ルナ突破
MID_MISSION_H_M0001_C6: ６章－１節ルナティックを\nフェリシアを自軍に入れて\n４人全員生存でクリア。
MID_MISSION_M0001_C7: 修練の塔・第８階層突破
MID_MISSION_H_M0001_C7: 修練の塔・第８階層をクリア。
MID_MISSION_M0001_C8: 闘技場・上級で勝利
MID_MISSION_H_M0001_C8: 闘技場・上級で勝利。
MID_MISSION_S0000_TITLE: 贈送結晶
MID_MISSION_S0000_A1: 突破序章-第3節
MID_MISSION_H_S0000_A1: 過關序章-第3節。
MID_MISSION_S0000_A2: 突破第1章-第5節
MID_MISSION_H_S0000_A2: 過關第1章-第5節。
MID_MISSION_S0000_A3: 突破第2章-第5節
MID_MISSION_H_S0000_A3: 過關第2章-第5節。
MID_MISSION_S0000_A4: 突破第3章-第5節
MID_MISSION_H_S0000_A4: 過關第3章-第5節。
MID_MISSION_S0000_A5: 突破第4章-第5節
MID_MISSION_H_S0000_A5: 過關第4章-第5節。
MID_MISSION_S0000_A6: 突破第5章-第5節
MID_MISSION_H_S0000_A6: 過關第5章-第5節。
MID_MISSION_S0000_A7: 突破第6章-第5節
MID_MISSION_H_S0000_A7: 過關第6章-第5節。
MID_MISSION_S0000_A8: 突破第7章-第5節
MID_MISSION_H_S0000_A8: 過關第7章-第5節。
MID_MISSION_S0000_A9: 突破第8章-第5節
MID_MISSION_H_S0000_A9: 過關第8章-第5節。
MID_MISSION_S0000_A10: 突破第9章-第5節
MID_MISSION_H_S0000_A10: 過關第9章-第5節。
MID_MISSION_S0000_B1: 突破第1章-第5節(困難)
MID_MISSION_H_S0000_B1: 過關第1章-第5節(困難)。
MID_MISSION_S0000_B2: 突破第2章-第5節(困難)
MID_MISSION_H_S0000_B2: 過關第2章-第5節(困難)。
MID_MISSION_S0000_B3: 突破第3章-第5節(困難)
MID_MISSION_H_S0000_B3: 過關第3章-第5節(困難)。
MID_MISSION_S0000_B4: 突破第4章-第5節(困難)
MID_MISSION_H_S0000_B4: 過關第4章-第5節(困難)。
MID_MISSION_S0000_B5: 突破第5章-第5節(困難)
MID_MISSION_H_S0000_B5: 過關第5章-第5節(困難)。
MID_MISSION_S0000_B6: 突破第6章-第5節(困難)
MID_MISSION_H_S0000_B6: 過關第6章-第5節(困難)。
MID_MISSION_S0000_B7: 突破第7章-第5節(困難)
MID_MISSION_H_S0000_B7: 過關第7章-第5節(困難)。
MID_MISSION_S0000_B8: 突破第8章-第5節(困難)
MID_MISSION_H_S0000_B8: 過關第8章-第5節(困難)。
MID_MISSION_S0000_B9: 突破第9章-第5節(困難)
MID_MISSION_H_S0000_B9: 過關第9章-第5節(困難)。
MID_MISSION_S0000_C1: 突破第1章-第5節(超難)
MID_MISSION_H_S0000_C1: 過關第1章-第5節(超難)。
MID_MISSION_S0000_C2: 突破第2章-第5節(超難)
MID_MISSION_H_S0000_C2: 過關第2章-第5節(超難)。
MID_MISSION_S0000_C3: 突破第3章-第5節(超難)
MID_MISSION_H_S0000_C3: 過關第3章-第5節(超難)。
MID_MISSION_S0000_C4: 突破第4章-第5節(超難)
MID_MISSION_H_S0000_C4: 過關第4章-第5節(超難)。
MID_MISSION_S0000_C5: 突破第5章-第5節(超難)
MID_MISSION_H_S0000_C5: 過關第5章-第5節(超難)。
MID_MISSION_S0000_C6: 突破第6章-第5節(超難)
MID_MISSION_H_S0000_C6: 過關第6章-第5節(超難)。
MID_MISSION_S0000_C7: 突破第7章-第5節(超難)
MID_MISSION_H_S0000_C7: 過關第7章-第5節(超難)。
MID_MISSION_S0000_C8: 突破第8章-第5節(超難)
MID_MISSION_H_S0000_C8: 過關第8章-第5節(超難)。
MID_MISSION_S0000_C9: 突破第9章-第5節(超難)
MID_MISSION_H_S0000_C9: 過關第9章-第5節(超難)。
MID_MISSION_S0015_TITLE: 闘技場
MID_MISSION_S0015_A1: 闘技場で勝利
MID_MISSION_H_S0015_A1: 闘技場で勝利。
MID_MISSION_S0015_A2: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_A2: 闘技場・中級以上で勝利。
MID_MISSION_S0015_A3: 闘技場で勝利
MID_MISSION_H_S0015_A3: 闘技場で勝利。
MID_MISSION_S0015_B1: 闘技場で勝利
MID_MISSION_H_S0015_B1: 闘技場で勝利。
MID_MISSION_S0015_B2: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_B2: 闘技場・中級以上で勝利。
MID_MISSION_S0015_B3: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_B3: 闘技場・中級以上で勝利。
MID_MISSION_S0015_C1: 闘技場で勝利
MID_MISSION_H_S0015_C1: 闘技場で勝利。
MID_MISSION_S0015_C2: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_C2: 闘技場・中級以上で勝利。
MID_MISSION_S0015_C3: 闘技場・上級で勝利
MID_MISSION_H_S0015_C3: 闘技場・上級で勝利。
MID_MISSION_S0001_TITLE: 兄妹の愛
MID_MISSION_S0001_A1: エフラムで撃破
MID_MISSION_H_S0001_A1: エフラムで、敵を撃破。
MID_MISSION_S0001_A2: エイリークで撃破
MID_MISSION_H_S0001_A2: エイリークで、敵を撃破。
MID_MISSION_S0001_A3: セリスで撃破
MID_MISSION_H_S0001_A3: セリスで、敵を撃破。
MID_MISSION_S0001_A4: ユリアで撃破
MID_MISSION_H_S0001_A4: ユリアで、敵を撃破。
MID_MISSION_S0001_A5: 特殊：外伝１－１節突破
MID_MISSION_H_S0001_A5: 赤属性の仲間を自軍に入れて、\n外伝１－１節をクリア。
MID_MISSION_S0001_A6: 特殊：外伝１－２節突破
MID_MISSION_H_S0001_A6: 弓の仲間を自軍に入れて、\n外伝１－２節をクリア。
MID_MISSION_S0001_A7: 特殊：外伝１－３節突破
MID_MISSION_H_S0001_A7: 騎馬の仲間を自軍に入れて、\n外伝１－３節をクリア。
MID_MISSION_S0001_A8: 特殊：外伝１－１節突破
MID_MISSION_H_S0001_A8: 青属性の仲間を自軍に入れて、\n外伝１－１節をクリア。
MID_MISSION_S0001_A9: 特殊：外伝１－１節ハード突破
MID_MISSION_H_S0001_A9: 緑属性の仲間を自軍に入れて、\n外伝１－１節ハードをクリア。
MID_MISSION_S0001_A10: 特殊：外伝１－２節ハード突破
MID_MISSION_H_S0001_A10: 暗器の仲間を自軍に入れて、\n外伝１－２節ハードをクリア。
MID_MISSION_S0001_A11: 特殊：外伝１－３節ハード突破
MID_MISSION_H_S0001_A11: 飛行の仲間を自軍に入れて、\n外伝１－３節ハードをクリア。
MID_MISSION_S0001_A12: 特殊：外伝１－２節ハード突破
MID_MISSION_H_S0001_A12: 赤魔の仲間を自軍に入れて、\n外伝１－２節ハードをクリア。
MID_MISSION_S0010_TITLE: 剣の極意
MID_MISSION_S0010_A1: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0010_A1: 全員剣の仲間で、\n修練の塔・第３階層をクリア。
MID_MISSION_S0010_A2: 特殊：１章－３節ハード突破
MID_MISSION_H_S0010_A2: 全員剣の仲間で、\n１章－３節ハードをクリア。
MID_MISSION_S0010_A7: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S0010_A7: 全員剣の仲間で、\n修練の塔・第５階層をクリア。
MID_MISSION_S0010_A8: 特殊：３章－２節ハード突破
MID_MISSION_H_S0010_A8: 全員剣の仲間で、\n３章－２節ハードをクリア。
MID_MISSION_S0010_A13: 特殊：修練の塔・第７階層突破
MID_MISSION_H_S0010_A13: 全員剣の仲間で、\n修練の塔・第７階層をクリア。
MID_MISSION_S0010_A14: 特殊：７章－３節ルナ突破
MID_MISSION_H_S0010_A14: 全員剣の仲間で、\n７章－３節ルナティックをクリア。
MID_MISSION_S0011_TITLE: 槍の極意
MID_MISSION_S0011_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0011_A3: 全員槍の仲間で、\n修練の塔・第３階層をクリア。
MID_MISSION_S0011_A4: 特殊：１章－２節ハード突破
MID_MISSION_H_S0011_A4: 全員槍の仲間で、\n１章－２節ハードをクリア。
MID_MISSION_S0011_A9: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S0011_A9: 全員槍の仲間で、\n修練の塔・第５階層をクリア。
MID_MISSION_S0011_A10: 特殊：３章－４節ハード突破
MID_MISSION_H_S0011_A10: 全員槍の仲間で、\n３章－４節ハードをクリア。
MID_MISSION_S0011_A15: 特殊：修練の塔・第７階層突破
MID_MISSION_H_S0011_A15: 全員槍の仲間で、\n修練の塔・第７階層をクリア。
MID_MISSION_S0011_A16: 特殊：７章－２節ルナ突破
MID_MISSION_H_S0011_A16: 全員槍の仲間で、\n７章－２節ルナティックをクリア。
MID_MISSION_S0012_TITLE: 斧の極意
MID_MISSION_S0012_A5: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0012_A5: 全員斧の仲間で、\n修練の塔・第３階層をクリア。
MID_MISSION_S0012_A6: 特殊：１章－４節ハード突破
MID_MISSION_H_S0012_A6: 全員斧の仲間で、\n１章－４節ハードをクリア。
MID_MISSION_S0012_A11: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S0012_A11: 全員斧の仲間で、\n修練の塔・第５階層をクリア。
MID_MISSION_S0012_A12: 特殊：３章－５節ハード突破
MID_MISSION_H_S0012_A12: 全員斧の仲間で、\n３章－５節ハードをクリア。
MID_MISSION_S0012_A17: 特殊：修練の塔・第７階層突破
MID_MISSION_H_S0012_A17: 全員斧の仲間で、\n修練の塔・第７階層をクリア。
MID_MISSION_S0012_A18: 特殊：７章－４節ルナ突破
MID_MISSION_H_S0012_A18: 全員斧の仲間で、\n７章－４節ルナティックをクリア。
MPID_セリス: 賽列斯
MPID_エフラム: 艾夫拉姆
MPID_エイリーク: 艾莉可
MPID_ユリア: 尤莉亞
MPID_HONOR_セリス: 光之繼承者
MPID_HONOR_エフラム: 碧空的勇猛王子
MPID_HONOR_エイリーク: 碧風的善良公主
MPID_HONOR_ユリア: 神龍的繼承者
MPID_H_セリス: 聖劍【斬裂劍】的繼承者，尤莉亞的異父兄長。\n雖被譽為光之勳爵和救世主，但個性不喜爭鬥。\n（登場作品：『ファイアーエムブレム　聖戦の系譜』）
MPID_H_エフラム: 路奈斯王國的王子，艾莉可的雙胞胎哥哥。\n個性勇猛、很疼愛妹妹，但他的強悍同時也會帶來危險。\n（登場作品：『ファイアーエムブレム　聖魔の光石』）
MPID_H_エイリーク: 路奈斯王國的公主，艾夫拉姆的雙胞胎妹妹。\n個性善良、很敬愛兄長，但這份溫柔同時也是她的弱點。\n（登場作品：『ファイアーエムブレム　聖魔の光石』）
MPID_H_ユリア: 神聖的光之書【那迦】的繼承者，賽列斯的異父妹妹。\n個性文靜，卻也有著反抗命運的堅強意志。\n（登場作品：『ファイアーエムブレム　聖戦の系譜』）
MPID_VOICE_セリス: 内田雄馬(Yuma Uchida)
MPID_VOICE_エフラム: 八代拓(Taku Yashiro)
MPID_VOICE_エイリーク: 水橋かおり(Kaori Mizuhashi)
MPID_VOICE_ユリア: 佐倉綾音(Ayane Sakura)
MPID_ILLUST_セリス: 沙汰(Sata)
MPID_ILLUST_エフラム: 麻谷知世(Tomoyo Asatani)
MPID_ILLUST_エイリーク: 麻谷知世(Tomoyo Asatani)
MPID_ILLUST_ユリア: はいむらきよたか(Kiyotaka Haimura)
MSID_ジークリンデ: 齊格林德
MSID_ジークムント: 齊格蒙德
MSID_ティルフィング: 斬裂劍
MSID_ナーガ: 那迦
MSID_H_ジークリンデ: 回合開始時，周圍１格內我方的\n攻擊＋３（１回合）
MSID_H_ジークムント: 回合開始時，周圍１格內我方的\n攻擊＋３（１回合）
MSID_H_ティルフィング: 若自身ＨＰ低於５０％，\n戰鬥時的防守＋４
MSID_H_ナーガ: 克制龍\n受到敵人攻擊時，防守及魔防＋２
MID_CHAPTER_TITLE_CX000: 外傳１
MID_CHAPTER_CX000: 兄妹之情
MID_STAGE_TITLE_X0001: 外傳１—１節
MID_STAGE_TITLE_X0002: 外傳１—２節
MID_STAGE_TITLE_X0003: 外傳１—３節
MID_STAGE_X0001: 聖魔兄妹
MID_STAGE_X0002: 聖戰兄妹
MID_STAGE_X0003: 兄妹之情重現
MID_STAGE_HONOR_T0001: 充滿謎團的軍師
MID_STAGE_T0001: 魯弗萊
MID_STAGE_HONOR_V0003: リリース記念
MID_STAGE_V0003: その３
MID_Summon_01_brother01: 新英雄召喚　兄妹の愛
MID_Summon_01_brother01_02: ピックアップ　ルフレ対抗
MID_MISSION_M0002_TITLE: ３月ミッション
MID_MISSION_M0002_A1: 青属性で撃破
MID_MISSION_H_M0002_A1: 青属性の味方で、敵を撃破。
MID_MISSION_M0002_A2: 重装で撃破
MID_MISSION_H_M0002_A2: 重装の味方で、敵を撃破。
MID_MISSION_M0002_A3: 緑属性を撃破
MID_MISSION_H_M0002_A3: 緑属性の敵を撃破。
MID_MISSION_M0002_A4: 歩行を撃破
MID_MISSION_H_M0002_A4: 歩行の敵を撃破。
MID_MISSION_M0002_A5: ＬＶ１０以上を撃破
MID_MISSION_H_M0002_A5: レベル１０以上の敵を撃破。
MID_MISSION_M0002_A6: 暗器で２章－２節突破
MID_MISSION_H_M0002_A6: 暗器の仲間を自軍に入れて、\n２章－２節をクリア。
MID_MISSION_M0002_A7: 修練の塔・第２階層突破
MID_MISSION_H_M0002_A7: 修練の塔・第２階層をクリア。
MID_MISSION_M0002_A8: 闘技場で勝利
MID_MISSION_H_M0002_A8: 闘技場で勝利。
MID_MISSION_M0002_B1: 赤属性で、LV２０以上を撃破
MID_MISSION_H_M0002_B1: 赤属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M0002_B2: 歩行で、LV２０以上を撃破
MID_MISSION_H_M0002_B2: 歩行の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M0002_B3: ＬＶ２０以上の青属性を撃破
MID_MISSION_H_M0002_B3: レベル２０以上の青属性の敵を撃破。
MID_MISSION_M0002_B4: ＬＶ２０以上の重装を撃破
MID_MISSION_H_M0002_B4: レベル２０以上の重装の敵を撃破。
MID_MISSION_M0002_B5: 特殊：３章－１節ハード突破
MID_MISSION_H_M0002_B5: ３章－１節ハード以上を\n３人以下でクリア。
MID_MISSION_M0002_B6: 特殊：３章－５節ハード突破
MID_MISSION_H_M0002_B6: ３章－５節ハード以上を\nシャロンを自軍に入れてクリア。
MID_MISSION_M0002_B7: 修練の塔・第５階層突破
MID_MISSION_H_M0002_B7: 修練の塔・第５階層をクリア。
MID_MISSION_M0002_B8: 闘技場・中級以上で勝利
MID_MISSION_H_M0002_B8: 闘技場・中級以上で勝利。
MID_MISSION_M0002_C1: 緑属性で、LV４０以上を撃破
MID_MISSION_H_M0002_C1: 緑属性の味方で、\nレベル４０以上の敵を撃破。
MID_MISSION_M0002_C2: 飛行で、LV４０以上を撃破
MID_MISSION_H_M0002_C2: 飛行の味方で、\nレベル４０以上の敵を撃破。
MID_MISSION_M0002_C3: ＬＶ４０以上の赤属性を撃破
MID_MISSION_H_M0002_C3: レベル４０以上の赤属性の敵を撃破。
MID_MISSION_M0002_C4: ＬＶ４０以上の騎馬を撃破
MID_MISSION_H_M0002_C4: レベル４０以上の騎馬の敵を撃破。
MID_MISSION_M0002_C5: 特殊：７章－５節ルナ突破
MID_MISSION_H_M0002_C5: ７章－５節ルナティックを\n４人全員重装の仲間で\n４人全員生存でクリア。
MID_MISSION_M0002_C6: 特殊：７章－４節ルナ突破
MID_MISSION_H_M0002_C6: ７章－４節ルナティックを\nカザハナを自軍に入れて\n４人全員生存でクリア。
MID_MISSION_M0002_C7: 修練の塔・第８階層突破
MID_MISSION_H_M0002_C7: 修練の塔・第８階層をクリア。
MID_MISSION_M0002_C8: 闘技場・上級で勝利
MID_MISSION_H_M0002_C8: 闘技場・上級で勝利。
MID_MISSION_S0002_TITLE: 兄妹の絆
MID_MISSION_S0002_A1: クレインで撃破
MID_MISSION_H_S0002_A1: クレインで、敵を撃破。
MID_MISSION_S0002_A2: サナキで撃破
MID_MISSION_H_S0002_A2: サナキで、敵を撃破。
MID_MISSION_S0002_A3: エルトシャンで撃破
MID_MISSION_H_S0002_A3: エルトシャンで、敵を撃破。
MID_MISSION_S0002_A4: ラケシスで撃破
MID_MISSION_H_S0002_A4: ラケシスで、敵を撃破。
MID_MISSION_S0002_A5: ラインハルトで撃破
MID_MISSION_H_S0002_A5: ラインハルトで、敵を撃破。
MID_MISSION_S0002_A6: オルエンで撃破
MID_MISSION_H_S0002_A6: オルエンで、敵を撃破。
MID_MISSION_S0002_A7: 特殊：外伝２－１節突破
MID_MISSION_H_S0002_A7: 無属性の仲間を自軍に入れて、\n外伝２－１節をクリア。
MID_MISSION_S0002_A8: 特殊：外伝２－２節突破
MID_MISSION_H_S0002_A8: 青魔道の仲間を自軍に入れて、\n外伝２－２節をクリア。
MID_MISSION_S0002_A9: 特殊：外伝２－３節突破
MID_MISSION_H_S0002_A9: 歩行の仲間を自軍に入れて、\n外伝２－３節をクリア。
MID_MISSION_S0002_A10: 特殊：外伝２－３節突破
MID_MISSION_H_S0002_A10: 重装の仲間を自軍に入れて、\n外伝２－３節をクリア。
MID_MISSION_S0002_A11: 特殊：外伝２－１節ハード突破
MID_MISSION_H_S0002_A11: 青属性の仲間を自軍に入れて、\n外伝２－１節ハードをクリア。
MID_MISSION_S0002_A12: 特殊：外伝２－２節ハード突破
MID_MISSION_H_S0002_A12: 緑魔道の仲間を自軍に入れて、\n外伝２－２節ハードをクリア。
MID_MISSION_S0002_A13: 特殊：外伝２－３節ハード突破
MID_MISSION_H_S0002_A13: 飛行の仲間を自軍に入れて、\n外伝２－３節ハードをクリア。
MID_MISSION_S0002_A14: 特殊：外伝２－１節ハード突破
MID_MISSION_H_S0002_A14: 緑属性の仲間を自軍に入れて、\n外伝２－１節ハードをクリア。
MPID_エルトシャン: 艾爾多尚
MPID_クレイン: 克萊因
MPID_ラインハルト: 萊茵哈特
MPID_オルエン: 歐爾玟
MPID_ラケシス: 拉克西絲
MPID_サナキ: 莎娜琪
MPID_HONOR_エルトシャン: 獅子王
MPID_HONOR_クレイン: 銀色貴公子
MPID_HONOR_ラインハルト: 雷神的親信
MPID_HONOR_オルエン: 藍色魔道騎士
MPID_HONOR_ラケシス: 獅子王之妹
MPID_HONOR_サナキ: 貝格尼昂的神使
MPID_H_エルトシャン: 諾狄恩之王，拉克西絲的兄長。\n手持魔劍【米斯特汀】，為主君盡忠效命。\n（登場作品：『ファイアーエムブレム　聖戦の系譜』）
MPID_H_クレイン: 伊特魯里亞王國的年輕將領，克拉莉涅的兄長。\n毫不介意身分隔閡，對待任何人都一視同仁。\n（登場作品：『ファイアーエムブレム　封印の剣』）
MPID_H_ラインハルト: 弗立吉軍的魔道騎士，歐爾玟的兄長。\n人格高尚，相當瞭解自己的妹妹。\n（登場作品：『ファイアーエムブレム　トラキア７７６』）
MPID_H_オルエン: 弗立吉軍的魔道騎士，萊茵哈特的妹妹。\n為了自己相信的正義，而與敬愛的兄長斷絕關係。\n（登場作品：『ファイアーエムブレム　トラキア７７６』）
MPID_H_ラケシス: 諾狄恩王族的公主，艾爾多尚的妹妹。\n十分敬愛兄長，對兄長以外的男性毫無興趣。\n（登場作品：『ファイアーエムブレム　聖戦の系譜』）
MPID_H_サナキ: 貝格尼昂帝國的皇帝，可聽聞女神神諭的神使。\n雖然年幼，仍想要善盡為政者的職責。\n（登場作品：『ファイアーエムブレム　暁の女神』）
MPID_VOICE_エルトシャン: 間島淳司(Junji Majima)
MPID_VOICE_クレイン: 太田悠介(Yusuke Ohta)
MPID_VOICE_ラインハルト: 利根健太朗(Kentaro Tone)
MPID_VOICE_オルエン: 高橋美佳子(Mikako Takahashi)
MPID_VOICE_ラケシス: 大西沙織(Saori Onishi)
MPID_VOICE_サナキ: 中原麻衣(Mai Nakahara)
MPID_ILLUST_エルトシャン: п猫Ｒ(PenekoR)
MPID_ILLUST_クレイン: Tobi
MPID_ILLUST_ラインハルト: cuboon
MPID_ILLUST_オルエン: cuboon
MPID_ILLUST_ラケシス: みわべさくら(Sakura Miwabe)
MPID_ILLUST_サナキ: 富岡二郎(Jiro Tomioka)
MSID_シムベリン: 辛白林
MSID_ダイムサンダ: 神雷
MSID_ミストルティン: 米斯特汀
MSID_H_シムベリン: 由自己發動攻擊時，戰鬥後，\n自己周圍１格內我方的攻擊＋４（１回合）
MSID_H_ダイムサンダ: 由自己發動攻擊時，攻擊２次\n速度－５
MSID_H_ミストルティン: 容易發動奧義（發動計量－１）
MID_CHAPTER_TITLE_CX001: 外傳２
MID_CHAPTER_CX001: 兄妹羈絆
MID_STAGE_TITLE_X0004: 外傳２—１節
MID_STAGE_TITLE_X0005: 外傳２—２節
MID_STAGE_TITLE_X0006: 外傳２—３節
MID_STAGE_X0004: 兄與妹
MID_STAGE_X0005: 青雷兄妹
MID_STAGE_X0006: 獅子王與其妹
MID_STAGE_HONOR_T0004: 蒼鴉
MID_STAGE_T0004: 烏爾斯拉
MID_STAGE_HONOR_V0004: リリース記念
MID_STAGE_V0004: その４
MID_STAGE_HONOR_V0005: リリース記念
MID_STAGE_V0005: その５
MID_Summon_02_brother02: 新英雄召喚　兄妹の絆
MID_Summon_02_brother02_02_A: ピックアップ　王子編
MID_Summon_02_brother02_02_B: ピックアップ　王女編
MID_Summon_02_brother02_03: ピックアップ　ウルスラ対抗
MID_DAILY_LOGIN_BONUS_SUMMON_NEW: 新英雄登場紀念登入獎勵
MID_DAILY_LOGIN_BONUS_SUMMON_PICK: 精選召喚紀念登入獎勵
MID_DAILY_LOGIN_BONUS_TRAINING: 培育支援登入獎勵
MID_DAILY_LOGIN_BONUS_BEGINNER: 新手支援登入獎勵
MID_MISSION_S0004_TITLE: 烈火の暗影
MID_MISSION_S0004_A1: カレルで撃破
MID_MISSION_H_S0004_A1: カレルで、敵を撃破。
MID_MISSION_S0004_A2: ジャファルで撃破
MID_MISSION_H_S0004_A2: ジャファルで、敵を撃破。
MID_MISSION_S0004_A3: ルセアで撃破
MID_MISSION_H_S0004_A3: ルセアで、敵を撃破。
MID_MISSION_S0004_A4: プリシラで撃破
MID_MISSION_H_S0004_A4: プリシラで、敵を撃破。
MID_MISSION_S0004_A5: ニニアンで撃破
MID_MISSION_H_S0004_A5: ニニアンで、敵を撃破。
MID_MISSION_S0004_A6: レベッカで撃破
MID_MISSION_H_S0004_A6: レベッカで、敵を撃破。
MID_MISSION_S0004_A7: 特殊：外伝３－１節突破
MID_MISSION_H_S0004_A7: 無属性の仲間を自軍に入れて、\n外伝３－１節をクリア。
MID_MISSION_S0004_A8: 特殊：外伝３－２節突破
MID_MISSION_H_S0004_A8: 杖の仲間を自軍に入れて、\n外伝３－２節をクリア。
MID_MISSION_S0004_A9: 特殊：外伝３－３節突破
MID_MISSION_H_S0004_A9: 歩行の仲間を自軍に入れて、\n外伝３－３節をクリア。
MID_MISSION_S0004_A10: 特殊：外伝３－２節突破
MID_MISSION_H_S0004_A10: 剣の仲間を自軍に入れて、\n外伝３－２節をクリア。
MID_MISSION_S0004_A11: 特殊：外伝３－１節ハード突破
MID_MISSION_H_S0004_A11: 赤属性の仲間を自軍に入れて、\n外伝３－１節ハードをクリア。
MID_MISSION_S0004_A12: 特殊：外伝３－２節ハード突破
MID_MISSION_H_S0004_A12: 槍の仲間を自軍に入れて、\n外伝３－２節ハードをクリア。
MID_MISSION_S0004_A13: 特殊：外伝３－３節ハード突破
MID_MISSION_H_S0004_A13: 重装の仲間を自軍に入れて、\n外伝３－３節ハードをクリア。
MID_MISSION_S0004_A14: 特殊：外伝３－３節ハード突破
MID_MISSION_H_S0004_A14: 騎馬の仲間を自軍に入れて、\n外伝３－３節ハードをクリア。
MID_MISSION_S0013_TITLE: 育成応援
MID_MISSION_S0013_A1: 赤属性で撃破
MID_MISSION_H_S0013_A1: 赤属性の味方で、敵を撃破。
MID_MISSION_S0013_A2: 青属性で撃破
MID_MISSION_H_S0013_A2: 青属性の味方で、敵を撃破。
MID_MISSION_S0013_A3: 緑属性で撃破
MID_MISSION_H_S0013_A3: 緑属性の味方で、敵を撃破。
MID_MISSION_S0013_A4: 無属性で撃破
MID_MISSION_H_S0013_A4: 無属性の味方で、敵を撃破。
MID_MISSION_S0013_A5: 歩行で撃破
MID_MISSION_H_S0013_A5: 歩行の味方で、敵を撃破。
MID_MISSION_S0013_A6: 重装で撃破
MID_MISSION_H_S0013_A6: 重装の味方で、敵を撃破。
MID_MISSION_S0013_A7: 騎馬で撃破
MID_MISSION_H_S0013_A7: 騎馬の味方で、敵を撃破。
MID_MISSION_S0013_A8: 飛行で撃破
MID_MISSION_H_S0013_A8: 飛行の味方で、敵を撃破。
MID_MISSION_S0021ENCOUNT01_TITLE: 修練の塔
