[Heroes Archive] (Menu_00_first)


Heroes Message Name: Message


MID_EXTRA_HEROISM_LIST: 英雄値一覧
MID_UNIT_EDIT_SKILL_TALENT_CONFIRM: 以下のスキルを継承しますか？
MID_UNIT_EDIT_SKILL_INHERIT_WARNING: 継承した場合、\n継承元のキャラクターは消滅します。
MID_UNIT_EDIT_SKILL_INHERIT_DECIDE: 継承する
MID_UNIT_EDIT_SKILL_TALENT: スキル継承
MID_UNIT_EDIT_SKILL_TALENT_HELP2: 継承するスキルを３つ選択してください。
MID_UNIT_EDIT_SKILL_TALENT_HELP_DIALOG_00: ◆スキル継承◆\n他の仲間のスキルを一度に３つまで\n継承することができます。\n継承元の仲間は失われます。\n\n継承されたスキルは\nスキル習得すると使用可能になります。\n（習得に必要なＳＰは１．５倍です）
MID_UNIT_EDIT_SKILL_TALENT_HELP_DIALOG_01: ※お気に入り登録された仲間は\n　スキル継承元に設定できません。\n　仲間アイコンを長押しして\n　仲間詳細画面から解除してください。
MID_UNIT_EDIT_SKILL_STATUS_TALENT: 所持
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_INHERIT1: $a$a0の素質が必要です。
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_INHERIT2: $a$a0か$a1の\n素質が必要です。
MID_ARENA_SORT_GRADE: 階級内順位
MID_ARENA_SORT_REWARDTYPE_GRADE: 報酬の種類：階級
MID_ARENA_GAINED_REWARDTYPE_GRADE: $a闘技場・階級報酬　【階級$a0】
MID_ARENA_GAINED_REWARDTYPE_GRADE_CHANGE: $a闘技場・階級報酬　【階級$a1→$a0】
MID_ARENA_DIALOG_HELP_04_1103: ◆報酬◆\nシーズン終了後に\nハイスコアと階級に応じた\n報酬が与えられます。\nハイスコアが優れていると\n階級が上昇することがあります。
MID_ARENA_DIALOG_HELP_05_1103: ◆今シーズンのボーナスキャラ◆\nボーナスキャラを\n出撃・防衛メンバーに入れると、\nスコアが２倍になります。
MID_ARENA_DIALOG_HELP_3_00_1103: ◆報酬確認◆\n今シーズンの報酬を確認できます。\n\nフィルタを切り替えると\n「勝利」、「防衛」、「階級」の\n報酬を確認できます。
MID_ARENA_DIALOG_HELP_3_02_1103: ◆階級◆\n現在の階級と、\nその付近の階級の階級報酬です。\n※順位は１時間ごとに集計を行います。\n（毎時00分に集計を開始します）\n集計開始から順位の反映までに\n時間がかかることがあります。
MID_VOTE_INFERIOR_BOOST_RATE: $aあと$a0分、得点$a1倍!!
MID_SEQUENTIAL_MAP_TERM_201707: 共鳴せし双牙
MID_SEQUENTIAL_MAP_STAGE_CONSTRAINT_BIND: $a縛鎖$a1連戦：自軍$a0部隊
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_00: 一戦ごとに、新たな英雄で挑め！
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_01: ◆縛鎖の迷宮◆\n一つのマップをクリアすると、即座に\n次のマップが出現する連戦マップです。\n\n一度戦った英雄は縛鎖に囚われ、\n次以降のマップでは戦えません。
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_02: ◆必要な英雄の人数◆\n１マップごとに４人の英雄が必要です。\n\n５連戦の場合は、\n５×４＝２０人の英雄が必要です。\n （同じ英雄は１人とカウントされます）
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_03: ◆縛鎖ルール◆\n・部隊に、同じ英雄を\n　複数入れることはできません。\n\n・一度戦った英雄は、連戦中、\n　次以降のマップでは戦えません。\n（同じ英雄が複数いる場合は、\n　その全員が戦えなくなります）
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_04: ◆縛鎖の解除◆\n縛鎖の迷宮をクリアするか、\nクリアできずゲームオーバーになると、\n縛鎖は解除されます。\n\n縛鎖によって\n戦えなくなっていた英雄も、\n全員元通りになります。
MID_STAGE_OPEN_FIRST_TRIAL: 連戦トライアルが開放されました。
MID_STAGE_OPEN_NEW_TRIAL: 連戦トライアルに\n新たな章が追加されました。
MID_STAGE_OPEN_FIRST_BIND: 縛鎖の迷宮が開放されました。
MID_STAGE_OPEN_NEW_BIND: 縛鎖の迷宮に\n新たな階層が追加されました。
MID_STAGE_SELECT_DETAIL_BIND_UNIT: このマップでは、同じ英雄を２人以上\n部隊に入れることはできません。
MID_STAGE_SELECT_DETAIL_BIND_UNIT_TOTAL:  英雄の数が不足しています。\n 自軍部隊数×４人以上の英雄が必要です。\n （同じ英雄は１人とカウントされます）
MID_STAGE_SELECT_TRIAL: 連戦トライアル
MID_STAGE_SELECT_TRIAL_INFO: 複数のマップを連続して戦います。
MID_STAGE_SELECT_BIND: 縛鎖の迷宮
MID_STAGE_SELECT_BIND_INFO: 特殊なルールで連続して戦います。
MID_STAGE_SELECT_SCENARIO_MAIN_INFO_SHORT: 本編ストーリーのマップです。
MID_STAGE_SELECT_SCENARIO_SUB_INFO_SHORT: 外伝ストーリーのマップです。
MID_SUMMON_INFORMATION: 召喚のお知らせ
MID_SUMMON_SEASON_DAYS: $a終了まであと$a0日
MID_SUMMON_SEASON_HOURS: $a終了まであと$a0時間
MID_SUMMON_SEASON_MINUTES: $a終了まであと$a0分
MID_EXTENDED_SORT: 詳細ソート
MID_UNIT_EDIT_SORT_GOTO_EXTENDED: 詳細ソートへ
MID_UNIT_EDIT_SORT_GOTO_SIMPLE: 簡易ソートへ
MID_UNIT_EDIT_EXTENDED_SORT_INFO: ソートの優先順位と、\n仲間に表示する項目を選択してください。
MID_UNIT_EDIT_EXTENDED_SORT_CONDITIONS: $a条件$a0:
MID_UNIT_EDIT_EXTENDED_SORT_ORDER_ASCENDING: 昇順
MID_UNIT_EDIT_EXTENDED_SORT_ORDER_DESCENDING: 降順
MID_UNIT_EDIT_EXTENDED_SORT_CONDITION_NONE: -
MID_UNIT_EDIT_EXTENDED_SORT_CLEAR: 条件をリセット
MID_VOTE_OVERALL_SITUATION: 全体の戦況
MID_CHAIN_ARENA_TITLE: 縛鎖の闘技場
MID_CHAIN_ARENA_HEADLINE: $a連戦中、同じ英雄は１回しか出撃できない特別ルール。\nたくさんの英雄を率いて$a0連勝を目指そう！
MID_CHAIN_ARENA_ITEMHELP: 戦場に持って行くアイテムを３つまで選択できます。\nアイテムを使用しない場合は消費されません。\nアイテムは縛鎖の闘技場の中で入手できます。
MID_CHAIN_ARENA_SPECIALITEM: スペシャルアイテム
MID_CHAIN_ARENA_WINCOUNT: $a連勝数 $a0/$a1
MID_CHAIN_ARENA_CURRENT_SCORE: 今回の合計スコア
MID_CHAIN_ARENA_1WIN: $a$a0勝達成！
MID_CHAIN_ARENA_2WINS: $a$a0連勝達成！
MID_CHAIN_ARENA_DIALOG_BATTLE_CONFIRM_TEXT: 先に進みますか？
MID_CHAIN_ARENA_DIALOG_BATTLE_CONFIRM_WARNING: 縛鎖の闘技場では対戦権を消費しません。\n\n１日に１回目のみ、\n経験値、SP、英雄値等が入手できます。
MID_CHAIN_ARENA_DIALOG_BATTLE_CONFIRM_WARNING_TWICE: 縛鎖の闘技場では対戦権を消費しません。\n\n１日に２回目以降の挑戦になりますので、\n経験値、SP、英雄値等は入手できません。
MID_CHAIN_ARENA_DIALOG_GIVEUP_TEXT: 縛鎖の闘技場への挑戦を\n諦めて降参しますか？
MID_CHAIN_ARENA_DIALOG_GIVEUP_WARNING: 降参した場合、\n今回クリアしたマップ数に応じた\nスコアを獲得できます。
MID_CHAIN_ARENA_DIALOG_BACK_TEXT: 前の画面に戻りますか？
MID_CHAIN_ARENA_DIALOG_BACK_NO: 戻らない
MID_ARENA_DESCRIPTION: 世界のライバルたちに挑戦し、\n報酬を得られる腕試しの場です。\n英雄と共に7連勝を目指しましょう。
MID_CHAIN_ARENA_DESCRIPTION: $a複数の部隊で戦う、\n上級者向けの闘技場です。\n最大$a0連勝を目指しましょう。
MID_CHAIN_ARENA_GAINED_REWARDTYPE_RANK: $a縛鎖の闘技場・順位報酬\n順位：$a0
MID_CHARACTER_PICTORIAL_BOOK_TITLE: 英雄図鑑
MID_CHARACTER_PICTORIAL_BOOK_TOTAL: 英雄
MID_CHARACTER_PICTORIAL_BOOK_TALK: TALK!
MID_CHARACTER_PICTORIAL_BOOK_SUMMON_TALK: 召喚
MID_CHARACTER_PICTORIAL_BOOK_STRONGEST_TALK: ★5 LV.40
MID_CHARACTER_PICTORIAL_BOOK_HELP_DIALOG_00: ◆英雄図鑑◆\nこれまでに出会った英雄の一覧を\n見ることができます。\n\n◆英雄の詳細◆\n英雄をタップします。\n戦っただけならシルエットのみ、\n仲間にすれば更に詳しく見られます。
MID_CHARACTER_PICTORIAL_BOOK_HELP_DIALOG_01: ◆TALK◆\n英雄を召喚した時の\n会話を見ることができます。\n\n★とレベルを最高にしていれば、\nその時の会話も見られます。\n一覧で枠が光っているのが目印です。
MID_CHARACTER_PICTORIAL_BOOK_HELP_DIALOG_02: ◆イラスト◆\n＋ボタンで全身を見ることができます。\n\n◆ミニユニット◆\nタップして反応を見てみましょう。
MID_CHARACTER_PICTORIAL_BOOK_ERASE_NEW_ICON_BUTTON: 確認済みにする
MID_CHARACTER_PICTORIAL_BOOK_ERASE_NEW_ICON_DIALOG: 新しく仲間にした英雄に付いている\n！アイコンの表示を全て消去します。\nよろしいですか？
MID_CHARACTER_PICTORIAL_BOOK_ERASE_NEW_ICON_DECIDE: ！アイコンを消去する
MID_PRESENT_LIST_TIME_LIMIT: 過去１４日分の受取済履歴が表示されます。
MID_YEAR_MONTH_DAY: $a$a0/$a1/$a2
MID_COUNT_UP_LOGIN_BONUS_PERIOD: $a$a0 ～ $a1
MID_ITEM_HOLY_COIN: 聖貨
MID_ITEM_HELP_HOLY_COIN: いにしえの儀式に用いられるという\n貴重なコイン
MID_MAP_SEQUENTIAL_ARENA_ITEM_USE_DECIDE: 使用する
MID_MAP_SEQUENTIAL_ARENA_ITEM_USE_WARNING: 現在使用しても効果が得られないため\n使用できません。
MID_MAP_SEQUENTIAL_ARENA_ITEM_USE_HELP: 使用するアイテムを選択してください。
MID_SEQUENTIAL_MAP_TERM_201708: 果たされた再会
MID_SEQUENTIAL_MAP_BOOST: $a本日 あと$a0回 ポイント$a1倍！
MID_CHAIN_ARENA_HELP_DIALOG_00: 複数の部隊で、連勝を目指せ！
MID_CHAIN_ARENA_HELP_DIALOG_01: ◆縛鎖の闘技場◆\n複数の部隊で連勝を目指す、\n上級者向けの闘技場です。\n\n特殊アイテムの使いどころを見極め、\n待ち受ける強敵を突破しましょう。
MID_CHAIN_ARENA_HELP_DIALOG_02: ◆対戦◆\n対戦権は不要で、\n何度でも自由に対戦を行えます。\n\n◆対戦相手の強さ◆\n一戦目も、二戦目以降も、\n自分の最初の部隊の強さを\n基準に決まります。
MID_CHAIN_ARENA_HELP_DIALOG_03: ◆特殊アイテムの入手◆\n連勝中、レベル３５以上を含む敵部隊に\n一定回数勝利すると、\n特殊アイテムを入手できます。\n　３勝：１個\n　５勝：２個\n　７勝：３個
MID_CHAIN_ARENA_HELP_DIALOG_04: ◆特殊アイテムの持ち込み◆\n縛鎖の闘技場に挑戦する際に、\n持っているアイテムをタッチして、\n持ち込むことができます。\n\n持ち込んだアイテムは、\nマップ中で使用できます。
MID_CHAIN_ARENA_HELP_DIALOG_05: ◆縛鎖ルール◆\n・部隊に、同じ英雄を\n　複数入れることはできません。\n\n・一度戦った英雄は、連戦中、\n　次以降のマップでは戦えません。\n（同じ英雄が複数いる場合は、\n　その全員が戦えなくなります）
MID_CHAIN_ARENA_HELP_DIALOG_06: ◆縛鎖の解除◆\n最後まで連勝するか、\nゲームオーバーになると、\n縛鎖は解除されます。\n\n縛鎖によって\n戦えなくなっていた英雄も、\n全員元通りになります。
MID_CHAIN_ARENA_HELP_DIALOG_07: ◆スコア◆\n勝利すると、相手の強さに応じた\nスコアが入ります。\n\n連勝中は、直前の勝利スコアを\n連勝ボーナスとして加算できます。
MID_CHAIN_ARENA_HELP_DIALOG_08: ◆ハイスコア◆\nスコアの中で最高のものです。\nシーズンごとにリセットされます。\n\n◆報酬◆\nシーズン終了後に\nランキングに応じた\n報酬が与えられます。
MID_SEQUENTIAL_MAP_HELP_DIALOG_05_1106: ◆ボーナスキャラの能力アップ◆\nボーナスキャラは、\n戦渦の連戦の中でのみ、\n能力がアップします。\n（ＨＰ＋１０\n　攻撃、速さ、守備、魔防＋４）
MID_CHAIN_ARENA_DIALOG_HELP_3_00: ◆報酬確認◆\n今シーズンの報酬を確認できます。
MID_CHAIN_ARENA_DIALOG_HELP_3_01: ◆報酬受け取り◆\n縛鎖の闘技場報酬は、\n前シーズンの結果集計が終わった時～\n今シーズンが終了するまでの期間に\n縛鎖の闘技場に入った時、受け取れます。
MID_SUMMON_PULL_ONLY_ONCE: この召喚は１度行うと終了です。\n人気No.１は「リン」です。
MID_SUMMON_HERO_CONFIRM: この英雄を召喚しますか？
MID_SUMMON_GRANT_CONFIRM: 召喚を行いますか？
MID_SUMMON_GRANT_WARNING: この召喚は１度無料で行えます。\n（連続で召喚することはできません。）
MID_SUMMON_ONE_TIME_FREE_WARNING: この召喚は最初の１度のみ\n無料で行えます。
MID_SUMMON_LIMITED_BEGINNER_DAYS: $a初心者限定！終了まであと$a0日
MID_SUMMON_LIMITED_BEGINNER_HOURS: $a初心者限定！終了まであと$a0時間
MID_SUMMON_LIMITED_BEGINNER_MINUTES: $a初心者限定！終了まであと$a0分
MID_SUMMON_PAY_FREE: 召喚する
MID_UNIT_EDIT_SKILL_WARNING_SAME: 同一の英雄は「限界突破」で\n全てのスキルを継承可能です。\n\n「スキル継承」では\n一部のスキルしか継承できませんが\nよろしいですか？
MID_SEQUENTIAL_MAP_LOAD_TROOP_INFO: 呼び出す部隊を選択してください。\n控え部隊は連戦中のみ呼び出せます。
MID_SEQUENTIAL_MAP_LOAD_TROOP_BUTTON: この部隊を呼び出す
MID_SEQUENTIAL_MAP_LOAD_TROOP_EDIT: 編成
MID_SEQUENTIAL_MAP_LOAD_TROOP_SELECT_NORMAL: 通常部隊
MID_SEQUENTIAL_MAP_LOAD_TROOP_SELECT_RESERVE: 控え部隊
MID_SEQUENTIAL_MAP_LOAD_TROOP_ORGANIZE_RESERVE: 控え部隊を編成する
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE: 控え部隊編成
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_DECIDE: 再編成に戻る
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_CONFIRM: この部隊を呼び出しますか？
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_CONFIRM_DECIDE: 呼び出して戻る
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_CONFIRM_CANCEL: 呼び出さずに戻る
MID_UNIT_EDIT_RESERVE_TROOP_HELP_DIALOG_00: 控え部隊を編成しよう
MID_UNIT_EDIT_RESERVE_TROOP_HELP_DIALOG_01: 控え部隊は、\n連戦中のみ編成できる\n特別な部隊です。
MID_UNIT_EDIT_TROOP_LIST_INFO: 編成する部隊を選択してください。
MID_UNIT_EDIT_RESERVE_TROOP_LIST_INFO: 編成する控え部隊を選択してください。
MID_UNIT_EDIT_TROOP_LIST_SELECT: この部隊を選択する
MID_SEQUENTIAL_MAP_TERM_201709: 死に場所は、戦場
MID_UNIT_EDIT_SKILL_TALENT_SEARCH: スキル検索
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_CURRENT: スキル検索：
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_HELP: 検索したいスキルを選択してください。
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_WARNING_RARITY: キャラクターの★を上昇させると継承可能になります。
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_RESET: リセット
MID_UNIT_EDIT_RELIANCE_RANK_1: C
MID_UNIT_EDIT_RELIANCE_RANK_2: B
MID_UNIT_EDIT_RELIANCE_RANK_3: A
MID_UNIT_EDIT_RELIANCE_RANK_4: S
MID_UNIT_EDIT_RELIANCE_RANK_PAIR: 支援レベル
MID_UNIT_EDIT_RELIANCE_RANK_PLAYER: 絆レベル
MID_UNIT_EDIT_RELIANCE_PARTNER: 相手
MID_UNIT_EDIT_RELIANCE: 支援
MID_UNIT_EDIT_RELIANCE_PLAYER: 召喚師との絆の契り
MID_UNIT_EDIT_RELIANCE_SORT: ソート順を選択してください。
MID_UNIT_EDIT_RELIANCE_SORT_CHARACTER: キャラクター
MID_UNIT_EDIT_RELIANCE_SORT_RELIANCE_ASCENDING: 支援昇順
MID_UNIT_EDIT_RELIANCE_SORT_RELIANCE_DESCENDING: 支援降順
MID_UNIT_EDIT_RELIANCE_CONFIRM: $a支援を結ぶと、近くで戦う時に\n能力値がアップします。\n$a0と$a1の\n支援を結びますか？
MID_UNIT_EDIT_RELIANCE_WARNING: 支援を結べる相手は一人だけです。\n支援相手を変更すると、\n今までの支援相手との支援レベルは\nリセットされます。
MID_UNIT_EDIT_RELIANCE_DECIDE: 支援を変更する
MID_UNIT_EDIT_RELIANCE_HELP1: 相手を一人だけ選択して英雄同士の支援が結べます。
MID_UNIT_EDIT_RELIANCE_HELP2: 支援相手を変更すると支援レベルはリセットされます。
MID_UNIT_EDIT_RELIANCE_CHARACTER_NAME_EMPTY: －－－－－－
MID_UNIT_EDIT_PERSON_TOTAL: 英雄
