[Heroes Archive] (Menu_63_dream01)


Heroes Message Name: Message


MID_ITEM_HOLY_GRAIL: 英雄の聖杯
MID_SKYCASTLE_EDIT_AUTO_DIALOG_BTN_DECIDE: 配置する
MID_SKYCASTLE_EDIT_AUTO_DIALOG_COMPLETE: おまかせ配置を行いました。
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_0: 前衛配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_1: 後衛配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_2: 右方配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_3: 左方配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_4: 歩行部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_5: 重装部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_6: 騎馬部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_7: 飛行部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT: $aテーマ：$a0
MID_SKYCASTLE_EDIT_FLOOREDIT_TITLE: 地形変更
MID_SKYCASTLE_EDIT_FLOOREDIT_HELP: 地形を選択してください。
MID_SKYCASTLE_EDIT_FLOOREDIT_CHANGE_CONFIRM: この地形に変更しますか？
MID_SKYCASTLE_EDIT_FLOOREDIT_BUY_CONFIRM: $a飛空石×$a0を消費して、\n地形を変更しますか？
MID_SKYCASTLE_EDIT_FLOOREDIT_BTN_DECIDE: 変更する
MID_SKYCASTLE_EDIT_FLOOREDIT_COMPLETE_CONFIRM: 地形を変更しました。
MID_SKYCASTLE_EDIT_FLOOREDIT_BUY_ERROR: 地形を変更できません。
MID_SKYCASTLE_EDIT_FLOOREDIT_BUY_ERROR_WARNING: 追加可能な期間を過ぎています。
MID_SKYCASTLE_EDIT_DIALOG_TESTPLAY_CAPTION: 編集したマップで模擬戦を行います。
MID_SKYCASTLE_EDIT_DIALOG_TESTPLAY_CAPTION_WARNING: ・エナジーは消費しません。\n・レートの変動は発生しません。\n・攻撃砦と防衛砦のレベルは\n　同じものとして扱われます。
MID_SKYCASTLE_EDIT_DIALOG_TESTPLAY_BTN_START: 戦闘開始
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_DEFENSE: 防衛設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_DEFENSE: 防衛部隊をサポートする設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_TRAP: 罠
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_TRAP: 設置されたマスで敵が移動終了すると発動する罠
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_RESOURCE: 資源
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_RESOURCE: 飛空城のエナジー回復・貯蔵に関する設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_MISC: 装飾
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_MISC: 戦闘効果を持たない、観賞用の設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_OFFENSE: 攻撃設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_OFFENSE: 攻撃部隊をサポートする設備
MID_SKYCASTLE_EDIT_FACILITY_FILTER_ALL: すべて
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_DEFENSE: 防衛設備
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_TRAP: 罠
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_RESOURCE: 資源
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_MISC: 装飾
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_OFFENSE: 攻撃設備
MID_SKYCASTLE_EDIT_FACILITY_FILTER_DEFENSE_BUILDED: 防衛配置中
MID_SKYCASTLE_EDIT_FACILITY_FILTER_OFFENSE_BUILDED: 攻撃配置中
MID_SKYCASTLE_EDIT_FACILITY_FILTER_AVAILABLE: 生成強化可能
MID_SKYCASTLE_REWARD_TITLE: 報酬確認
MID_SKYCASTLE_REWARD_RANK: 順位
MID_SKYCASTLE_REWARD_TIER: 位階
MID_SKYCASTLE_REWARD_BTN_REWARDTYPE_TIER: 報酬の種類：位階
MID_SKYCASTLE_REWARD_BTN_REWARDTYPE_RANK: 報酬の種類：順位
MID_SKYCASTLE_REWARD_DIALOG_SELECT_FILTER: フィルタを選択してください。
MID_SKYCASTLE_REWARD_RANK_OUT_OF_RANGE: 圏外
MID_SKYCASTLE_REWARD_RANK_CALCULATING: 集計中
MID_SKYCASTLE_HISTORY_TITLE: 防衛結果
MID_SKYCASTLE_HISTORY_DEF_WIN: 防衛成功！
MID_SKYCASTLE_HISTORY_DEF_LOSE: 防衛失敗
MID_SKYCASTLE_HISTORY_NUM_DEFEAT: $a敵を$a0体撃破！
MID_SKYCASTLE_HISTORY_BTN_REVENGE: リベンジ
MID_SKYCASTLE_HISTORY_BTN_REVENGE_FINISHED: リベンジ済み
MID_SKYCASTLE_HISTORY_BTN_REPLAY: リプレイ
MID_SKYCASTLE_HISTORY_REVENGED: 相手がリベンジしました。
MID_SKYCASTLE_HISTORY_NO_HISTORY: 防衛履歴がありません。
MID_SKYCASTLE_HISTORY_DIALOG_REPLAY_CONFIRM: 戦闘の様子をリプレイしますか？
MID_SKYCASTLE_HISTORY_DIALOG_REPLAY_BTN_YES: リプレイ開始
MID_SKYCASTLE_HISTORY_DIALOG_REPLAY_ERROR: リプレイデータを\n取得できませんでした。
MID_SKYCASTLE_HISTORY_MENUBAR_BTN_PLAY: 再生
MID_SKYCASTLE_HISTORY_MENUBAR_BTN_STOP: 一時停止
MID_SKYCASTLE_HISTORY_SELECT_FILTER: フィルタを選択してください。
MID_SKYCASTLE_HISTORY_FILTER_DEF_WIN: フィルタ：防衛成功
MID_SKYCASTLE_HISTORY_FILTER_DEF_LOSE: フィルタ：防衛失敗
MID_SKYCASTLE_HISTORY_FILTER_REVENGE: フィルタ：リベンジ可
MID_SKYCASTLE_HISTORY_FILTER_ALL: フィルタ：すべて
MID_SKYCASTLE_HISTORY_BTN_FILTER_DEF_WIN: 防衛成功
MID_SKYCASTLE_HISTORY_BTN_FILTER_DEF_LOSE: 防衛失敗
MID_SKYCASTLE_HISTORY_BTN_FILTER_REVENGE: リベンジ可
MID_SKYCASTLE_HISTORY_BTN_FILTER_ALL: すべて
MID_SKYCASTLE_RANKING_TITLE: 現在の順位
MID_SKYCASTLE_RANKING_RANK_PLAYER: 自分の順位
MID_SKYCASTLE_RANKING_RANK_TOP: 上位
MID_SKYCASTLE_RANKING_RANK_FRIEND: フレンド
MID_SKYCASTLE_RANKING_RANK_RANGE: 表示範囲
MID_SKYCASTLE_RANKING_UNCALCULATED_TOP: ランキング集計中です。
MID_SKYCASTLE_RANKING_UNCALCULATED_PLAYER: あなたの順位は集計圏外です。
MID_SKYCASTLE_EDIT_HELP_DIALOG_00: 【攻撃マップ】は、対戦で使用。\n敵の飛空城へ攻め込もう。
MID_SKYCASTLE_EDIT_HELP_DIALOG_01: 【防衛マップ】は、防衛戦で使用。\n敵から防衛部隊を守ろう。
MID_SKYCASTLE_EDIT_HELP_DIALOG_02: ◆飛空城の編集◆\n設備や部隊を配置し、\n攻撃マップと防衛マップを\n強化しましょう。
MID_SKYCASTLE_EDIT_HELP_DIALOG_03: ◆防衛マップ◆\n防衛設備、罠、資源、装飾、\n防衛部隊を配置します。\n\n◆防衛部隊◆\n防衛部隊は、防衛マップの\n上２段に配置できます。
MID_SKYCASTLE_EDIT_HELP_DIALOG_04: ◆攻撃マップ◆\n攻撃設備を設置します。\n\n◆攻撃部隊◆\n攻撃部隊は、攻撃マップから\n１つ上の段に出現します。
MID_SKYCASTLE_EDIT_HELP_DIALOG_05: ◆防衛設備の設置◆\n防衛設備および罠、資源、装飾は、\n特殊な地形（林や溝など）以外の\n空いているマスに設置できます。
MID_SKYCASTLE_EDIT_HELP_DIALOG_06: ◆撤去できない設備◆\n砦と資源は撤去できません。\n\n◆設備の破壊◆\n砦と攻撃設備は破壊できません。\nそれ以外の設備は、\n１回の攻撃で破壊できます。
MID_SKYCASTLE_EDIT_HELP_DIALOG_07: ◆おまかせ配置◆\n設備生成・強化と設置、\n防衛部隊の編成と配置を、\nすべておまかせで行う機能です。\n\n※設備生成・強化が含まれる場合、\n　飛空石や天空の雫を消費します。
MID_SKYCASTLE_EDIT_HELP_DIALOG_08: ◆模擬戦◆\n自分のマップと部隊を用いて、\nエナジーを消費せずに\n戦うことができます。
MID_SKYCASTLE_EDIT_HELP_DIALOG_09: ◆シーズン期間外の模擬戦◆\n今シーズンの結果集計が終わった時～\n次シーズンが開始するまでの期間、\n模擬戦は次シーズン扱いとして\n行われます。
MID_SKYCASTLE_EDIT_SELECTFACILITY_HELP_DIALOG_00: ◆設備設置◆\n生成済みの設備を\n設置・撤去します。
MID_SKYCASTLE_EDIT_SELECTFACILITY_HELP_DIALOG_01: ◆設置上限◆\n各設備には、\n設置数の上限があります。
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP_DIALOG_00: ◆設備生成◆\n飛空石や天空の雫を消費し、\n新たな設備を生成することができます。
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP_DIALOG_01: ◆設備強化◆\n飛空石や天空の雫を消費し、\n設備を１段階強くします。
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP_DIALOG_02: ◆期間限定の設備◆\n期間限定で生成できる設備があります。\n生成には、同じ期間限定で得られる\n特別なアイテムが必要です。\n※一度生成した設備は、\n　期間後も残り続けます。
MID_SKYCASTLE_EDIT_FLOOREDIT_HELP_DIALOG_00: 戦略に合わせて地形を変更！
MID_SKYCASTLE_EDIT_FLOOREDIT_HELP_DIALOG_01: ◆地形の変更◆\n飛空城の地形を変更します。\n\n一部の地形は、最初の変更で\n飛空石が必要な場合があります。\n（以降は自由に変更可）
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_00: 自分とライバルの飛空城で攻防戦！
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_01: ◆飛空城◆\nマップに設備や部隊を配置し、\n攻撃と防衛を行う\nレート制の戦いです。\n\n７ターン以内に\n防衛部隊を全滅させると、\n攻撃側の勝利となります。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_02: ◆エナジー◆\n飛空城で対戦を行う際に消費し、\n１日経つと一定量回復し、\nシーズン開始時に全回復します。\n※最大値を超える回復は、\n　最大値でストップします。\n\nレートが上がるほど、\n消費量も多くなります。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_03: ◆レートと位階◆\n・攻撃と防衛の\n　戦績によってレートが変動します。\n・レートによって位階が決まります。\n・次シーズンは、位階ごとに\n　規定のレートから開始します。\n（位階１２以上の場合）
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_04: ◆獲得レート◆\n・ボーナスキャラを攻撃部隊に入れると\n　獲得レートが＋２０されます。\n※このときの防衛側の下降量は\n　変化しません。\n※複数選択時、合計せず最大値を適用。\n・攻撃部隊が撃破されてしまうと、\n　獲得レートは減少します。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_05: ◆レートが下降しない特別条件◆\n・レート４０００以下のとき、\n　攻撃失敗・防衛失敗による\n　レートの下降は発生しません。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_06: ◆レート　その他◆\n対戦が正常に終了しなかった場合、\n攻撃防衛ともにレートは変動しません。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_07: ◆ボーナスキャラ◆\n・攻撃部隊・防衛部隊に編成すると\n　出撃時に能力がアップします。\n（ＨＰ＋１０、攻撃速さ守備魔防＋４）\n・入手経験値、ＳＰが２倍になります。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_08: ◆ボーナス設備◆\n・設置すると、【攻撃砦】または\n　【防衛砦】のレベルが＋１されます。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_09: ◆防衛砦と位階の降格◆\n位階が下がると、\n防衛砦のレベルが、\n本来よりも低い状態で\n防衛することがあります。
MID_SKYCASTLE_BATTLE_REWARD_HELP_DIALOG_00: ◆報酬確認◆\n今シーズンの報酬を確認できます。
MID_SKYCASTLE_BATTLE_REWARD_HELP_DIALOG_01: ◆報酬受け取り◆\n飛空城報酬は、\n前シーズンの結果集計が終わった時～\n今シーズンが終了するまでの期間に\n飛空城に入った時、受け取れます。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_00: ◆防衛結果◆\n飛空城の防衛結果の一覧です。\n勝敗に応じたレートの変化や、\n撃破人数を見ることができます。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_01: ◆リプレイ◆\n自分の防衛戦の様子を再現します。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_02: ◆リベンジ◆\n防衛に失敗した相手の飛空城を、\n１度だけ攻撃できます。\n※エナジーを消費します。\n※同じ相手からの\n　防衛履歴が複数あるときは、\n　どれか１つだけリベンジできます。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_03: ◆レートの下降抑制◆\n１度攻撃されると、その後２０時間、\nさらに防衛失敗しても\nレートの下降は発生しません。
