[Heroes Archive] (Menu_45_valentine01)


Heroes Message Name: Message


MID_HOME_TALK_NAVIGATION_JUMP: 挑戦しに行く
MID_TAP_BATTLE_MUSIC_DETAIL_BPM: $aBPM：$a0
MID_TAP_BATTLE_MUSIC_DETAIL_AUTHORITY: 出典
MID_TAP_BATTLE_PAUSE_SURRENDER: 降参
MID_TAP_BATTLE_PAUSE_RETRY: 最初からプレイ
MID_TAP_BATTLE_PAUSE_SURRENDER_DECIDE: 降参する
MID_TAP_BATTLE_PAUSE_SURRENDER_TEXT: 降参しますか？
MID_TAP_BATTLE_PAUSE_RETRY_DECIDE: 最初からプレイ
MID_TAP_BATTLE_PAUSE_RETRY_TEXT: 最初からプレイしますか？
MID_TAP_BATTLE_GAME_OVER_TEXT: 再度プレイしますか？
MID_TAP_BATTLE_GAME_OVER_RETRY_FIRST: 最初からプレイ
MID_TAP_BATTLE_GAME_OVER_RETRY_BOSS: ボスの最初からプレイ
MID_TAP_BATTLE_GAME_OVER_QUIT: 諦める
MID_TAP_BATTLE_GAME_OVER_TIMING: タイミング調整
MID_TAP_BATTLE_RESULT_CURRENT: 今回の成績
MID_TAP_BATTLE_RESULT_DIFFICULTY_MODE: $a$a0／$a1
MID_TAP_BATTLE_RESULT_CONFIRM: 確認
MID_TAP_BATTLE_RESULT_REPLAY: もう一度プレイする
MID_TAP_BATTLE_RESULT_COMMENT_GAME_OVER: 次は一回で突破を目指しましょう。
MID_TAP_BATTLE_RESULT_COMMENT_MAX_COMBO_FULL: $aコンボは$a0回、\nパーフェクト達成です！
MID_TAP_BATTLE_RESULT_COMMENT_CRITICAL_COUNT: $aあと$a0回でパーフェクトです！
MID_TAP_BATTLE_RESULT_COMMENT_TIMING: 設定からタイミング調整ができます。
MID_TAP_BATTLE_RESULT_COMMENT_MAX_COMBO: $aコンボは最高$a0回でした。
MID_TAP_BATTLE_RESULT_COMMENT_MAX_COMBO_NEW_RECORD: $aコンボは最高$a0回、新記録です。
MID_TAP_BATTLE_RESULT_COMMENT_CRITICAL_COUNT_MAX_COMBO: $aあと$a0回でパーフェクトです！\nコンボは最高$a1回でした。
MID_TAP_BATTLE_RESULT_COMMENT_CRITICAL_COUNT_MAX_COMBO_NEW_RECORD: $aあと$a0回でパーフェクトです！\nコンボは最高$a1回、新記録です。
MID_TAP_BATTLE_RESULT_COMMENT_TIMING_MAX_COMBO: $aコンボは最高$a0回でした。\n設定からタイミング調整もできます。
MID_TAP_BATTLE_RESULT_COMMENT_TIMING_MAX_COMBO_NEW_RECORD: $aコンボは最高$a0回、新記録です。\n設定からタイミング調整もできます。
MID_TAP_BATTLE_TIMING_DIALOG_TEXT: タイミングを調整します。\n音が鳴るタイミングに合わせて\n画面をタップしてください。
MID_TAP_BATTLE_TIMING_FRAME_INFOMATION: 目立つ音が鳴るタイミングで\n画面をタップしてください。
MID_TAP_BATTLE_TIMING_DIALOG_ADJUST: 調整する
MID_TAP_BATTLE_TIMING_DIALOG_ADJUST_MANUALLY: 手動で調整する
MID_TAP_BATTLE_TIMING_DIALOG_COMPLETE: タイミングを調整しました。\n現在の設定に変更しますか？
MID_TAP_BATTLE_TIMING_DIALOG_DECIDE: 変更する
MID_TAP_BATTLE_TIMING_DIALOG_REVERT: 変更しない
MID_TAP_BATTLE_TIMING_DIALOG_READJUST: 再調整
MID_TAP_BATTLE_TIMING_DIALOG_TEXT_ADJUST_MANUALLY: タイミングを手動で調整できます。
MID_TAP_BATTLE_TIMING_TEST: テストプレイ
MID_TAP_BATTLE_CLOSED: 現在開催していません。
MID_TAP_BATTLE_STAGE_SELECT_FAILED: 戦闘を開始することができません。
MID_TAP_BATTLE_STAGE_SELECT_EXPIRED: 今回のダンジョンの開催期間は\n終了しました。
MID_TAP_BATTLE_STAGE_SELECT_INSUFFICIENT_UNIT: 部隊の人数が不足しています。
MID_TAP_BATTLE_STAGE_SELECT_RELOAD: 別画面へ移り、戻って下さい。
MID_TAP_BATTLE_REMAINING_MINUTES: $a終了まであと$a0分
MID_TAP_BATTLE_REMAINING_HOURS: $a終了まであと$a0時間
MID_TAP_BATTLE_REMAINING_DAYS: $a終了まであと$a0日
MID_TAP_BATTLE_NEXT_STAGE_REMAINING_MINUTES: $a次ステージ出現まであと$a0分
MID_TAP_BATTLE_NEXT_STAGE_REMAINING_HOURS: $a次ステージ出現まであと$a0時間
MID_TAP_BATTLE_NEXT_STAGE_REMAINING_DAYS: $a次ステージ出現まであと$a0日
MID_TAP_BATTLE_DATA_TOP_FLOOR: ダンジョンの奥に温泉発見！\n皆で入ると、心も温まるようだ…。
MID_TAP_BATTLE_HELP_DIALOG_00: タップして、次々と敵を倒せ！
MID_TAP_BATTLE_HELP_DIALOG_01: ◆タップバトル◆\n画面をタップして敵を倒す\nアクションゲームです。\n\n音楽やキャラクターのボイスを\n聞いて遊んでみてください。
MID_TAP_BATTLE_HELP_DIALOG_02: ◆遊び方◆\n画面下の召喚師を\nタップするだけで攻撃できます。\n\nタイミング良く攻撃して敵を倒すと、\nクリティカルとなり、右へ吹っ飛びます。\n連続してクリティカルで倒すと、\nコンボとなります。
MID_TAP_BATTLE_HELP_DIALOG_03: エキスパートはラインをタップ！
MID_TAP_BATTLE_HELP_DIALOG_04: ◆エキスパートモード◆\n画面下の召喚師をタップする\n「カジュアル」モードのほかに、\n攻撃する味方のラインをタップする\n「エキスパート」モードがあります。
MID_TAP_BATTLE_HELP_DIALOG_05: ◆プレイできるステージ◆\nイベント開始直後は、\n全てのステージをプレイできません。\n\n一定時間経つと、新たなステージが\nプレイ可能となります。
MID_TAP_BATTLE_HELP_DIALOG_06: ◆タップバトル環境設定◆\nタイミングが合わないと感じたら、\n環境設定を試してみましょう。\n\nタイミングを調整したり、\n効果音やボイスをオフにすると\nプレイしやすくなるかもしれません。
MID_TAP_BATTLE_ENVIRONMENT_HELP_DIALOG_00: ◆タップバトル環境設定◆\nプレイしやすくするため、\n環境設定を試してみましょう。\n\nタイミングが合わないと感じたら、\nタイミング調整を行うと、\nプレイしやすくなるかもしれません。
MID_TAP_BATTLE_ENVIRONMENT_HELP_DIALOG_01: ◆タイミング調整◆\nリズムに合わせてタップすることで、\nタイミングを自動で調整できます。\n\n自動でずれていると感じたら、\n手動でも調整できます。\n早いと感じたら＋に、\n遅いと感じたら－に調整してください。
MID_TAP_BATTLE_ENVIRONMENT_HELP_DIALOG_02: ◆効果音、ボイス◆\n効果音やボイスのオフも\n試してみましょう。\n\n効果音とボイスのオン・オフは、\nタップバトルでのみ影響します。
MID_VOTE_TERM_201801: 冬祭り VS お正月
