[Heroes Archive] (Menu_Tutorial)


Heroes Message Name: Message


MID_ARENA_TITLE: 闘技場
MID_ARENA_DIALOG_HELP_01: ◆対戦◆\n対戦権を消費して対戦を行います。\n対戦相手は３つの部隊から選べます。
MID_ARENA_DIALOG_HELP_02: ◆スコア◆\n勝利すると、相手の強さに応じた\nスコアが入ります。\n\n連勝中は、直前の勝利スコアを\n連勝ボーナスとして加算できます。\n※連勝ボーナスは、\n７連勝目でリセットされます。
MID_ARENA_DIALOG_HELP_03: ◆ハイスコア◆\nスコアの中で最高のものです。\nシーズンごとにリセットされます。
MID_ARENA_DIALOG_HELP_04: ◆報酬◆\nシーズン終了後に\nハイスコアとランキングに応じた\n報酬が与えられます。\nハイスコアが優れていると\n階級が上昇することがあります。
MID_ARENA_DIALOG_HELP_05: ◆今シーズンのボーナスキャラ◆\nボーナスキャラを\n出撃メンバーに入れると、\nスコアが２倍になります。
MID_ARENA_DIALOG_HELP_2_00: ◆防衛結果◆\n防衛戦で勝利した結果の一覧です。\n勝利するごとに\n防衛スコアが得られます。
MID_ARENA_DIALOG_HELP_2_01: ◆防衛報酬について◆\n最も高いスコアを元にして\n今シーズンの報酬が決定されます。
MID_ARENA_DIALOG_HELP_2_02: ◆防衛部隊について◆\n編成の１番目（左端）の部隊が\n防衛部隊として設定されます。
MID_ARENA_DIALOG_HELP_3_00: ◆報酬確認◆\n今シーズンの報酬を確認できます。\n\nフィルタを切り替えると\n「勝利」、「防衛」、「順位」の\n報酬を確認できます。
MID_ARENA_DIALOG_HELP_3_01: ◆勝利◆\n対戦のハイスコア報酬の一覧です。\n\n◆防衛◆\n防衛戦のハイスコア報酬の一覧です。\n\n
MID_ARENA_DIALOG_HELP_3_02: ◆順位◆\n闘技場のランキング報酬の一覧です。\n上位100,000位以内のスコアが\nランキングされます。\n※順位は１時間ごとに集計を行います。\n（毎時00分に集計を開始します）\n集計開始から順位の反映までに\n時間がかかることがあります。
MID_ARENA_DIALOG_HELP_3_03: ◆報酬受け取り◆\n闘技場報酬は、\n前シーズンの結果集計が終わった時～\n今シーズンが終了するまでの期間に\n闘技場に入った時、受け取れます。
MID_ARENA_RANK01: 見習い騎士第七小隊
MID_ARENA_RANK02: 白騎士団
MID_ARENA_RANK03: 竜騎士団
MID_ARENA_RANK04: ブラックナイツ
MID_ARENA_RANK05: ランスリッター
MID_ARENA_RANK06: グリューンリッター
MID_ARENA_RANK07: ヴァイスリッター
MID_ARENA_RANK08: 弓軍将
MID_ARENA_RANK09: 魔道軍将
MID_ARENA_RANK10: 騎士軍将
MID_ARENA_RANK11: 大軍将
MID_ARENA_RANK12: 三竜将
MID_ARENA_RANK13: 八神将
MID_ARENA_RANK14: 帝国六将
MID_ARENA_RANK15: 四駿
MID_ARENA_RANK16: 神使親衛隊
MID_ARENA_RANK17: 十二魔将
MID_ARENA_RANK18: 白夜の血族
MID_ARENA_RANK19: 暗夜の血族
MID_ARENA_RANK20: 神祖竜
MID_CONFIG_ON: オン
MID_CONFIG_OFF: オフ
MID_CONFIG_ANIME_BATTLE: 戦闘アニメ
MID_CONFIG_ANIME_SUPPORT: 補助アニメ
MID_CONFIG_ANIME_PLAYER_TURN: 自軍ターンのみ
MID_CONFIG_OPERATION_COMMAND: 行動確定操作
MID_CONFIG_OPERATION_FIXED: 待機確定操作
MID_CONFIG_OPERATION_AUTO: 自動
MID_CONFIG_OPERATION_TAP: タップ
MID_CONFIG_AUTO_TURN_END: 自動ターン終了
MID_CONFIG_UNIT_AUTO_LOCK: 自動お気に入り設定
MID_CONFIG_MUTED: ミュート
MID_CONFIG_BGM_VOLUME: ＢＧＭ音量設定
MID_CONFIG_SE_VOLUME: 効果音音量設定
MID_CONFIG_VOICE_VOLUME: ボイス音量設定
MID_CONFIG_MAP_BEGIN: マップ開始時の操作
MID_CONFIG_MAP_BEGIN_BATTLE: 戦闘
MID_CONFIG_MAP_BEGIN_SORTIE: 配置変更
MID_CONFIG_DOUBLE_TAP_FIXED: ダブルタップで待機
MID_CONFIG_TALK_WAIT_FOR_AUTO_MODE: おまかせ時の会話送り
MID_CONFIG_TALK_WAIT_TAP: タップ
MID_CONFIG_TALK_WAIT_AUTO: 自動
MID_CONFIG_AUTO_SHOW_DANGER: 自動危険範囲表示
MID_CONFIG_AUTO_MODE_CONTINUATION: 連戦時おまかせ継続
MID_CONFIG_AUTO_SKIP: マップ演出省略
MID_CONFIG_AUTO_SKIP_ENEMY_TURN: 敵軍ターンのみ
MID_CONFIG_AUTO_SKIP_FOR_AUTO_MODE: おまかせ時演出省略
MID_CONFIG_AUTO_BUTTON: おまかせボタン表示
MID_CONFIG_AUTO_BUTTON_MENU: メニュー
MID_CONFIG_AUTO_BUTTON_FOOTER: 画面下
MID_CONFIG_AUTO_BUTTON_ALL: すべて
MID_CONFIG_LEVEL_SORT: レベルソート
MID_CONFIG_LEVEL_SORT_DEFAULT: 通常
MID_CONFIG_LEVEL_SORT_IGNORE_LIMIT_BREAK: 限界突破無視
MID_CONFIG_SEQUENTIAL_MAP_RECOMMENDATION_ENABLED: 戦渦の連戦　推奨難度
MID_CONFIG_SHOW_MAP_COMMAND_GUIDE: AI行動演出
MID_CONFIG_BATTLE_ENEMY_BGM: 敵フェイズＢＧＭ
MID_CONFIG_SHOW_MAP_COMMAND_GUIDE_SIMPLE: シンプル
MID_CONFIG_SHOW_MAP_COMMAND_GUIDE_RICH: リッチ
MID_CONFIG_BATTLE_BGM: バトルＢＧＭ
MID_CONFIG_BATTLE_BGM_ONLY_SPECIAL: 特殊ＢＧＭのみ
MID_TITLE_ASK_NAME: あなたの名前を教えてください。
MID_TITLE_ASK_NAME_CAPTION: 名前を入力してください。
MID_TITLE_ASK_NAME_INFO: 名前は１２文字以内です。\n一部の記号は使用できません。\n後で変更することができます。
MID_TITLE_USER_NAME_PLACE_HOLDER: あなたの名前
MID_TITLE_USER_NAME_DEFAULT_NAME: エクラ
MID_TITLE_USER_NAME_NG: 他の人が不快に思う言葉は\n使用できません
MID_EXTRA: その他
MID_EXTRA_SUBMENU: FAQ等
MID_EXTRA_ITEMLIST: アイテム一覧
MID_EXTRA_ITEMLIST_INFO: 所持しているアイテムの一覧です。
MID_EXTRA_ENVIRONMENT: 環境設定
MID_EXTRA_ENVIRONMENT_INFO: 環境設定を編集できます。
MID_EXTRA_MOVIELIST: ムービー
MID_EXTRA_MOVIELIST_PLAY: 再生
MID_EXTRA_MOVIELIST_OPENING: オープニングムービー
MID_EXTRA_MOVIELIST_SUMMON: $a$a0召喚
MID_EXTRA_ACHIVEMENT_ANDROID: Google Play 実績
MID_EXTRA_ACHIVEMENT_IOS: Game Center 実績
MID_EXTRA_HELP: ＦＡＱ
MID_EXTRA_CUSTOMER: カスタマーサポート
MID_EXTRA_TERM: 利用規約
MID_EXTRA_PRIVACY: プライバシーポリシー
MID_EXTRA_ABOUT: このアプリについて
MID_EXTRA_CHANGE_LANGUAGE: 言語変更
MID_EXTRA_CHANGE_NAME: 名前変更
MID_EXTRA_PLAY_ANALYTICS: データの利用について
MID_EXTRA_PLAY_ANALYTICS_TERMS: 「ファイアーエムブレム ヒーローズ」では\nお客様向けにカスタマイズされたサービスの提供\nおよび広告の配信ならびにクラッシュ情報の\n分析のためにお客様の本アプリの利用情報を\n取得しております。\n\nこのような目的での当社による情報の取得を停止\nされる場合は「利用情報の送信をやめる」を\n選択してください。\n\n※変更した設定が有効となるのは\n本アプリの再起動後になります。\n\n※本アプリ外での広告の配信自体を停止するには\nお使いの端末の設定を変更してください。
MID_EXTRA_PLAY_ANALYTICS_ON: 利用情報の送信をはじめる
MID_EXTRA_PLAY_ANALYTICS_OFF: 利用情報の送信をやめる
MID_EXTRA_PLAY_ANALYTICS_CONFIRM: 利用情報送信設定を変更しました。\n※変更した設定が有効となるのは\n　本アプリの再起動後になります。
MID_PRESENT_LIST_TITLE: プレゼントリスト
MID_PRESENT_LIST_RECEIVED: 受取済
MID_PRESENT_LIST_RECEIVE: ページ内のアイテムを\n全て受け取りました。
MID_PRESENT_LIST_MAXIMUM: 所持上限に達しているため、\nプレゼントを受け取ることが\nできませんでした。
MID_PRESENT_LIST_MAXIMUM_PART: 所持上限に達しているため、\n一部のプレゼントを受け取ることが\nできませんでした。
MID_PRESENT_LIST_ERROR_RECEIVE_PART: エラーにより、一部のプレゼントを\n受け取ることができませんでした。
MID_PRESENT_LIST_CONFIRM_TO_RECEIVE_ALL: 一括で受け取りますか？
MID_PRESENT_LIST_RECEIVE_BUTTON: 受け取る
MID_PRESENT_LIST_RECEIVE_ALL_BUTTON: 一括受取
MID_PRESENT_LIST_MINUTE: $aあと$a0分
MID_PRESENT_LIST_HOUR: $aあと$a0時間
MID_PRESENT_LIST_DAY: $aあと$a0日
MID_FRIEND_LIST_MINUTE: $a最終プレイ：$a0分前
MID_FRIEND_LIST_HOUR: $a最終プレイ：$a0時間前
MID_FRIEND_LIST_DAY: $a最終プレイ：$a0日前
MID_FRIEND_LIST_WEAK: $a最終プレイ：$a0週間前
MID_FRIEND_LIST_OLDEST_WEAK: 最終プレイ：4週間以上前
MID_FRIEND_YOUR_ID: あなたのID：
MID_HOME_PAGE_PREV: 前へ
MID_FRIEND_LIST_TITLE: フレンドリスト
MID_FRIEND_ACCEPT: 承認
MID_FRIEND_ALL_ACCEPT: 一括承認
MID_FRIEND_DIALOG_ACCEPT: フレンド申請を承認しますか？
MID_FRIEND_DIALOG_ALL_ACCEPT: 一括でフレンド申請を承認しますか？
MID_FRIEND_ACCEPTED: 承認しました。
MID_FRIEND_REFUSE: 拒否
MID_FRIEND_ALL_REFUSE: 一括拒否
MID_FRIEND_DIALOG_REFUSE: フレンド申請を拒否しますか？
MID_FRIEND_DIALOG_ALL_REFUSE: 一括でフレンド申請を拒否しますか？
MID_FRIEND_REFUSED: 拒否しました。
MID_FRIEND_DELETE: フレンドをやめる
MID_FRIEND_DELETED: フレンドをやめました
MID_FRIEND_DELETE_CHECK: 本当にフレンドをやめてもいいですか？
MID_FRIEND_HELLO: あいさつする
MID_FRIEND_DELETE_REQUEST: 申請取消
MID_FRIEND_ALL_DELETE_REQUEST: 一括申請取消
MID_FRIEND_DIALOG_DELETE_REQUEST: フレンド申請を取消しますか？
MID_FRIEND_DIALOG_ALL_DELETE_REQUEST: 一括でフレンド申請を取消しますか？
MID_FRIEND_DELETED_REQUEST: 申請を取消しました
MID_FRIEND_REQUEST: フレンド申請する
MID_FRIEND_SEARCH_USER_ID: IDを検索してフレンド申請ができます。
MID_FRIEND_INPUT_SEARCH: ここに相手のIDを入力
MID_FRIEND_LIST_SEARCH_CAPTION: 検索するIDを入力してください。
MID_FRIEND_ALREADY_FRIEND: 既にフレンドです。
MID_FRIEND_ALREADY_SENT_REQUEST: 既に申請済みです。
MID_FRIEND_SEND_REQUEST: 申請しました。
MID_FRIEND_LIST_EMPTY: 現在、フレンドはいません。
MID_FRIEND_SEARCH_EMPTY: 相手のIDを入力してください。
MID_FRIEND_SEARCH_ERROR: 入力したIDが間違っています。
MID_FRIEND_SEARCH_INVALID: 入力したIDが間違っています。\n１０桁の数字を入力してください。
MID_FRIEND_SEARCH_EQUAL_MY_ID: 自分自身のIDを入力して、\n検索することはできません。
MID_FRIEND_REQUEST_EMPTY: 申請中のユーザはいません。
MID_FRIEND_APPROVAL_EMPTY: 現在、承認待ちはありません。
MID_PRESENT_ACTIVE_EMPTY: プレゼントは受取済みです。
MID_PRESENT_RECEIVED_EMPTY: 過去１４日間の受取済みのプレゼントは\nありません。
MID_HOME_FRIEND_TALK_SEND: フレンドに挨拶しました。
MID_HOME_FRIEND_TALK_RECEIVE: $a$a0人のフレンドから挨拶されました。
MID_HOME_FRIEND_TALK_RECEIVE_MAX: 5人以上のフレンドから挨拶されました。
MID_FRIEND_ERROR_SEND_REQUEST: フレンドを最大まで登録している、\nもしくは、申請中であるため、\n申請できません。
MID_FRIEND_ERROR_ACCEPT_REQUEST: フレンドを最大まで登録している、\nもしくは、既にフレンドであるため、\n申請を承認できません。
MID_FRIEND_ERROR_REFUSE_REQUEST: 既に申請を拒否しています。
MID_FRIEND_ERROR_DELETE: 既にフレンドではありません。
MID_FRIEND_ERROR_DELETE_REQUEST: 既に申請を承認、\nまたは拒否されています。\n
MID_FRIEND_ERROR_OPERATE: エラーが発生しました。
MID_FRIEND_REQUEST_DIALOG: このプレイヤーに\nフレンド申請を行いますか？
MID_FRIEND_REQUEST_DIALOG_DECIDE: 申請する
MID_FRIEND_REQUEST_DIALOG_CANCEL: 申請しない
MID_INVENTORY_NONE: 
MID_INVENTORY_MY_NINTENDO_GIFT: マイニンテンドーギフト
MID_ITEM_ORB: オーブ
MID_ITEM_HELP_ORB: 「召喚」等で使用する
MID_ITEM_FEATHER: 英雄の翼
MID_ITEM_HELP_FEATHER: 「覚醒」で使用する
MID_ITEM_STAMINA: スタミナ回復薬
MID_ITEM_HELP_STAMINA: スタミナを+50する
MID_ITEM_ARENA: 対戦権の剣
MID_ITEM_HELP_ARENA: 対戦権を全回復する
MID_ITEM_VOTE: 大戦の旗
MID_ITEM_HELP_VOTE: 「投票大戦」で使用する\n投票大戦が終わると、すべて消滅する
MID_ITEM_RESURRECTION: 光の加護
MID_ITEM_HELP_RESURRECTION: 「バトル」で使用する\n味方全員を復活、全回復、\n行動可能、奥義発動可能にする
MID_ITEM_EXP_RED1: 緋光の結晶
MID_ITEM_HELP_EXP_RED1: 「レベルアップ」で使用する\nレベル19以下の赤属性の仲間を成長させる
MID_ITEM_EXP_RED2: 緋光の大結晶
MID_ITEM_HELP_EXP_RED2: 「レベルアップ」で使用する\nレベル20以上の赤属性の仲間を成長させる
MID_ITEM_EXP_BLUE1: 蒼光の結晶
MID_ITEM_HELP_EXP_BLUE1: 「レベルアップ」で使用する\nレベル19以下の青属性の仲間を成長させる
MID_ITEM_EXP_BLUE2: 蒼光の大結晶
MID_ITEM_HELP_EXP_BLUE2: 「レベルアップ」で使用する\nレベル20以上の青属性の仲間を成長させる
MID_ITEM_EXP_GREEN1: 碧光の結晶
MID_ITEM_HELP_EXP_GREEN1: 「レベルアップ」で使用する\nレベル19以下の緑属性の仲間を成長させる
MID_ITEM_EXP_GREEN2: 碧光の大結晶
MID_ITEM_HELP_EXP_GREEN2: 「レベルアップ」で使用する\nレベル20以上の緑属性の仲間を成長させる
MID_ITEM_EXP_NEUTRAL1: 無垢の結晶
MID_ITEM_HELP_EXP_NEUTRAL1: 「レベルアップ」で使用する\nレベル19以下の無属性の仲間を成長させる
MID_ITEM_EXP_NEUTRAL2: 無垢の大結晶
MID_ITEM_HELP_EXP_NEUTRAL2: 「レベルアップ」で使用する\nレベル20以上の無属性の仲間を成長させる
MID_ITEM_EXP_ALL1: 万物の結晶
MID_ITEM_HELP_EXP_ALL1: 「レベルアップ」で使用する\nレベル19以下のあらゆる属性の仲間を成長させる
MID_ITEM_EXP_ALL2: 万物の大結晶
MID_ITEM_HELP_EXP_ALL2: 「レベルアップ」で使用する\nレベル20以上のあらゆる属性の仲間を成長させる
MID_ITEM_PROMOTION_RED1: 緋光の勲章
MID_ITEM_HELP_PROMOTION_RED1: 「覚醒」で使用する\n★３以下の赤属性の仲間の★を１上昇させる
MID_ITEM_PROMOTION_RED2: 緋光の大勲章
MID_ITEM_HELP_PROMOTION_RED2: 「覚醒」で使用する\n★４の赤属性の仲間を★５にする
MID_ITEM_PROMOTION_BLUE1: 蒼光の勲章
MID_ITEM_HELP_PROMOTION_BLUE1: 「覚醒」で使用する\n★３以下の青属性の仲間の★を１上昇させる
MID_ITEM_PROMOTION_BLUE2: 蒼光の大勲章
MID_ITEM_HELP_PROMOTION_BLUE2: 「覚醒」で使用する\n★４の青属性の仲間を★５にする
MID_ITEM_PROMOTION_GREEN1: 碧光の勲章
MID_ITEM_HELP_PROMOTION_GREEN1: 「覚醒」で使用する\n★３以下の緑属性の仲間の★を１上昇させる
MID_ITEM_PROMOTION_GREEN2: 碧光の大勲章
MID_ITEM_HELP_PROMOTION_GREEN2: 「覚醒」で使用する\n★４の緑属性の仲間を★５にする
MID_ITEM_PROMOTION_NEUTRAL1: 無垢の勲章
MID_ITEM_HELP_PROMOTION_NEUTRAL1: 「覚醒」で使用する\n★３以下の無属性の仲間の★を１上昇させる
MID_ITEM_PROMOTION_NEUTRAL2: 無垢の大勲章
MID_ITEM_HELP_PROMOTION_NEUTRAL2: 「覚醒」で使用する\n★４の無属性の仲間を★５にする
MID_ITEM_GAIN_QUANTITY: $a$a0×$a1を入手した！
MID_ITEM_GAIN_UNIT: $a$a0を入手した！
MID_ITEM_PRESENT_QUANTITY: $a$a0×$a1を\nプレゼントボックスに送りました
MID_ITEM_PRESENT_UNIT: $a$a0を\nプレゼントボックスに送りました
MID_ITEM_DIRECT_GAIN_QUANTITY: $a$a0×$a1を入手した！\n※報酬は直接付与されます。
MID_ITEM_DIRECT_GAIN_UNIT: $a$a0を入手した！\n※報酬は直接付与されます。
MID_LOAD_RESUME_CONFIRM: 中断データが存在します。\nゲームを再開しますか？
MID_LOAD_RESUME_DECIDE: 再開する
MID_LOAD_RESUME_CANCEL: 再開しない
MID_LOAD_DISCARD_CONFIRM: 中断データを削除しますか？\n
MID_LOAD_DISCARD_DECIDE: 削除する
MID_LOAD_DEVICE_CONFIRM: 他の端末に中断データが\n存在している可能性があります。\n中断データを削除しますか？
MID_LOAD_DEVICE_DECIDE: 削除する
MID_LOAD_DEVICE_CANCEL: 削除しない
MID_LOAD_RESUME_OTHER_DEVICE: 最後に遊んだ端末で\nゲームを再開してください。
MID_LOAD_DATA_NOT_FOUND_CONFIRM: データの取得に失敗しました。\n中断データを削除します。
MID_LOAD_FAILED_CONFIRM: ゲームの再開に失敗しました。
MID_MAP_TURN: $aターン $a0
MID_MAP_TURN_WITH_LIMIT: $aターン $a0/$a1
MID_MAP_OBSTACLE: 障害物
MID_MAP_AUTO: おまかせ
MID_MAP_AUTO_CONFIRM: 操作をおまかせにしますか？
MID_MAP_AUTO_DECIDE: おまかせにする
MID_MAP_TURN_END_CONFIRM: ターンを終了しますか？
MID_MAP_TURN_END_DECIDE: ターン終了
MID_MAP_SURRENDER: 降参
MID_MAP_SURRENDER_CONFIRM: 降参しますか？
MID_MAP_SURRENDER_WARNING: 降参した場合、このマップで\n獲得した経験値は失われます。
MID_MAP_SURRENDER_DECIDE: 降参する
MID_MAP_CONTINUE_CONFIRM: コンティニューしますか？
MID_MAP_CONTINUE_WARNING: 諦めた場合、このマップで\n獲得した経験値は失われます。
MID_MAP_CONTINUE_DECIDE: コンティニューする
MID_MAP_CONTINUE_CANCEL: 諦める
MID_MAP_RESURRECTION: 光の加護
MID_MAP_RESURRECTION_CONFIRM_ITEM: 光の加護×1を消費して\n仲間全員を復活させますか？\n（追加で以下の効果も得られます）\n・ＨＰ全回復\n・行動可能\n・奥義発動可能
MID_MAP_RESURRECTION_CONFIRM_ORB: オーブ×1を消費して\n仲間全員を復活させますか？\n（追加で以下の効果も得られます）\n・ＨＰ全回復\n・行動可能\n・奥義発動可能
MID_MAP_RESURRECTION_WARNING: ターンは回復しません。
MID_MAP_RESURRECTION_DECIDE_ITEM: 復活させる
MID_MAP_RESURRECTION_DECIDE_ORB: 復活させる
MID_MAP_RESURRECTION_CANCEL: やめる
MID_MAP_GAIN_SKILL_POINT: $aSP+$a0
MID_MAP_GAIN_HEROISM_POINT: $a+$a0
MID_MISSION: ミッション
MID_MISSION_NONE: 現在、ミッションは存在しません。
MID_MISSION_STRATUM: 難易度
MID_MISSION_STRATUM_NORMAL: ノーマル
MID_MISSION_STRATUM_HARD: ハード
MID_MISSION_STRATUM_LUNATIC: ルナティック
MID_MISSION_PROGRESS: $aミッション進捗　$a0/$a1
MID_MISSION_PROGRESS_ACHIEVED: ミッション達成！
MID_MISSION_PROGRESS_RECEIVED: 報酬受取済
MID_MISSION_EXPERIENCE: 新しいミッションが追加されました。
MID_MISSION_APPEAR_STRATUM: 全てのミッションを達成しました。\n新しい難易度の\nミッションに挑戦できます。
MID_MISSION_PROGRESS_DIALOG_TITLE: ミッション進捗
MID_MISSION_PROGRESS_DIALOG_TITLE_ACHIEVED: ミッション達成！
MID_MISSION_PROGRESS_DIALOG_PROGRESS: $a$a0/$a2 → $a1/$a2
MID_MISSION_PROGRESS_DIALOG_PROGRESS_HELP: $aあと$a0回で報酬を受け取れます。
MID_MISSION_PROGRESS_DIALOG_ACHIEVED_HELP: ミッションリストから\n報酬を受け取れます。
MID_MOVIE_SKIP: ムービーをスキップしますか？
MID_MOVIE_SKIP_BUTTON: スキップする
MID_SHOP: ショップ
MID_SHOP_COMMON_CANCEL: 戻る
MID_SHOP_ORB_BUY_TITLE: オーブ購入
MID_SHOP_ORB_CAUTION1: 注意事項をご確認のうえ、\n購入する金額を選択してください。
MID_SHOP_ORB_CAUTION2: $a・購入したオーブは、$a0以外のOSでは\n　ご利用できないのでご注意ください。
MID_SHOP_ORB_CAUTION_IOS: iOS
MID_SHOP_ORB_CAUTION_ANDROID: Android
MID_SHOP_ORB_CAUTION3: ・サービス分は無償入手のオーブとして扱われ\n　残高内訳画面で残高を確認できます。
MID_SHOP_ORB_BUY_ACTION: 購入
MID_SHOP_ORB_BUY_BONUS: サービス！
MID_SHOP_ORB_CANT_BUY: これ以上購入できません。
MID_SHOP_ORB_NEED_BUY: オーブが足りません。\nオーブを購入しますか？
MID_SHOP_ORB_RESULT_SUCCESS: $aオーブ×$a0を購入しました。
MID_SHOP_ORB_RESULT_FAILURE: オーブ購入が失敗しました。
MID_SHOP_ORB_RECOVER_TO_RETRY: 購入処理が失敗したため\n不整合の解消を行います。
MID_SHOP_ORB_RECOVER_TO_TITLE: 不整合の解消が完了しました。\nタイトルに戻ります。
MID_SHOP_ORB_RESULT_CANCEL: 購入がキャンセルされました
MID_SHOP_ORB_FSA: 資金決済法に基づく表示
MID_SHOP_ORB_SCTA: 特定商取引法に基づく表示
MID_SHOP_ELITE_TITLE: エリートの城
MID_SHOP_ELITE_CASTLE_LV0: いにしえの城
MID_SHOP_ELITE_CASTLE_LV1: 薄明かりの城
MID_SHOP_ELITE_CASTLE_LV2: 列柱の城
MID_SHOP_ELITE_CASTLE_LV3: 緑絨毯の城
MID_SHOP_ELITE_CASTLE_LV4: 芸術の城
MID_SHOP_ELITE_CASTLE_LV5: 王族の城
MID_SHOP_CHANGE_WP: 模様替え
MID_SHOP_CHANGE_WP_TITLE: 模様替えのテーマを選択してください。
MID_SHOP_CHANGE_WP_CHOSEN: 選択中
MID_SHOP_ELITE_EFFECT: $a購入すると、永久に入手経験値$a0％アップ！
MID_SHOP_ELITE_HAVE_BOUGHT: 購入済
MID_SHOP_ELITE_CONFIRM1: $aオーブ×$a0を消費して、\n$a1を購入しますか？\n\n城を購入すると、今後\n永久に入手経験値がアップします。\nまた、模様替えで\nホーム画面のテーマを変更できます。
MID_SHOP_ELITE_CONFIRM2: $a入手経験値$a0％アップ→$a1％アップ
MID_SHOP_ELITE_BUY: 購入する
MID_SHOP_ELITE_RESULT: $aオーブ×$a0を消費して、\n$a1になりました。
MID_SHOP_RECOVER: 回復する
MID_SHOP_RECOVER_WITH_ITEM: 回復する
MID_SHOP_STAMINA_TITLE: スタミナ回復
