[Heroes Archive] (Menu_00_first)


Heroes Message Name: Message


MID_EXTRA_HEROISM_LIST: 英雄值一覽
MID_VOTE_RANKING_TOP_UNCALCULATED: 正在計算排名。
MID_VOTE_RANKING_AME_UNCALCULATED: 您的排名在計算範圍外。
MID_VOTE_REWARD_SORT_ROUND: 目前回數
MID_VOTE_REWARD_SORT_TOURNAMENT: 累計成績
MID_VOTE_ROUND1_END: 第1戰已結束。
MID_VOTE_ROUND2_END: 第2戰已結束。
MID_VOTE_ROUND3_END: 決戰已結束。
MID_VOTE_ROUND1_RESULT: 第1戰的最後結果
MID_VOTE_ROUND2_RESULT: 第2戰的最後結果
MID_VOTE_ROUND3_RESULT: 決戰的最後結果
MID_VOTE_SITUATION: 目前戰況
MID_VOTE_ATTACK_MAX: 全力攻擊
MID_VOTE_ATTACK_1X: ×1
MID_VOTE_ATTACK_NX: $a×$a0
MID_VOTE_SUPERIOR: 優勢
MID_VOTE_INFERIOR: 劣勢
MID_VOTE_EQUAL: 持平
MID_VOTE_WIN: 勝利
MID_VOTE_LOSE: 敗北
MID_VOTE_TOURNAMENT_BOTTOM_CAPTION: 請選擇您想成為夥伴的角色。
MID_VOTE_TOURNAMENT_TOP_CAPTION: 陣營勝利後，以及自己的得分\n在前段時，可獲得報酬。
MID_VOTE_DIALOG_WIN_TEXT: 您的陣營勝利了。
MID_VOTE_DIALOG_WIN_WARNING: 將繼續加入相同的陣營戰鬥。
MID_VOTE_DIALOG_LOSE_TEXT: 您的陣營敗北了。
MID_VOTE_DIALOG_LOSE_WARNING: 請選擇別的陣營。
MID_VOTE_DIALOG_GO_TEXT: 要出戰嗎？
MID_VOTE_DIALOG_GO_WARNING: $a出戰一次後，接下來的$a0分鐘內無法再次出戰。
MID_VOTE_DIALOG_GO_YES: 出戰
MID_VOTE_DIALOG_GO_NO: 返回
MID_VOTE_DIALOG_INVESTMENT_TEXT: 要攻擊嗎？
MID_VOTE_DIALOG_INVESTMENT_TEXT_X: $a要以$a1倍攻擊嗎？
MID_VOTE_DIALOG_INVESTMENT_WARNING: $a消費大戰之旗×$a0。
MID_VOTE_DIALOG_INVESTMENT_YES: 攻擊
MID_VOTE_DIALOG_LAST10MINS_TEXT: $a即將到達$a0結束時間。
MID_VOTE_DIALOG_LAST10MINS_WARNING: 如果超過結束時間，將無法顯示結果。
MID_VOTE_DIALOG_ROUND_END_TEXT: $a已超過$a0結束時間。\n無法繼續前進。
MID_VOTE_DIALOG_ROUND_END_WARNING: 即將先返回世界地圖。
MID_VOTE_DIALOG_JOIN_ERROR_TEXT: 無法加入陣營。
MID_VOTE_DIALOG_JOIN_ERROR_WRNING: 請稍後再重試。
MID_VOTE_DIALOG_HELP_00: 使用您推舉的英雄，朝冠軍邁進！
MID_VOTE_DIALOG_HELP_01: ◆投票大戰◆\n從８名英雄中，\n選擇您喜歡的英雄。\n\n您將隸屬於這位英雄的陣營，\n跟其他英雄的陣營\n進行團隊對抗。
MID_VOTE_DIALOG_HELP_02: ◆勝利條件◆\n當剩餘時間歸零時，\n以得分較高的陣營勝利。
MID_VOTE_DIALOG_HELP_03: ◆出戰◆\n出戰一次後，\n要經過一段時間才能再次出戰。
MID_VOTE_DIALOG_HELP_04: ◆會戰◆\n投票大戰以３對３的方式進行。\n我軍的３人將依以下方式決定。\n・自己的隊長\n・若有參加同陣營的好友，\n　則加入好友的隊長\n・同陣營好友外玩家的隊長
MID_VOTE_DIALOG_HELP_05: ◆選擇攻擊力◆\n會戰勝利後，\n可選擇大戰之旗的使用數量。\n\n消費愈多大戰之旗，\n可獲得愈多得分。
MID_VOTE_DIALOG_HELP_REWARD_00: ◆檢視報酬◆\n可檢視這次的報酬。\n\n切換篩選條件，\n即可檢視「目前回數」、「累計成績」。
MID_VOTE_DIALOG_HELP_REWARD_01: ◆排名◆\n目前排名。\n※每１小時會重新計算排名。\n（每小時的00分開始計算）\n從計算開始到顯示排名為止\n可能會有時間落差。
MID_UNIT_EDIT_SKILL_INHERIT_DESTINATION: 繼承
MID_UNIT_EDIT_SKILL_INHERIT_SOURCE: 消滅
MID_UNIT_EDIT_SKILL_INHERIT_HELP1: 請分別選擇要繼承和消滅的角色。
MID_UNIT_EDIT_SKILL_TALENT_CONFIRM: 要繼承以下的技能嗎？
MID_UNIT_EDIT_SKILL_INHERIT_WARNING: 繼承之後，\n被繼承的角色將會消滅。
MID_UNIT_EDIT_SKILL_INHERIT_DECIDE: 繼承
MID_UNIT_EDIT_SKILL_TALENT: 繼承技能
MID_UNIT_EDIT_SKILL_TALENT_HELP2: 請選擇３個要繼承的技能。
MID_UNIT_EDIT_SKILL_TALENT_HELP_DIALOG_00: ◆繼承技能◆\n一次最多可繼承\n其他夥伴的３個技能。\n被繼承的夥伴將會消失。\n\n繼承到的技能\n在學習技能之後即可使用。\n（學習所需的ＳＰ是１．５倍。）
MID_UNIT_EDIT_SKILL_TALENT_HELP_DIALOG_01: ※登錄為我的最愛的夥伴，\n　無法設定為被繼承技能的一方。\n　請長按夥伴圖示\n　前往夥伴詳情畫面解除。
MID_UNIT_EDIT_SKILL_STATUS_TALENT: 持有
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_INHERIT1: $a必須具有$a0的資質。
MID_UNIT_EDIT_SKILL_WARNING_PREREQUISITE_INHERIT2: $a必須具有$a0或\n$a1的資質。
MID_ARENA_SORT_GRADE: 階級內排名
MID_ARENA_SORT_REWARDTYPE_GRADE: 報酬種類：階級
MID_ARENA_GAINED_REWARDTYPE_GRADE: $a鬥技場‧階級報酬　【階級$a0】
MID_ARENA_GAINED_REWARDTYPE_GRADE_CHANGE: $a鬥技場‧階級報酬　【階級$a1→$a0】
MID_ARENA_DIALOG_HELP_04_1103: ◆報酬◆\n賽季結束後，\n會依據最高得分及階級\n給予相對應的報酬。\n如果得分夠高，\n就有機會提升階級。
MID_ARENA_DIALOG_HELP_05_1103: ◆本賽季的獎勵角色◆\n將獎勵角色\n加入出擊、防衛成員中，\n即可將得分提升為２倍。
MID_ARENA_DIALOG_HELP_3_00_1103: ◆檢視報酬◆\n可檢視本賽季的報酬。\n\n切換篩選條件，\n即可分別檢視\n「勝利」、「防衛」、「階級」報酬。
MID_ARENA_DIALOG_HELP_3_02_1103: ◆階級◆\n目前階級及相近階級的階級報酬。\n※每１小時會重新計算排名。\n（每小時的00分開始計算）\n從計算開始到顯示排名為止\n可能會有時間落差。
MID_VOTE_INFERIOR_BOOST_RATE: $a得分$a1倍時間，剩$a0分！
MID_SEQUENTIAL_MAP_TERM_201707: 共鳴雙牙
MID_SEQUENTIAL_MAP_STAGE_CONSTRAINT_BIND: $a縛鎖$a1連戰：我軍$a0部隊
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_00: 每場都要以新的英雄挑戰！
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_01: ◆縛鎖迷宮◆\n此為連續戰鬥地圖，每通過一張地圖，\n下一張地圖就會接著出現。\n\n戰鬥過的英雄會遭到縛鎖，\n無法參與後續地圖的戰鬥。
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_02: ◆所需英雄人數◆\n每１張地圖需要４名英雄上場。\n\n若為５場連戰，\n則需５×４＝２０名英雄。\n（相同的英雄計數時視為１人）
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_03: ◆縛鎖規則◆\n・加入部隊裡的英雄\n　不能重複。\n\n・在連戰中，戰鬥過的英雄\n　無法參與後續地圖的戰鬥。\n（若有複數同樣的英雄時，\n　其中一位已經戰鬥過的話，\n　則其餘英雄皆無法戰鬥。）
MID_SEQUENTIAL_TRIAL_HELP_DIALOG_04: ◆解除縛鎖◆\n縛鎖迷宮過關、\n或未過關且全體陣亡時，\n縛鎖將自動解除。\n\n因為縛鎖而\n無法戰鬥的英雄\n也會全體恢復正常。
MID_STAGE_OPEN_FIRST_TRIAL: 連戰試煉已開放。
MID_STAGE_OPEN_NEW_TRIAL: 連戰試煉裡\n增加了新的章節。
MID_STAGE_OPEN_FIRST_BIND: 縛鎖迷宮已經開放。
MID_STAGE_OPEN_NEW_BIND: 縛鎖迷宮裡\n增加了新的樓層。
MID_STAGE_SELECT_DETAIL_BIND_UNIT: 這張地圖無法讓２位以上\n相同的英雄加入部隊。
MID_STAGE_SELECT_DETAIL_BIND_UNIT_TOTAL:  英雄人數不足。\n 需要我軍部隊數×４人以上的英雄。\n （相同的英雄計數時視為１人）
MID_STAGE_SELECT_TRIAL: 連戰試煉
MID_STAGE_SELECT_TRIAL_INFO: 連續挑戰多個地圖。
MID_STAGE_SELECT_BIND: 縛鎖迷宮
MID_STAGE_SELECT_BIND_INFO: 在特殊規則下連續戰鬥。
MID_STAGE_SELECT_SCENARIO_MAIN_INFO_SHORT: 本傳劇情的地圖。
MID_STAGE_SELECT_SCENARIO_SUB_INFO_SHORT: 外傳劇情的地圖。
MID_SUMMON_INFORMATION: 召喚通知
MID_SUMMON_SEASON_DAYS: $a距離結束還有$a0天
MID_SUMMON_SEASON_HOURS: $a距離結束還有$a0小時
MID_SUMMON_SEASON_MINUTES: $a距離結束還有$a0分鐘
MID_EXTENDED_SORT: 詳細排序
MID_UNIT_EDIT_SORT_GOTO_EXTENDED: 前往詳細排序
MID_UNIT_EDIT_SORT_GOTO_SIMPLE: 前往簡易排序
MID_UNIT_EDIT_EXTENDED_SORT_INFO: 請選擇排序的優先順序，\n以及顯示夥伴的項目。
MID_UNIT_EDIT_EXTENDED_SORT_CONDITIONS: $a條件$a0:
MID_UNIT_EDIT_EXTENDED_SORT_ORDER_ASCENDING: 遞增
MID_UNIT_EDIT_EXTENDED_SORT_ORDER_DESCENDING: 遞減
MID_UNIT_EDIT_EXTENDED_SORT_CONDITION_NONE: -
MID_UNIT_EDIT_EXTENDED_SORT_CLEAR: 重設條件
MID_VOTE_OVERALL_SITUATION: 整體戰況
MID_CHAIN_ARENA_TITLE: 縛鎖鬥技場
MID_CHAIN_ARENA_HEADLINE: $a使用特別規則，連戰中同一位英雄只能出擊１次。\n率領眾多英雄奪下$a0連勝吧！
MID_CHAIN_ARENA_ITEMHELP: 最多可選擇３個要帶到戰場上的道具。\n未使用道具時不會消耗。\n道具可在縛鎖鬥技場中取得。
MID_CHAIN_ARENA_SPECIALITEM: 特別道具
MID_CHAIN_ARENA_WINCOUNT: $a連勝數 $a0/$a1
MID_CHAIN_ARENA_CURRENT_SCORE: 本次合計得分
MID_CHAIN_ARENA_1WIN: $a達成$a0勝！
MID_CHAIN_ARENA_2WINS: $a達成$a0連勝！
MID_CHAIN_ARENA_DIALOG_BATTLE_CONFIRM_TEXT: 要前進嗎？
MID_CHAIN_ARENA_DIALOG_BATTLE_CONFIRM_WARNING: 縛鎖鬥技場不會耗費對戰權。\n\n只有在每天第一次挑戰時，\n才能取得經驗值、SP及英雄。
MID_CHAIN_ARENA_DIALOG_BATTLE_CONFIRM_WARNING_TWICE: 縛鎖鬥技場不會耗費對戰權。\n\n由於今天已重複挑戰，\n因此無法取得經驗值、SP及英雄。
MID_CHAIN_ARENA_DIALOG_GIVEUP_TEXT: 要放棄挑戰縛鎖鬥技場，\n棄權投降嗎？
MID_CHAIN_ARENA_DIALOG_GIVEUP_WARNING: 投降後，\n可依據本次過關的關卡數\n獲得分數。
MID_CHAIN_ARENA_DIALOG_BACK_TEXT: 要返回前一畫面嗎？
MID_CHAIN_ARENA_DIALOG_BACK_NO: 不返回
MID_ARENA_DESCRIPTION: 在本鬥技場測試身手，可挑戰\n全世界的強敵，還能獲得報酬。\n和英雄一起奪下7連勝吧。
MID_CHAIN_ARENA_DESCRIPTION: $a這裡是高階鬥技場，\n需指揮多個部隊進行戰鬥。\n以奪下最高$a0連勝為目標吧。
MID_CHAIN_ARENA_GAINED_REWARDTYPE_RANK: $a縛鎖鬥技場‧排名報酬\n排名：$a0
MID_CHARACTER_PICTORIAL_BOOK_TITLE: 英雄圖鑑
MID_CHARACTER_PICTORIAL_BOOK_TOTAL: 英雄
MID_CHARACTER_PICTORIAL_BOOK_TALK: TALK!
MID_CHARACTER_PICTORIAL_BOOK_SUMMON_TALK: 召喚
MID_CHARACTER_PICTORIAL_BOOK_STRONGEST_TALK: ★5 LV.40
MID_CHARACTER_PICTORIAL_BOOK_HELP_DIALOG_00: ◆英雄圖鑑◆\n可閱覽到目前為止\n遇見的英雄清單。\n\n◆英雄詳情◆\n請點觸英雄。\n若是只有對戰過的英雄，則僅會顯示剪影，\n當其加入夥伴後即可閱覽詳細資料。
MID_CHARACTER_PICTORIAL_BOOK_HELP_DIALOG_01: ◆TALK◆\n可閱覽召喚英雄時的對話。\n\n\n將★及等級提升到最高之後，\n亦可閱覽當時的對話。\n清單中外框發光者即可閱覽。
MID_CHARACTER_PICTORIAL_BOOK_HELP_DIALOG_02: ◆插畫◆\n按下＋鍵即可欣賞全身畫。\n\n◆迷你人物◆\n點觸迷你人物，觀察反應吧。
MID_CHARACTER_PICTORIAL_BOOK_ERASE_NEW_ICON_BUTTON: 設定為已確認
MID_CHARACTER_PICTORIAL_BOOK_ERASE_NEW_ICON_DIALOG: 即將消除所有新加入英雄的\n！圖示。\n確定要繼續嗎？
MID_CHARACTER_PICTORIAL_BOOK_ERASE_NEW_ICON_DECIDE: 消除！圖示
MID_PRESENT_LIST_TIME_LIMIT: 顯示過去１４天的領取紀錄。
MID_YEAR_MONTH_DAY: $a$a0/$a1/$a2
MID_COUNT_UP_LOGIN_BONUS_PERIOD: $a$a0 ～ $a1
MID_ITEM_HOLY_COIN: 聖幣
MID_ITEM_HELP_HOLY_COIN: 據說用於上古儀式的\n貴重硬幣
MID_MAP_SEQUENTIAL_ARENA_ITEM_USE_DECIDE: 使用
MID_MAP_SEQUENTIAL_ARENA_ITEM_USE_WARNING: 現在使用也無法獲得效果，\n因此無法使用。
MID_MAP_SEQUENTIAL_ARENA_ITEM_USE_HELP: 請選擇要使用的道具。
MID_SEQUENTIAL_MAP_TERM_201708: 重逢成真
MID_SEQUENTIAL_MAP_BOOST: $a今天 還剩$a0次 點數$a1倍！
MID_CHAIN_ARENA_HELP_DIALOG_00: 以多組部隊應戰，目標是連勝！
MID_CHAIN_ARENA_HELP_DIALOG_01: ◆縛鎖鬥技場◆\n這裡是高階鬥技場，需指揮\n多個部隊，以連勝為目標。\n\n徹底掌握特殊道具的使用時機，\n突破等在前方的強敵吧。
MID_CHAIN_ARENA_HELP_DIALOG_02: ◆對戰◆\n無需消耗對戰權，\n玩家可自由對戰，不限次數。\n\n◆對戰對手的強度◆\n無論是第一戰或第二戰\n之後的對戰，均以自己\n第一支部隊的強度為基準。
MID_CHAIN_ARENA_HELP_DIALOG_03: ◆取得特殊道具◆\n連勝途中，只要戰勝含\n等級３５以上英雄的敵方部隊\n一定次數，可獲得特殊道具。\n　３勝：１個\n　５勝：２個\n　７勝：３個
MID_CHAIN_ARENA_HELP_DIALOG_04: ◆攜帶特殊道具◆\n挑戰縛鎖鬥技場時，\n點選玩家所擁有的道具\n即可攜帶道具。\n\n攜帶的道具\n可以在地圖中使用。
MID_CHAIN_ARENA_HELP_DIALOG_05: ◆縛鎖規則◆\n・加入部隊裡的英雄\n　不能重複。\n\n・在連戰中，戰鬥過的英雄\n　無法參與後續地圖的戰鬥。\n（若有複數同樣的英雄時，\n　其中一位已經戰鬥過的話，\n　則其餘英雄皆無法戰鬥。）
MID_CHAIN_ARENA_HELP_DIALOG_06: ◆解除縛鎖◆\n一路連勝到最後，\n或全體陣亡時，\n縛鎖將自動解除。\n\n因為縛鎖而\n無法戰鬥的英雄\n也會全體恢復正常。
MID_CHAIN_ARENA_HELP_DIALOG_07: ◆得分◆\n一旦獲勝，即可依對手強度\n獲得相對應的分數。\n\n如果連勝，上一場的勝利得分\n將可計入連勝獎勵。
MID_CHAIN_ARENA_HELP_DIALOG_08: ◆最高得分◆\n所有得分中的最高者。\n每場賽季均會重新設定。\n\n◆報酬◆\n賽季結束後，\n會依據排名\n給予相對應的報酬。
MID_SEQUENTIAL_MAP_HELP_DIALOG_05_1106: ◆獎勵角色能力的提升◆\n獎勵角色的能力\n只有在戰渦連戰中才會提升。\n（ＨＰ＋１０\n　攻擊、速度、防守、魔防＋４）
MID_CHAIN_ARENA_DIALOG_HELP_3_00: ◆檢視報酬◆\n可檢視本賽季的報酬。
MID_CHAIN_ARENA_DIALOG_HELP_3_01: ◆領取報酬◆\n關於縛鎖鬥技場報酬，只要在\n上次賽季結果計算完成後～\n本次賽季結束前的期間內\n進入縛鎖鬥技場，即可領取報酬。
MID_SUMMON_PULL_ONLY_ONCE: 這個召喚進行一次之後就會結束。\n人氣No.１的英雄是「琳」。
MID_SUMMON_HERO_CONFIRM: 要召喚這個英雄嗎？
MID_SUMMON_GRANT_CONFIRM: 要進行召喚嗎？
MID_SUMMON_GRANT_WARNING: 這個召喚可以免費進行一次。\n（無法連續進行召喚。）
MID_SUMMON_ONE_TIME_FREE_WARNING: 這個召喚只有第一次\n可以免費進行。
MID_SUMMON_LIMITED_BEGINNER_DAYS: $a僅限新手玩家！距離結束還有$a0天
MID_SUMMON_LIMITED_BEGINNER_HOURS: $a僅限新手玩家！距離結束還有$a0小時
MID_SUMMON_LIMITED_BEGINNER_MINUTES: $a僅限新手玩家！距離結束還有$a0分鐘
MID_SUMMON_PAY_FREE: 召喚
MID_UNIT_EDIT_SKILL_WARNING_SAME: 同一個英雄可以透過「突破極限」\n繼承所有的技能。\n\n「繼承技能」\n只能繼承部分技能，\n確定要繼續嗎？
MID_SEQUENTIAL_MAP_LOAD_TROOP_INFO: 請選擇要呼叫的部隊。\n備用部隊只能在連續戰鬥中呼叫。
MID_SEQUENTIAL_MAP_LOAD_TROOP_BUTTON: 召喚這個部隊
MID_SEQUENTIAL_MAP_LOAD_TROOP_EDIT: 編組
MID_SEQUENTIAL_MAP_LOAD_TROOP_SELECT_NORMAL: 一般部隊
MID_SEQUENTIAL_MAP_LOAD_TROOP_SELECT_RESERVE: 備用部隊
MID_SEQUENTIAL_MAP_LOAD_TROOP_ORGANIZE_RESERVE: 編組備用部隊
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE: 編組備用部隊
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_DECIDE: 返回重新編組
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_CONFIRM: 要呼叫這個部隊嗎？
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_CONFIRM_DECIDE: 呼叫後返回
MID_UNIT_EDIT_RESERVE_TROOP_ORGANIZE_CONFIRM_CANCEL: 不呼叫直接返回
MID_UNIT_EDIT_RESERVE_TROOP_HELP_DIALOG_00: 來編組備用部隊吧。
MID_UNIT_EDIT_RESERVE_TROOP_HELP_DIALOG_01: 備用部隊\n是只有在連續戰鬥中\n才能編組的特殊部隊。
MID_UNIT_EDIT_TROOP_LIST_INFO: 請選擇要編組的部隊。
MID_UNIT_EDIT_RESERVE_TROOP_LIST_INFO: 請選擇要編組的備用部隊。
MID_UNIT_EDIT_TROOP_LIST_SELECT: 選擇這個部隊
MID_SEQUENTIAL_MAP_TERM_201709: 戰場即葬身之地
MID_UNIT_EDIT_SKILL_TALENT_SEARCH: 搜尋技能
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_CURRENT: 搜尋技能：
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_HELP: 請選擇想搜尋的技能。
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_WARNING_RARITY: 提升角色★等即可繼承。
MID_UNIT_EDIT_SKILL_TALENT_SEARCH_RESET: 重設
MID_UNIT_EDIT_RELIANCE_RANK_1: C
MID_UNIT_EDIT_RELIANCE_RANK_2: B
MID_UNIT_EDIT_RELIANCE_RANK_3: A
MID_UNIT_EDIT_RELIANCE_RANK_4: S
MID_UNIT_EDIT_RELIANCE_RANK_PAIR: 支援等級
MID_UNIT_EDIT_RELIANCE_RANK_PLAYER: 羈絆等級
MID_UNIT_EDIT_RELIANCE_PARTNER: 對象
MID_UNIT_EDIT_RELIANCE: 支援
MID_UNIT_EDIT_RELIANCE_PLAYER: 與召喚師的羈絆誓約
MID_UNIT_EDIT_RELIANCE_SORT: 請選擇排序方式。
MID_UNIT_EDIT_RELIANCE_SORT_CHARACTER: 角色
MID_UNIT_EDIT_RELIANCE_SORT_RELIANCE_ASCENDING: 支援遞增
MID_UNIT_EDIT_RELIANCE_SORT_RELIANCE_DESCENDING: 支援遞減
MID_UNIT_EDIT_RELIANCE_CONFIRM: $a若締結支援，在附近戰鬥時\n能力值將會提升。\n要讓$a0和$a1\n締結支援嗎？
MID_UNIT_EDIT_RELIANCE_WARNING: 可締結支援的對象以一人為限。\n若變更支援對象，\n將會重設\n與目前支援對象之間的支援等級。
MID_UNIT_EDIT_RELIANCE_DECIDE: 變更支援
MID_UNIT_EDIT_RELIANCE_HELP1: 只能選擇一人作為英雄之間的支援對象。
MID_UNIT_EDIT_RELIANCE_HELP2: 若變更支援對象，將會重設支援等級。
MID_UNIT_EDIT_RELIANCE_CHARACTER_NAME_EMPTY: －－－－－－
MID_UNIT_EDIT_PERSON_TOTAL: 英雄
MID_UNIT_EDIT_RELIANCE_PLAYER_CONFIRM: $a若締結羈絆誓約，\n對象能力值將會提升。\n確定要與$a0締結\n特別支援的羈絆誓約嗎？
MID_UNIT_EDIT_RELIANCE_PLAYER_WARNING: 可締結羈絆誓約的對象以一人為限。\n若變更對象，\n與目前對象之間的羈絆等級\n將會重設。
MID_UNIT_EDIT_RELIANCE_PLAYER_DECIDE: 變更羈絆誓約
