[Heroes Archive] (Menu_63_dream01)


Heroes Message Name: Message


MID_ITEM_HOLY_GRAIL: 英雄的聖杯
MID_SKYCASTLE_BONUS_HEADLINE: 本賽季的獎勵對象
MID_SKYCASTLE_BONUS_NEXTSEASON: 下個賽季的獎勵對象
MID_SKYCASTLE_BONUSCHRS_CAPTION: 攻擊・防衛時能力值ＵＰ！攻擊時獲得評價ＵＰ！
MID_SKYCASTLE_BONUSFCLS_CAPTION: 設置後攻擊堡壘ＬＶ＋１！
MID_SKYCASTLE_BONUSFCLS_CAPTION_2: 設置後防衛堡壘ＬＶ＋１！
MID_SKYCASTLE_DAILYBONUS_CAPTION: 每日限定１次遊玩報酬！
MID_SKYCASTLE_BTN_EDIT: 編輯飛空城
MID_SKYCASTLE_BTN_ATTACK: 進行對戰
MID_SKYCASTLE_BTN_REWARD: 檢視報酬
MID_SKYCASTLE_BTN_HISTORY: 防衛結果
MID_SKYCASTLE_BTN_RANKING: 現在排名
MID_SKYCASTLE_DIALOG_NEW_STOCK: 新登場！
MID_SKYCASTLE_DIALOG_NEW_STOCK_CAPTION01: 設備
MID_SKYCASTLE_DIALOG_NEW_STOCK_CAPTION02: 地形
MID_SKYCASTLE_GAINED_REWARDTYPE_GRADE: 飛空城・位階報酬
MID_SKYCASTLE_GAINED_REWARDTYPE_RANK: $a飛空城‧排名報酬\n$a0名
MID_SKYCASTLE_GAINED_REWARDTYPE_RANK_HIGHER: 飛空城・前段報酬
MID_SKYCASTLE_GAINED_REWARDTYPE_GRADE_OVER_20: $a$a0名！
MID_SKYCASTLE_GAINED_REWARDTYPE_PREFIX_FOR_UNDER_20: $a位階$a0
MID_SKYCASTLE_GAINED_REWARDTYPE_TUTORIAL: 完成教學模式報酬
MID_SKYCASTLE_REWARDS_GAINED_DIALOG: ※關於飛空城報酬，只要在\n　上次賽季結果計算完成後～\n　本次賽季結束前的期間內進入飛空城，\n　即可領取。
MID_SKYCASTLE_DIALOG_SEASON_LAST10_TEXT: 賽季即將結束。
MID_SKYCASTLE_DIALOG_SEASON_LAST10_WARNING: 如果超過賽季結束時間，\n將不會計入本次結果。
MID_SKYCASTLE_DIALOG_SEASON_END_TEXT: 已超過賽季結束時間，\n無法計入本次結果。
MID_SKYCASTLE_ROOT_SEASONEND_TEXT: 超過賽季結束時間，\n無法進行對戰。
MID_SKYCASTLE_ROOT_SEASONEND_WARNING: 敬請期待下次賽季。
MID_SKYCASTLE_DIALOG_TASKKILLED_TEXT: 上次戰鬥並未正常結束。
MID_SKYCASTLE_DIALOG_TASKKILLED_TEXT_WARNING: 攻擊將被視為失敗。
MID_SKYCASTLE_DIALOG_NO_ENERGY_TEXT: 戰鬥所需的能量不足。
MID_SKYCASTLE_DIALOG_NO_ENERGY_WARNING: $a需要$a0能量。
MID_SKYCASTLE_EDIT_DIALOG_SEASON_END: 目前已切換為新賽季。
MID_SKYCASTLE_EDIT_DIALOG_SEASON_END_WARNING: 即將返回飛空城首頁。
MID_SKYCASTLE_CLASS_0: 對流層
MID_SKYCASTLE_CLASS_1: 平流層
MID_SKYCASTLE_CLASS_2: 中氣層
MID_SKYCASTLE_CLASS_3: 熱氣層
MID_SKYCASTLE_CLASS_4: 外氣層
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_TEXT: $a要使用$a0能量\n進行戰鬥嗎？
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_TEXT_DAILYBONUS: 要進行戰鬥嗎？
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_WARNING: 看過對戰對手的編組後\n就無法取消。
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_WARNING_DAILYBONUS: 每日首次進行對戰時，\n消耗的能量為０。
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_WARNING_TUTORIAL: 於教學模式的戰鬥，\n不會消耗能量（飛空城的體力）。\n此外，也不會因此戰鬥\n讓評價或經驗值等產生變化。\n再者，\n攻擊堡壘及防禦堡壘\n將被視為相同等級。
MID_SKYCASTLE_DIALOG_BATTLE_BTN_UNITEDIT: 編組攻擊部隊
MID_SKYCASTLE_DIALOG_BATTLE_BTN_YES: 進行戰鬥
MID_SKYCASTLE_DIALOG_BATTLE_BTN_NO: 取消
MID_SKYCASTLE_DIALOG_NO_CANDIDATE_TEXT: 找不到對戰對手。
MID_SKYCASTLE_DIALOG_NO_CANDIDATE_WARNING: 請稍後再次嘗試。
MID_SKYCASTLE_DIALOG_BATTLE_OPPONENT_HEADLINE: 對戰對手
MID_SKYCASTLE_DIALOG_BATTLE_OPPONENT_HEADLINE2: 對戰內容
MID_SKYCASTLE_DIALOG_BATTLE_RANK: $a位階$a0
MID_SKYCASTLE_DIALOG_BATTLE_BTN_CONFIRM_MAP: 確認地圖
MID_SKYCASTLE_DIALOG_BATTLE_BTN_BATTLE: 對戰
MID_SKYCASTLE_DIALOG_BATTLE_BTN_GIVEUP: 棄權
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_START: 要進行對戰嗎？
MID_SKYCASTLE_DIALOG_BATTLE_BTN_START: 對戰
MID_SKYCASTLE_DIALOG_GIVEUP_TEXT: 真的要棄權嗎？
MID_SKYCASTLE_DIALOG_GIVEUP_WARNING: 攻擊將被視為失敗。
MID_SKYCASTLE_DIALOG_GIVEUP_WARNING_DAILY: 攻擊將被視為失敗，\n並且無法取得\n每日限定１次遊玩報酬。
MID_SKYCASTLE_DIALOG_GIVEUP_YES: 棄權
MID_SKYCASTLE_DIALOG_GIVEUP_NO: 重新考慮
MID_SKYCASTLE_RESULT_HEADLINE: 本次對戰結果
MID_SKYCASTLE_TOTAL_RATE_CURRENT: 獲得評價
MID_SKYCASTLE_TOTAL_RATE: 評價
MID_SKYCASTLE_BATTLE_RATE: 戰鬥評定
MID_SKYCASTLE_BONUSCHR_RATE: 獎勵角色
MID_SKYCASTLE_RESULT_RANK: 排名
MID_SKYCASTLE_BTN_RESULT_CONFIRM: 確認
MID_SKYCASTLE_DIALOG_RESULT_RECOVER: $a成功破壞敵方資源！\n回復$a0能量。
MID_SKYCASTLE_DIALOG_RESULT_WARNING_01: 評價減少已被抑制。
MID_SKYCASTLE_DIALOG_RESULT_RANKUP_RATE: 距離下個位階還有
MID_SKYCASTLE_DIALOG_RESULT_RANKUP_RATE_BEYOND: $a提升至位階$a0！
MID_SKYCASTLE_EDIT_MENUBAR_BTN_EDIT: 切換選單
MID_SKYCASTLE_EDIT_MENUBAR_BTN_FLOOR: 變更地形
MID_SKYCASTLE_EDIT_MENUBAR_BTN_AUTO: 自動配置
MID_SKYCASTLE_EDIT_MENUBAR_BTN_ADDFACILITY: 製造・\n強化設備
MID_SKYCASTLE_EDIT_MENUBAR_BTN_SELECTFACILITY: 設置設備
MID_SKYCASTLE_EDIT_MENUBAR_BTN_ORGANIZE: 防衛編組
MID_SKYCASTLE_EDIT_MENUBAR_BTN_SYSTEMMENU: 其他
MID_SKYCASTLE_EDIT_GRID_DEFENSE: 防衛地圖
MID_SKYCASTLE_EDIT_GRID_OFFENSE: 攻擊地圖
MID_SKYCASTLE_EDIT_ONTOUCH_MENU_DELETE_0: 移至這裡撤除
MID_SKYCASTLE_EDIT_ONTOUCH_MENU_DELETE_1: 無法撤除此設備
MID_SKYCASTLE_EDIT_SYSTEMMENU_BTN_TESTPLAY: 模擬戰
MID_SKYCASTLE_EDIT_SYSTEMMENU_BTN_HELP: 說明
MID_SKYCASTLE_EDIT_ADDFACILITY_TITLE: 製造・強化設備
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP: 請選擇要製造或是強化的設備。
MID_SKYCASTLE_EDIT_ADDFACILITY_NO_TARGET: 沒有可製造或是強化的設備。
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_CONFIRM: 要製造以下設備嗎？
MID_SKYCASTLE_EDIT_ADDFACILITY_BTN_GENERATION_DECIDE: 製造
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_COMPLETE_CONFIRM: 已製造設備。
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_ERROR: 無法製造設備。
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_ERROR_WARNING: 已超過可製造的期間。
MID_SKYCASTLE_EDIT_ADDFACILITY_PROMOTION_CONFIRM: 要強化以下設備嗎？
MID_SKYCASTLE_EDIT_ADDFACILITY_BTN_PROMOTION_DECIDE: 強化
MID_SKYCASTLE_EDIT_ADDFACILITY_PROMOTION_COMPLETE_CONFIRM: 已強化設備。
MID_SKYCASTLE_EDIT_DIALOG_ADDFACILITY_ERROR: 無法設置設備。
MID_SKYCASTLE_EDIT_DIALOG_NEWFACILITY_ERROR_WARNING_01: 超過可設置的數量上限。
MID_SKYCASTLE_EDIT_DIALOG_NEWFACILITY_ERROR_WARNING_02: 無法同時設置複數個訓練所。
MID_SKYCASTLE_EDIT_SELECTFACILITY_TITLE: 設置設備
MID_SKYCASTLE_EDIT_SELECTFACILITY_HELP: 請選擇要設置的設備。
MID_SKYCASTLE_EDIT_SELECTFACILITY_NO_TARGET: 沒有可設置的設備。
MID_SKYCASTLE_EDIT_SELECTFACILITY_CANCEL_CONFIRM: 要中止設置的變更嗎？
MID_SKYCASTLE_EDIT_SELECTFACILITY_CANCEL_WARNING: 將不會儲存編輯的內容。
MID_SKYCASTLE_EDIT_SELECTFACILITY_CANCEL_DECIDE: 中止
MID_SKYCASTLE_EDIT_SELECTFACILITY_WARNING_GROUP: 目前已選擇設置其他訓練所。
MID_SKYCASTLE_EDIT_FACILITY_BTN_BULIDED: 設置中
MID_SKYCASTLE_EDIT_FACILITY_BTN_UNREMOVABLE: 無法撤除
MID_SKYCASTLE_EDIT_FACILITY_BTN_LEVEL_1: $aLV.$a0
MID_SKYCASTLE_EDIT_FACILITY_BTN_LEVEL_2: →
MID_SKYCASTLE_EDIT_FACILITY_BTN_HELP_OFF: 說明OFF
MID_SKYCASTLE_EDIT_FACILITY_BTN_HELP_ON: 說明ON
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CONFIRM: 請選擇篩選條件。
MID_SKYCASTLE_EDIT_FACILITY_BTN_FILTER_TITLE: 篩選條件：
MID_SKYCASTLE_EDIT_FACILITY_WARNING_PRECONDITION: $a需先擁有$a0。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_PRECONDITION_LV: $a（LV.$a0）
MID_SKYCASTLE_EDIT_FACILITY_WARNING_RANK: $a需達到位階$a0以上。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_RANK_THRONE: $a排名為$a0～$a1時解放。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_UNREMOVABLE: 為不能撤除的設備故無法選擇。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_TUTORIAL: 因目前為教學模式，故無法選擇。
MID_SKYCASTLE_EDIT_FACILITY_BTN_DAYS: $a期間限定！還有$a0天
MID_SKYCASTLE_EDIT_FACILITY_BTN_HOURS: $a期間限定！還有$a0小時
MID_SKYCASTLE_EDIT_FACILITY_BTN_MINUTES: $a期間限定！還有$a0分鐘
MID_SKYCASTLE_EDIT_FACILITY_BTN_NO_LEVEL: 無等級
MID_SKYCASTLE_EDIT_UNITEDIT_RATE: 最多可獲得評價
MID_SKYCASTLE_EDIT_UNITEDIT_RATE_HELP: ・目前編組的出擊成員\n　於攻擊成功時最多可獲得的評價\n・基本值為８０，\n　若編入飛空城的獎勵角色則＋２０\n（若選擇多位角色則僅取最大值，不合併計算）
MID_SKYCASTLE_EDIT_AUTO_TEXT: 可以自動配置\n設備與防衛部隊。
MID_SKYCASTLE_EDIT_AUTO_BTN_ADD: 製造・強化設備後進行配置
MID_SKYCASTLE_EDIT_AUTO_BTN_ADD_EX: 也會一併進行製造・強化設備
MID_SKYCASTLE_EDIT_AUTO_BTN_NO_ADD: 配置現有的設備及部隊
MID_SKYCASTLE_EDIT_AUTO_BTN_NO_ADD_EX: 僅自動配置成員、設備，不進行製造・強化設備。
MID_SKYCASTLE_EDIT_AUTO_DIALOG_HEADLINE: 要以目前的內容進行自動配置嗎？
MID_SKYCASTLE_EDIT_AUTO_DIALOG_BTN_DECIDE: 配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_COMPLETE: 已完成自動配置。
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_0: 靠前配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_1: 靠後配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_2: 靠右配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_3: 靠左配置
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_4: 步行部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_5: 重裝部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_6: 騎馬部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT_7: 飛行部隊・設備
MID_SKYCASTLE_EDIT_AUTO_DIALOG_CONCEPT: $a類型：$a0
MID_SKYCASTLE_EDIT_FLOOREDIT_TITLE: 變更地形
MID_SKYCASTLE_EDIT_FLOOREDIT_HELP: 請選擇地形。
MID_SKYCASTLE_EDIT_FLOOREDIT_CHANGE_CONFIRM: 要變更為此地形嗎？
MID_SKYCASTLE_EDIT_FLOOREDIT_BUY_CONFIRM: $a要消費飛空石×$a0，\n變更地形嗎？
MID_SKYCASTLE_EDIT_FLOOREDIT_BTN_DECIDE: 變更
MID_SKYCASTLE_EDIT_FLOOREDIT_COMPLETE_CONFIRM: 已變更地形。
MID_SKYCASTLE_EDIT_FLOOREDIT_BUY_ERROR: 無法變更地形。
MID_SKYCASTLE_EDIT_FLOOREDIT_BUY_ERROR_WARNING: 已超過可追加的期間。
MID_SKYCASTLE_EDIT_DIALOG_TESTPLAY_CAPTION: 使用編輯完成的地圖進行模擬戰。
MID_SKYCASTLE_EDIT_DIALOG_TESTPLAY_CAPTION_WARNING: ・不會消耗能量。\n・評價不會產生變化。\n・攻擊堡壘及防衛堡壘\n　將被視為相同等級。
MID_SKYCASTLE_EDIT_DIALOG_TESTPLAY_BTN_START: 開始戰鬥
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_DEFENSE: 防衛設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_DEFENSE: 輔助防衛部隊的設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_TRAP: 陷阱
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_TRAP: 若敵方在設置的格子上結束移動便會發動的陷阱
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_RESOURCE: 資源
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_RESOURCE: 關於飛空城能量的回復、儲藏的設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_MISC: 裝飾
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_MISC: 沒有戰鬥效果，純為觀賞用的設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_TITLE_OFFENSE: 攻擊設備
MID_SKYCASTLE_EDIT_FACILITY_CATEGORY_HELP_OFFENSE: 輔助攻擊部隊的設備
MID_SKYCASTLE_EDIT_FACILITY_FILTER_ALL: 全部
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_DEFENSE: 防衛設備
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_TRAP: 陷阱
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_RESOURCE: 資源
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_MISC: 裝飾
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CATEGORY_OFFENSE: 攻擊設備
MID_SKYCASTLE_EDIT_FACILITY_FILTER_DEFENSE_BUILDED: 防衛設置中
MID_SKYCASTLE_EDIT_FACILITY_FILTER_OFFENSE_BUILDED: 攻擊設置中
MID_SKYCASTLE_EDIT_FACILITY_FILTER_AVAILABLE: 可製造強化
MID_SKYCASTLE_REWARD_TITLE: 檢視報酬
MID_SKYCASTLE_REWARD_RANK: 排名
MID_SKYCASTLE_REWARD_TIER: 位階
MID_SKYCASTLE_REWARD_BTN_REWARDTYPE_TIER: 報酬種類：位階
MID_SKYCASTLE_REWARD_BTN_REWARDTYPE_RANK: 報酬種類：排名
MID_SKYCASTLE_REWARD_DIALOG_SELECT_FILTER: 請選擇篩選條件。
MID_SKYCASTLE_REWARD_RANK_OUT_OF_RANGE: 排名外
MID_SKYCASTLE_REWARD_RANK_CALCULATING: 計算中
MID_SKYCASTLE_HISTORY_TITLE: 防衛結果
MID_SKYCASTLE_HISTORY_DEF_WIN: 防衛成功！
MID_SKYCASTLE_HISTORY_DEF_LOSE: 防衛失敗
MID_SKYCASTLE_HISTORY_NUM_DEFEAT: $a擊敗$a0名敵人！
MID_SKYCASTLE_HISTORY_BTN_REVENGE: 進行反攻
MID_SKYCASTLE_HISTORY_BTN_REVENGE_FINISHED: 已進行反攻
MID_SKYCASTLE_HISTORY_BTN_REPLAY: 重播
MID_SKYCASTLE_HISTORY_REVENGED: 對手已進行反攻。
MID_SKYCASTLE_HISTORY_NO_HISTORY: 無防衛記錄。
MID_SKYCASTLE_HISTORY_DIALOG_REPLAY_CONFIRM: 要重播戰鬥的狀況嗎？
MID_SKYCASTLE_HISTORY_DIALOG_REPLAY_BTN_YES: 開始重播
MID_SKYCASTLE_HISTORY_DIALOG_REPLAY_ERROR: 無法取得重播資料。
MID_SKYCASTLE_HISTORY_MENUBAR_BTN_PLAY: 播放
MID_SKYCASTLE_HISTORY_MENUBAR_BTN_STOP: 暫停
MID_SKYCASTLE_HISTORY_SELECT_FILTER: 請選擇篩選條件。
MID_SKYCASTLE_HISTORY_FILTER_DEF_WIN: 篩選條件：防衛成功
MID_SKYCASTLE_HISTORY_FILTER_DEF_LOSE: 篩選條件：防衛失敗
MID_SKYCASTLE_HISTORY_FILTER_REVENGE: 篩選條件：可進行反攻
MID_SKYCASTLE_HISTORY_FILTER_ALL: 篩選條件：全部
MID_SKYCASTLE_HISTORY_BTN_FILTER_DEF_WIN: 防衛成功
MID_SKYCASTLE_HISTORY_BTN_FILTER_DEF_LOSE: 防衛失敗
MID_SKYCASTLE_HISTORY_BTN_FILTER_REVENGE: 可進行反攻
MID_SKYCASTLE_HISTORY_BTN_FILTER_ALL: 全部
MID_SKYCASTLE_RANKING_TITLE: 現在排名
MID_SKYCASTLE_RANKING_RANK_PLAYER: 自己的排名
MID_SKYCASTLE_RANKING_RANK_TOP: 前段
MID_SKYCASTLE_RANKING_RANK_FRIEND: 好友
MID_SKYCASTLE_RANKING_RANK_RANGE: 顯示範圍
MID_SKYCASTLE_RANKING_UNCALCULATED_TOP: 正在計算排名。
MID_SKYCASTLE_RANKING_UNCALCULATED_PLAYER: 您的排名在計算範圍外。
MID_SKYCASTLE_EDIT_HELP_DIALOG_00: 【攻擊地圖】用於對戰。\n向敵人的飛空城進攻吧。
MID_SKYCASTLE_EDIT_HELP_DIALOG_01: 【防衛地圖】用於防衛戰。\n從敵人的攻擊中，守護防衛部隊吧。
MID_SKYCASTLE_EDIT_HELP_DIALOG_02: ◆編輯飛空城◆\n可配置設備及部隊，\n強化自己的攻擊地圖\n及防衛地圖吧。
MID_SKYCASTLE_EDIT_HELP_DIALOG_03: ◆防衛地圖◆\n可配置防衛設備、陷阱、資源、\n裝飾以及防衛部隊。\n\n◆防衛部隊◆\n防衛部隊可配置在\n防衛地圖的上方兩行。
MID_SKYCASTLE_EDIT_HELP_DIALOG_04: ◆攻擊地圖◆\n可設置防衛設備。\n\n◆攻擊部隊◆\n攻擊部隊將出現於\n攻擊地圖的上一行。
MID_SKYCASTLE_EDIT_HELP_DIALOG_05: ◆防衛設備的設置◆\n防衛設備及陷阱、資源、裝飾等，\n可設置於特殊地形外的空格上。\n（特殊地形：林地、溝狀地形等）
MID_SKYCASTLE_EDIT_HELP_DIALOG_06: ◆無法撤除的設備◆\n無法撤除堡壘及資源。\n\n◆破壞設備◆\n無法破壞堡壘及攻擊設備。\n除此以外的設備，\n攻擊１次後即可破壞。
MID_SKYCASTLE_EDIT_HELP_DIALOG_07: ◆自動配置◆\n可自動進行設備的製造、\n強化與設置，並且也會\n自動編組防衛部隊並配置的功能。\n\n※若有進行製造・強化設備時，\n　將會消費飛空石或天空水滴。
MID_SKYCASTLE_EDIT_HELP_DIALOG_08: ◆模擬戰◆\n不消費能量使用\n自己的地圖以及部隊\n進行戰鬥。
MID_SKYCASTLE_EDIT_HELP_DIALOG_09: ◆賽季期間外的模擬戰◆\n自本賽季結果計算完成後～\n下次賽季開始的期間，\n模擬戰的戰鬥將以\n下個賽季的資料進行計算。
MID_SKYCASTLE_EDIT_SELECTFACILITY_HELP_DIALOG_00: ◆設置設備◆\n設置、撤除\n已製造的設備。
MID_SKYCASTLE_EDIT_SELECTFACILITY_HELP_DIALOG_01: ◆設置上限◆\n各個設備有設置數量的上限。
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP_DIALOG_00: ◆製造設備◆\n可消費飛空石或天空水滴\n製造新的設備。
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP_DIALOG_01: ◆強化設備◆\n可消費飛空石或天空水滴\n讓設備的能力提升。
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP_DIALOG_02: ◆期間限定的設備◆\n有些設備僅能於限定的期間內製造。\n製造時，需使用\n於該期間內獲得的特殊道具。\n※製造完成的設備\n　於限定的期間過後仍可繼續使用。
MID_SKYCASTLE_EDIT_FLOOREDIT_HELP_DIALOG_00: 配合戰略變更地形！
MID_SKYCASTLE_EDIT_FLOOREDIT_HELP_DIALOG_01: ◆變更地形◆\n變更飛空城的地形。\n\n部分地形在第一次變更時\n需要消費飛空石。\n（往後可自由變更）
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_00: 在自己與對手的飛空城進行攻防戰！
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_01: ◆飛空城◆\n在地圖上配置設備及部隊，\n以評價制配對對手，\n進行攻擊、防衛的戰鬥。\n\n若攻擊方於７回合內\n將防衛部隊全數殲滅，\n即可獲得勝利。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_02: ◆能量◆\n於飛空城進行對戰將消耗能量。\n經過１天後會回復一定數量，\n賽季開始時會完全回復。\n※回復量超過最大值時，\n　只會回復至最大值。\n\n評價越高時，\n對戰消費量也越高。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_03: ◆評價與位階◆\n・評價會隨著\n　攻擊及防衛的戰績而變動。\n・位階將根據評價變動。\n・下個賽季將以\n　各位階規定的評價開始計算。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_04: ◆獲得的評價◆\n・將獎勵角色編入攻擊部隊中，\n　獲得評價將會＋２０。\n※防衛方的下降量不會變化。\n※若選擇複數角色時僅取最大值。\n\n・若攻擊部隊成員被擊敗，\n　可獲得的評價將會減少。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_05: ◆評價不會下降的特殊條件◆\n・評價為４０００以下時，\n　不會因為攻擊失敗、防衛失敗\n　而使評價下降。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_06: ◆評價　其他◆\n對戰未正常結束時，\n攻擊方及防衛方的評價皆不會變動。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_07: ◆獎勵角色◆\n・編組進攻擊部隊、防衛部隊，\n　出擊時的能力將會提升。\n（ＨＰ＋１０、攻擊速度防守魔防＋４）\n・可獲得的經驗值、ＳＰ為２倍。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_08: ◆獎勵設備◆\n・設置後，【攻擊堡壘】或是\n　【防衛堡壘】ＬＶ＋１。
MID_SKYCASTLE_BATTLE_TOP_HELP_DIALOG_09: ◆防衛堡壘與位階的下降◆\n位階下降時，\n有可能會出現在進行防衛戰時，\n防衛堡壘的等級比原來低的狀況。
MID_SKYCASTLE_BATTLE_REWARD_HELP_DIALOG_00: ◆檢視報酬◆\n可檢視本賽季的報酬。
MID_SKYCASTLE_BATTLE_REWARD_HELP_DIALOG_01: ◆領取報酬◆\n關於飛空城報酬，只要在\n上次賽季結果計算完成後～\n本次賽季結束前的期間內\n進入飛空城，即可領取。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_00: ◆防衛結果◆\n飛空城的防衛結果一覽表。\n可以在此檢視擊敗敵人的人數，\n以及根據勝敗產生的評價變化。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_01: ◆重播◆\n可以重現我方在防衛戰中的戰鬥狀況。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_02: ◆反攻◆\n可以攻擊讓自己防衛失敗的\n對手的飛空城。（僅限１次）\n※需消費能量。\n※若有複數次來自\n　相同對手的防衛紀錄，\n　也只能反攻１次。
MID_SKYCASTLE_BATTLE_RESULT_HELP_DIALOG_03: ◆抑制評價的減少◆\n一旦被攻擊過後，在未來２０小時內，\n即使防衛失敗評價也不會減少。
MID_SKYCASTLE_BATTLE_RANKING_HELP_DIALOG_00: ◆排名◆\n目前排名。\n從計算開始到顯示排名為止\n可能會有時間落差。
