[Heroes Archive] (Menu_47_kakusei01)


Heroes Message Name: Message


MID_BLESSINGMAP_HELP_DIALOG_00: 帶領被賦予祝福英雄、傳承英雄挑戰！
MID_OCCUPATION_STAGE_SELECT_SCORE_BORDER: 目標得分
MID_OCCUPATION_STAGE_SELECT_ACHIEVEMENT_DETAIL: 過關報酬在達成目標得分後即可獲得。
MID_OCCUPATION_BONUS_歩行: 若以步行擊敗獎勵得分＋１
MID_OCCUPATION_BONUS_重装: 若以重裝擊敗獎勵得分＋１
MID_OCCUPATION_BONUS_騎馬: 若以騎馬擊敗獎勵得分＋１
MID_OCCUPATION_BONUS_飛行: 若以飛行擊敗獎勵得分＋１
MID_OCCUPATION_STAGE_SELECT_NO_REWARD_WARNING: 您已過關，\n故無法獲得報酬。
MID_OCCUPATION_STAGE_SELECT_DETAIL_RESTRICTED_ORGANIZATION: 最多只能在隊伍中編入１名\n可使用歌唱或起舞的英雄。\n\n加入部隊裡的英雄不能重複。
MID_OCCUPATION_STAGE_SELECT_DETAIL_RESTRICTED_ORGANIZATION_HELP: 部隊中含有無法\n同時編組於一起的英雄。
MID_UNIT_EDIT_LARGE_FORCE_HELP_DIALOG_00: 組成２０人的大部隊，挑戰壓制戰吧！
MID_UNIT_EDIT_LARGE_FORCE_HELP_DIALOG_01: ◆編組大部隊◆\n為了遊玩「壓制戰」的部隊編組。\n\n最多可從我軍或是好友的部隊中\n挑選２０名英雄編組部隊。\n未編組的部分，英雄將隨機以援軍登場。
MID_UNIT_EDIT_LARGE_FORCE_HELP_DIALOG_02: ◆大部隊編組的限制◆\n・最多只能在隊伍中編入１名\n　可使用歌唱或起舞的英雄。\n\n・加入部隊裡的英雄不能重複。
MID_CONQUER_HELP_DIALOG_00: 率領自己或朋友的英雄，一同挑戰壓制戰！
MID_CONQUER_HELP_DIALOG_01: ◆壓制戰的規則◆\n・即使一方全滅也不會分出勝負。\n　增援會持續登場繼續戰鬥。\n・直到經過１０回合，或是其中一方的\n　根據地被破壞為止才會定勝負。\n\n・無法獲得經驗值、ＳＰ。\n・增援的英雄並不會獲得傳承效果加持。
MID_CONQUER_HELP_DIALOG_02: ◆根據地◆\n・攻擊３次後即可破壞。\n・可以移動至我軍的根據地上。\n・位在根據地的英雄，\n　回合開始時回復ＨＰ１０。\n・根據地為防禦地形。
MID_CONQUER_HELP_DIALOG_03: ◆陣地◆\n・攻擊２次後即可破壞，\n　並轉換為我軍的陣地。\n・可以移動至我軍的陣地上。\n・位在陣地的英雄，\n　回合開始時回復ＨＰ１０。\n・陣地為防禦地形。
MID_CONQUER_HELP_DIALOG_04: ◆根據地、陣地間的傳送◆\n位在我軍根據地或陣地，\n及其周圍１格以內的成員，\n可以一口氣移動到我軍的根據地\n或其他陣地，及其周圍１格的位置。
MID_CONQUER_HELP_DIALOG_05: ◆壓制戰的得分◆\n定勝負後可獲得得分。\n\n盡量保持我軍根據地、陣地不被攻擊；\n同時盡量多攻擊敵軍根據地、陣地，\n以獲得高分為目標進攻吧。
MID_UNIT_EDIT_LARGE_FORCE: 編組大部隊
MID_UNIT_EDIT_LARGE_FORCE_INDEX: $a編組大部隊　部隊$a0
MID_UNIT_EDIT_LARGE_FORCE_GUEST: 援軍
MID_UNIT_EDIT_LARGE_FORCE_FRIEND_RELOAD: 更新好友
MID_UNIT_EDIT_LARGE_FORCE_FRIEND_RELOAD_DIALOG_CONFIRM: 更新
MID_UNIT_EDIT_LARGE_FORCE_ORGANIZE_PLAYER: 從我軍編組
MID_UNIT_EDIT_LARGE_FORCE_ORGANIZE_FRIEND: 從好友編組
MID_UNIT_EDIT_LARGE_FORCE_FRIEND_RELOAD_CONFIRM: 要將好友的角色更新至最新狀態嗎？
MID_UNIT_EDIT_LARGE_FORCE_FRIEND_RELOAD_CONFIRM_WARNING: 部隊中所有來自好友的角色將會更新。
MID_UNIT_EDIT_FRIEND_BOX: 好友
