[Heroes Archive] (Menu_Tutorial)


Heroes Message Name: Message


MID_ARENA_TITLE: 鬥技場
MID_ARENA_DIALOG_GIVEUP_WARNING: 如果不進行對戰便直接結束，\n不會喪失現有的連勝數。
MID_ARENA_DIALOG_GIVEUP_YES: 棄權
MID_ARENA_DIALOG_GIVEUP_NO: 重新考慮
MID_ARENA_DIALOG_OPPONENT_DECIDE_TEXT: 要和這位玩家對戰嗎？
MID_ARENA_DIALOG_OPPONENT_DECIDE_YES: 對戰
MID_ARENA_DIALOG_OPPONENT_DECIDE_NO: 取消
MID_ARENA_DIALOG_SEASON_LAST10_TEXT: 賽季即將結束。
MID_ARENA_DIALOG_SEASON_LAST10_WARNING: 如果超過賽季結束時間，\n將不會計入本次結果。
MID_ARENA_DIALOG_SEASON_END_TEXT: 已超過賽季結束時間，\n無法計入本次結果。
MID_ARENA_ROOT_SEASONEND_TEXT: 超過賽季結束時間，\n無法進行對戰。
MID_ARENA_ROOT_SEASONEND_WARNING: 敬請期待下次賽季。
MID_ARENA_DIALOG_TASKKILLED_TEXT: 上次戰鬥並未正常結束。
MID_ARENA_DIALOG_TASKKILLED_WARNING: 連勝數及連勝獎勵將重新設定。
MID_ARENA_DIALOG_NO_CANDIDATE_TEXT: 找不到對戰對手。
MID_ARENA_DIALOG_NO_CANDIDATE_WARNING: 請稍後再重新尋找。
MID_ARENA_REWARDS_GAINED_DIALOG: ※關於鬥技場報酬，只要在\n　上次賽季結果計算完成後～\n　本次賽季結束前的期間內進入鬥技場，\n　即可領取。
MID_ARENA_DIALOG_HELP_00: 挑戰全世界的強敵！奪取報酬吧！
MID_ARENA_DIALOG_HELP_01: ◆對戰◆\n使用對戰權進行對戰。\n可從３組部隊中選擇對戰對手。
MID_ARENA_DIALOG_HELP_02: ◆得分◆\n一旦獲勝，即可依對手強度\n獲得相對應的分數。\n\n如果連勝，上一場的勝利得分\n將可計入連勝獎勵。\n※連勝獎勵\n會在連勝第７場後歸零。
MID_ARENA_DIALOG_HELP_03: ◆最高得分◆\n所有得分中的最高者。\n每場賽季均會歸零。
MID_ARENA_DIALOG_HELP_04: ◆報酬◆\n賽季結束後，\n會依據最高得分及排名\n給予相對應的報酬。\n如果得分夠高，\n就有機會提升階級。
MID_ARENA_DIALOG_HELP_05: ◆本賽季的獎勵角色◆\n將獎勵角色\n加入出擊成員中，\n得分將提升為２倍。
MID_ARENA_DIALOG_HELP_2_00: ◆防衛結果◆\n防衛戰的勝利結果一覽表。\n每次勝利都可獲得\n防衛得分。
MID_ARENA_DIALOG_HELP_2_01: ◆關於防衛報酬◆\n本賽季的報酬\n依最高得分而定。
MID_ARENA_DIALOG_HELP_2_02: ◆關於防衛部隊◆\n編組中的第１組（最左端）部隊\n會被自動設定為防衛部隊。
MID_ARENA_DIALOG_HELP_3_00: ◆檢視報酬◆\n可檢視本賽季的報酬。\n\n切換篩選條件，\n即可分別檢視\n「勝利」、「防衛」、「排名」報酬。
MID_ARENA_DIALOG_HELP_3_01: ◆勝利◆\n對戰的最高得分報酬一覽表。\n\n◆防衛◆\n防衛的最高得分報酬一覽表。\n\n
MID_ARENA_DIALOG_HELP_3_02: ◆排名◆\n鬥技場的排名報酬一覽表。\n排名將取前100,000名\n以內的得分。\n※每１小時會重新計算排名。\n（每小時的00分開始計算）\n從計算開始到顯示排名為止\n可能會有時間落差。
MID_ARENA_DIALOG_HELP_3_03: ◆領取報酬◆\n關於鬥技場報酬，只要在\n上次賽季結果計算完成後～\n本次賽季結束前的期間內\n進入鬥技場，即可領取。
MID_ARENA_RANK01: 見習騎士第七小隊
MID_ARENA_RANK02: 白騎士團
MID_ARENA_RANK03: 龍騎士團
MID_ARENA_RANK04: 漆黑騎士團
MID_ARENA_RANK05: 神槍騎士團
MID_ARENA_RANK06: 翠綠騎士團
MID_ARENA_RANK07: 純白騎士團
MID_ARENA_RANK08: 弓軍將
MID_ARENA_RANK09: 魔道軍將
MID_ARENA_RANK10: 騎士軍將
MID_ARENA_RANK11: 大軍將
MID_ARENA_RANK12: 三龍將
MID_ARENA_RANK13: 八神將
MID_ARENA_RANK14: 帝國六將
MID_ARENA_RANK15: 四駿
MID_ARENA_RANK16: 神使親衛隊
MID_ARENA_RANK17: 十二魔將
MID_ARENA_RANK18: 白夜血族
MID_ARENA_RANK19: 暗夜血族
MID_ARENA_RANK20: 神祖龍
MID_CONFIG_ON: On
MID_CONFIG_OFF: Off
MID_CONFIG_ANIME_BATTLE: 戰鬥動畫
MID_CONFIG_ANIME_SUPPORT: 輔助動畫
MID_CONFIG_ANIME_PLAYER_TURN: 僅我軍回合
MID_CONFIG_OPERATION_COMMAND: 確定行動之操作
MID_CONFIG_OPERATION_FIXED: 確定待命之操作
MID_CONFIG_OPERATION_AUTO: 自動
MID_CONFIG_OPERATION_TAP: 點觸
MID_CONFIG_AUTO_TURN_END: 自動結束回合
MID_CONFIG_UNIT_AUTO_LOCK: 自動設為我的最愛
MID_CONFIG_MUTED: 靜音
MID_CONFIG_BGM_VOLUME: 設定背景音樂音量
MID_CONFIG_SE_VOLUME: 設定音效音量
MID_CONFIG_VOICE_VOLUME: 設定語音音量
MID_CONFIG_MAP_BEGIN: 地圖開始時的操作
MID_CONFIG_MAP_BEGIN_BATTLE: 戰鬥
MID_CONFIG_MAP_BEGIN_SORTIE: 變更配置
MID_CONFIG_DOUBLE_TAP_FIXED: 點觸兩次時待命
MID_CONFIG_TALK_WAIT_FOR_AUTO_MODE: 自動戰鬥時的\n對話進行方式
MID_CONFIG_TALK_WAIT_TAP: 點觸
MID_CONFIG_TALK_WAIT_AUTO: 自動
MID_CONFIG_AUTO_SHOW_DANGER: 自動顯示危險範圍
MID_CONFIG_AUTO_MODE_CONTINUATION: 連續戰鬥時\n繼續自動戰鬥
MID_CONFIG_AUTO_SKIP: 跳過地圖動畫
MID_CONFIG_AUTO_SKIP_ENEMY_TURN: 僅敵軍回合
MID_CONFIG_AUTO_SKIP_FOR_AUTO_MODE: 自動戰鬥時跳過動畫
MID_CONFIG_AUTO_BUTTON: 顯示自動戰鬥鍵
MID_CONFIG_AUTO_BUTTON_MENU: 選單
MID_CONFIG_AUTO_BUTTON_FOOTER: 畫面下方
MID_CONFIG_AUTO_BUTTON_ALL: 全部
MID_CONFIG_LEVEL_SORT: 依等級排序時
MID_CONFIG_LEVEL_SORT_DEFAULT: 預設
MID_CONFIG_LEVEL_SORT_IGNORE_LIMIT_BREAK: 無視突破極限
MID_CONFIG_SEQUENTIAL_MAP_RECOMMENDATION_ENABLED: 戰渦連戰　建議難度
MID_CONFIG_SHOW_MAP_COMMAND_GUIDE: AI行動動畫
MID_CONFIG_BATTLE_ENEMY_BGM: 敵方背景音樂
MID_CONFIG_SHOW_MAP_COMMAND_GUIDE_SIMPLE: 簡略
MID_CONFIG_SHOW_MAP_COMMAND_GUIDE_RICH: 完整
MID_CONFIG_BATTLE_BGM: 戰鬥及輔助動畫\n背景音樂
MID_CONFIG_BATTLE_BGM_ONLY_SPECIAL: 僅限特殊背景音樂
MID_TITLE_ASK_NAME: 請輸入你的名字。
MID_TITLE_ASK_NAME_CAPTION: 請輸入名字。
MID_TITLE_ASK_NAME_INFO: 名字以１２個字為限。\n部分符號無法使用。\n之後可修改。
MID_TITLE_USER_NAME_PLACE_HOLDER: 你的名字
MID_TITLE_USER_NAME_DEFAULT_NAME: 艾克拉
MID_TITLE_USER_NAME_NG: 無法使用會讓其他人\n感覺不悅的詞語。
MID_EXTRA: 其他
MID_EXTRA_SUBMENU: FAQ等
MID_EXTRA_ITEMLIST: 道具一覽
MID_EXTRA_ITEMLIST_INFO: 持有道具的一覽表。
MID_EXTRA_ENVIRONMENT: 環境設定
MID_EXTRA_ENVIRONMENT_INFO: 可編輯環境設定。
MID_EXTRA_MOVIELIST: 影片
MID_EXTRA_MOVIELIST_PLAY: 播放
MID_EXTRA_MOVIELIST_OPENING: 開頭影片
MID_EXTRA_MOVIELIST_SUMMON: $a$a0召喚
MID_EXTRA_ACHIVEMENT_ANDROID: Google Play 成就
MID_EXTRA_ACHIVEMENT_IOS: Game Center 成就
MID_EXTRA_HELP: ＦＡＱ
MID_EXTRA_CUSTOMER: 客戶支援服務
MID_EXTRA_TERM: 使用條款
MID_EXTRA_PRIVACY: 隱私權政策
MID_EXTRA_ABOUT: 關於本應用程式
MID_EXTRA_CHANGE_LANGUAGE: 變更語言
MID_EXTRA_CHANGE_NAME: 變更姓名
MID_EXTRA_PLAY_ANALYTICS: 關於資料的使用
MID_EXTRA_PLAY_ANALYTICS_TERMS: 基於為客戶提供個人化服務、\n發送廣告及分析當機資料等目的，\n「Fire Emblem Heroes」\n將蒐集客戶使用本應用程式時\n所使用之資料。\n\n如欲終止本公司基於上述目的取得資料，\n請選擇「停止傳送使用資料」。\n\n※您必須重新啟動本應用程式，\n才能夠套用變更後的設定。\n\n※如欲終止本應用程式以外的廣告發送服務，\n請變更您使用的裝置的設定。
MID_EXTRA_PLAY_ANALYTICS_ON: 開始傳送使用資料
MID_EXTRA_PLAY_ANALYTICS_OFF: 停止傳送使用資料
MID_EXTRA_PLAY_ANALYTICS_CONFIRM: 已變更使用資料傳送設定。\n※您必須重新啟動本應用程式，\n　才能夠套用變更後的設定。
MID_PRESENT_LIST_TITLE: 禮物盒
MID_PRESENT_LIST_RECEIVED: 已領取
MID_PRESENT_LIST_RECEIVE: 已領取頁面內\n所有道具。
MID_PRESENT_LIST_MAXIMUM: 持有數量已達上限，\n無法領取禮物。
MID_PRESENT_LIST_MAXIMUM_PART: 持有數量已達上限，\n無法領取部分禮物。
MID_PRESENT_LIST_ERROR_RECEIVE_PART: 發生錯誤，\n無法領取部分禮物。
MID_PRESENT_LIST_CONFIRM_TO_RECEIVE_ALL: 要一次領取所有禮物嗎？
MID_PRESENT_LIST_RECEIVE_BUTTON: 領取
MID_PRESENT_LIST_RECEIVE_ALL_BUTTON: 全部領取
MID_PRESENT_LIST_MINUTE: $a還有$a0分鐘
MID_PRESENT_LIST_HOUR: $a還有$a0小時
MID_PRESENT_LIST_DAY: $a還有$a0天
MID_FRIEND_LIST_MINUTE: $a最後遊玩時間：$a0分鐘前
MID_FRIEND_LIST_HOUR: $a最後遊玩時間：$a0小時前
MID_FRIEND_LIST_DAY: $a最後遊玩時間：$a0天前
MID_FRIEND_LIST_WEAK: $a最後遊玩時間：$a0週前
MID_FRIEND_LIST_OLDEST_WEAK: 最後遊玩時間：4週以前
MID_FRIEND_YOUR_ID: 您的ID：
MID_HOME_PAGE_PREV: 返回
MID_FRIEND_LIST_TITLE: 好友清單
MID_FRIEND_ACCEPT: 同意
MID_FRIEND_ALL_ACCEPT: 全部同意
MID_FRIEND_DIALOG_ACCEPT: 要同意好友申請嗎？
MID_FRIEND_DIALOG_ALL_ACCEPT: 要同意所有的好友申請嗎？
MID_FRIEND_ACCEPTED: 已同意。
MID_FRIEND_REFUSE: 拒絕
MID_FRIEND_ALL_REFUSE: 全部拒絕
MID_FRIEND_DIALOG_REFUSE: 要拒絕好友申請嗎？
MID_FRIEND_DIALOG_ALL_REFUSE: 要拒絕所有的好友申請嗎？
MID_FRIEND_REFUSED: 已拒絕。
MID_FRIEND_DELETE: 刪除好友
MID_FRIEND_DELETED: 已刪除好友。
MID_FRIEND_DELETE_CHECK: 確定要刪除好友嗎？
MID_FRIEND_HELLO: 問候
MID_FRIEND_DELETE_REQUEST: 取消申請
MID_FRIEND_ALL_DELETE_REQUEST: 取消所有申請
MID_FRIEND_DIALOG_DELETE_REQUEST: 要取消好友申請嗎？
MID_FRIEND_DIALOG_ALL_DELETE_REQUEST: 要取消所有的好友申請嗎？
MID_FRIEND_DELETED_REQUEST: 已取消申請。
MID_FRIEND_REQUEST: 好友申請
MID_FRIEND_SEARCH_USER_ID: 可搜尋ID並提出好友申請。
MID_FRIEND_INPUT_SEARCH: 請在此輸入對方ID
MID_FRIEND_LIST_SEARCH_CAPTION: 請輸入欲搜尋的ID。
MID_FRIEND_ALREADY_FRIEND: 已為好友。
MID_FRIEND_ALREADY_SENT_REQUEST: 已申請完畢。
MID_FRIEND_SEND_REQUEST: 已申請。
MID_FRIEND_LIST_EMPTY: 目前無好友。
MID_FRIEND_SEARCH_EMPTY: 請輸入對方ID。
MID_FRIEND_SEARCH_ERROR: 輸入的ID有誤。
MID_FRIEND_SEARCH_INVALID: 輸入的ID有誤。\n請輸入１０位數的數字。
MID_FRIEND_SEARCH_EQUAL_MY_ID: 無法輸入並搜尋\n自己的ID。
MID_FRIEND_REQUEST_EMPTY: 無申請中的使用者。
MID_FRIEND_APPROVAL_EMPTY: 目前無待同意的申請。
MID_PRESENT_ACTIVE_EMPTY: 已領取禮物。
MID_PRESENT_RECEIVED_EMPTY: 過去１４天內\n沒有領取禮物。
MID_HOME_FRIEND_TALK_SEND: 已問候好友。
MID_HOME_FRIEND_TALK_RECEIVE: $a有$a0位好友向您問候。
MID_HOME_FRIEND_TALK_RECEIVE_MAX: 有超過5位好友向您問候。
MID_FRIEND_ERROR_SEND_REQUEST: 好友登錄數量已達上限，\n或是正在申請中，\n因此無法申請。
MID_FRIEND_ERROR_ACCEPT_REQUEST: 好友登錄數量已達上限，\n或是已為好友，\n因此無法同意申請。
MID_FRIEND_ERROR_REFUSE_REQUEST: 已拒絕申請。
MID_FRIEND_ERROR_DELETE: 已不是好友。
MID_FRIEND_ERROR_DELETE_REQUEST: 對方已同意或\n拒絕申請。\n
MID_FRIEND_ERROR_OPERATE: 發生錯誤。
MID_FRIEND_REQUEST_DIALOG: 要對這位玩家\n提出好友申請嗎？
MID_FRIEND_REQUEST_DIALOG_DECIDE: 申請
MID_FRIEND_REQUEST_DIALOG_CANCEL: 不申請
MID_INVENTORY_NONE: 
MID_INVENTORY_MY_NINTENDO_GIFT: My Nintendo禮品
MID_ITEM_ORB: 寶珠
MID_ITEM_HELP_ORB: 用於「召喚」等。
MID_ITEM_FEATHER: 英雄之翼
MID_ITEM_HELP_FEATHER: 用於「覺醒」。
MID_ITEM_STAMINA: 體力回復藥
MID_ITEM_HELP_STAMINA: 體力+50。
MID_ITEM_ARENA: 對戰權之劍
MID_ITEM_HELP_ARENA: 完全回復對戰權。
MID_ITEM_VOTE: 大戰之旗
MID_ITEM_HELP_VOTE: 用於「投票大戰」。\n投票大戰結束後將全部消失。
MID_ITEM_RESURRECTION: 光之加護
MID_ITEM_HELP_RESURRECTION: 用於「會戰」。\n可以復活及完全回復我方全體ＨＰ，\n並進入可行動及可發動奧義的狀態。
MID_ITEM_EXP_RED1: 緋光結晶
MID_ITEM_HELP_EXP_RED1: 用於「升級」。\n可讓等級19以下的赤屬性夥伴成長。
MID_ITEM_EXP_RED2: 緋光大結晶
MID_ITEM_HELP_EXP_RED2: 用於「升級」。\n可讓等級20以上的赤屬性夥伴成長。
MID_ITEM_EXP_BLUE1: 蒼光結晶
MID_ITEM_HELP_EXP_BLUE1: 用於「升級」。\n可讓等級19以下的青屬性夥伴成長。
MID_ITEM_EXP_BLUE2: 蒼光大結晶
MID_ITEM_HELP_EXP_BLUE2: 用於「升級」。\n可讓等級20以上的青屬性夥伴成長。
MID_ITEM_EXP_GREEN1: 碧光結晶
MID_ITEM_HELP_EXP_GREEN1: 用於「升級」。\n可讓等級19以下的綠屬性夥伴成長。
MID_ITEM_EXP_GREEN2: 碧光大結晶
MID_ITEM_HELP_EXP_GREEN2: 用於「升級」。\n可讓等級20以上的綠屬性夥伴成長。
MID_ITEM_EXP_NEUTRAL1: 無垢結晶
MID_ITEM_HELP_EXP_NEUTRAL1: 用於「升級」。\n可讓等級19以下的無屬性夥伴成長。
MID_ITEM_EXP_NEUTRAL2: 無垢大結晶
MID_ITEM_HELP_EXP_NEUTRAL2: 用於「升級」。\n可讓等級20以上的無屬性夥伴成長。
MID_ITEM_EXP_ALL1: 萬物結晶
MID_ITEM_HELP_EXP_ALL1: 用於「升級」。\n可讓等級19以下的任何屬性夥伴成長。
MID_ITEM_EXP_ALL2: 萬物大結晶
MID_ITEM_HELP_EXP_ALL2: 用於「升級」。\n可讓等級20以上的任何屬性夥伴成長。
MID_ITEM_PROMOTION_RED1: 緋光勳章
MID_ITEM_HELP_PROMOTION_RED1: 用於「覺醒」。\n可讓★３以下的赤屬性夥伴提升１★。
MID_ITEM_PROMOTION_RED2: 緋光大勳章
MID_ITEM_HELP_PROMOTION_RED2: 用於「覺醒」。\n可讓★４的赤屬性夥伴提升為★５。
MID_ITEM_PROMOTION_BLUE1: 蒼光勳章
MID_ITEM_HELP_PROMOTION_BLUE1: 用於「覺醒」。\n可讓★３以下的青屬性夥伴提升１★。
MID_ITEM_PROMOTION_BLUE2: 蒼光大勳章
MID_ITEM_HELP_PROMOTION_BLUE2: 用於「覺醒」。\n可讓★４的青屬性夥伴提升為★５。
MID_ITEM_PROMOTION_GREEN1: 碧光勳章
MID_ITEM_HELP_PROMOTION_GREEN1: 用於「覺醒」。\n可讓★３以下的綠屬性夥伴提升１★。
MID_ITEM_PROMOTION_GREEN2: 碧光大勳章
MID_ITEM_HELP_PROMOTION_GREEN2: 用於「覺醒」。\n可讓★４的綠屬性夥伴提升為★５。
MID_ITEM_PROMOTION_NEUTRAL1: 無垢勳章
MID_ITEM_HELP_PROMOTION_NEUTRAL1: 用於「覺醒」。\n可讓★３以下的無屬性夥伴提升１★。
MID_ITEM_PROMOTION_NEUTRAL2: 無垢大勳章
MID_ITEM_HELP_PROMOTION_NEUTRAL2: 用於「覺醒」。\n可讓★４的無屬性夥伴提升為★５。
MID_ITEM_GAIN_QUANTITY: $a獲得$a0×$a1！
MID_ITEM_GAIN_UNIT: $a獲得$a0！
MID_ITEM_PRESENT_QUANTITY: $a已將$a0×$a1\n送至禮物盒內。
MID_ITEM_PRESENT_UNIT: $a已將$a0\n送至禮物盒內。
MID_ITEM_DIRECT_GAIN_QUANTITY: $a獲得$a0×$a1！\n※將直接取得報酬。
MID_ITEM_DIRECT_GAIN_UNIT: $a獲得$a0！\n※將直接取得報酬。
MID_LOAD_RESUME_CONFIRM: 發現中斷資料。\n要繼續遊戲嗎？
MID_LOAD_RESUME_DECIDE: 繼續
MID_LOAD_RESUME_CANCEL: 不繼續
MID_LOAD_DISCARD_CONFIRM: 要刪除中斷資料嗎？\n
MID_LOAD_DISCARD_DECIDE: 刪除
MID_LOAD_DEVICE_CONFIRM: 其他裝置內\n可能存有中斷資料。\n要刪除中斷資料嗎？
MID_LOAD_DEVICE_DECIDE: 刪除
MID_LOAD_DEVICE_CANCEL: 不刪除
MID_LOAD_RESUME_OTHER_DEVICE: 請使用最後遊玩的裝置\n繼續遊戲。
MID_LOAD_DATA_NOT_FOUND_CONFIRM: 無法取得資料。\n即將刪除中斷資料。
MID_LOAD_FAILED_CONFIRM: 無法繼續遊戲。
MID_MAP_TURN: $a回合 $a0
MID_MAP_TURN_WITH_LIMIT: $a回合 $a0/$a1
MID_MAP_OBSTACLE: 障礙物
MID_MAP_AUTO: 自動戰鬥
MID_MAP_AUTO_CONFIRM: 要啟用自動戰鬥嗎？
MID_MAP_AUTO_DECIDE: 自動戰鬥
MID_MAP_TURN_END_CONFIRM: 要結束這回合嗎？
MID_MAP_TURN_END_DECIDE: 結束回合
MID_MAP_SURRENDER: 投降
MID_MAP_SURRENDER_CONFIRM: 要投降嗎？
MID_MAP_SURRENDER_WARNING: 選擇投降後，將失去\n在本地圖獲得的經驗值。
MID_MAP_SURRENDER_DECIDE: 投降
MID_MAP_CONTINUE_CONFIRM: 要復活繼續遊戲嗎？
MID_MAP_CONTINUE_WARNING: 放棄復活時，將失去\n在本地圖獲得的經驗值。
MID_MAP_CONTINUE_DECIDE: 復活繼續遊戲
MID_MAP_CONTINUE_CANCEL: 放棄
MID_MAP_RESURRECTION: 光之加護
MID_MAP_RESURRECTION_CONFIRM_ITEM: 要使用光之加護×1，\n讓所有夥伴復活嗎？\n（可追加獲得下列效果）\n・ＨＰ完全回復\n・進入可行動狀態\n・進入可發動奧義狀態
MID_MAP_RESURRECTION_CONFIRM_ORB: 要使用寶珠×1，\n讓所有夥伴復活嗎？\n（可追加獲得下列效果）\n・ＨＰ完全回復\n・進入可行動狀態\n・進入可發動奧義狀態
MID_MAP_RESURRECTION_WARNING: 不會回復回合數。
MID_MAP_RESURRECTION_DECIDE_ITEM: 復活
MID_MAP_RESURRECTION_DECIDE_ORB: 復活
MID_MAP_RESURRECTION_CANCEL: 取消
MID_MAP_GAIN_SKILL_POINT: $aSP+$a0
MID_MAP_GAIN_HEROISM_POINT: $a+$a0
MID_MISSION: 任務
MID_MISSION_NONE: 目前沒有任務。
MID_MISSION_STRATUM: 難度
MID_MISSION_STRATUM_NORMAL: 普通
MID_MISSION_STRATUM_HARD: 困難
MID_MISSION_STRATUM_LUNATIC: 超難
MID_MISSION_PROGRESS: $a任務進度　$a0/$a1
MID_MISSION_PROGRESS_ACHIEVED: 達成任務！
MID_MISSION_PROGRESS_RECEIVED: 已領取報酬
MID_MISSION_EXPERIENCE: 增加了新的任務。
MID_MISSION_APPEAR_STRATUM: 已達成所有任務。\n可挑戰新難度的任務。
MID_MISSION_PROGRESS_DIALOG_TITLE: 任務進度
MID_MISSION_PROGRESS_DIALOG_TITLE_ACHIEVED: 達成任務！
MID_MISSION_PROGRESS_DIALOG_PROGRESS: $a$a0/$a2 → $a1/$a2
MID_MISSION_PROGRESS_DIALOG_PROGRESS_HELP: $a再$a0次即可領取報酬。
MID_MISSION_PROGRESS_DIALOG_ACHIEVED_HELP: 可經由任務清單\n領取報酬。
MID_MOVIE_SKIP: 要跳過影片嗎？
MID_MOVIE_SKIP_BUTTON: 跳過
MID_SHOP: 商店
MID_SHOP_COMMON_CANCEL: 返回
MID_SHOP_ORB_BUY_TITLE: 購買寶珠
MID_SHOP_ORB_CAUTION1: 請先閱讀注意事項，\n再選擇購買金額。
MID_SHOP_ORB_CAUTION2: $a・請注意，購買的寶珠無法用於\n　$a0以外的作業系統。
MID_SHOP_ORB_CAUTION_IOS: iOS
MID_SHOP_ORB_CAUTION_ANDROID: Android
MID_SHOP_ORB_CAUTION3: ・贈送的寶珠屬於免費取得的寶珠，\n　寶珠餘額可於餘額明細畫面查看。
MID_SHOP_ORB_BUY_ACTION: 購買
MID_SHOP_ORB_BUY_BONUS: 優惠贈送！
MID_SHOP_ORB_CANT_BUY: 已達購買上限。
MID_SHOP_ORB_NEED_BUY: 寶珠數量不足。\n是否購買寶珠？
MID_SHOP_ORB_RESULT_SUCCESS: $a已購買寶珠×$a0。
MID_SHOP_ORB_RESULT_FAILURE: 購買寶珠失敗。
MID_SHOP_ORB_RECOVER_TO_RETRY: 由於購買程序處理失敗，\n即將排除資料不一致問題。
MID_SHOP_ORB_RECOVER_TO_TITLE: 資料不一致問題已排除。\n即將返回標題畫面。
MID_SHOP_ORB_RESULT_CANCEL: 已取消購買。
MID_SHOP_ORB_FSA: 資金決済法に基づく表示
MID_SHOP_ORB_SCTA: 特定商取引法に基づく表示
MID_SHOP_ELITE_TITLE: 菁英之城
MID_SHOP_ELITE_CASTLE_LV0: 遠古之城
MID_SHOP_ELITE_CASTLE_LV1: 微光之城
MID_SHOP_ELITE_CASTLE_LV2: 列柱之城
MID_SHOP_ELITE_CASTLE_LV3: 綠地之城
MID_SHOP_ELITE_CASTLE_LV4: 藝術之城
MID_SHOP_ELITE_CASTLE_LV5: 王族之城
MID_SHOP_CHANGE_WP: 變更主題
MID_SHOP_CHANGE_WP_TITLE: 請選擇欲變更的主題。
MID_SHOP_CHANGE_WP_CHOSEN: 選擇中
MID_SHOP_ELITE_EFFECT: $a購買後即可永久提升獲得經驗值$a0％！
MID_SHOP_ELITE_HAVE_BOUGHT: 已購買
MID_SHOP_ELITE_CONFIRM1: $a是否消費寶珠×$a0\n購買$a1？\n\n只要購買城堡，即可\n永久提升未來獲得的經驗值。\n同時，玩家可於變更主題\n變更城堡畫面的主題。
MID_SHOP_ELITE_CONFIRM2: $a獲得經驗值提升$a0％→提升$a1％
MID_SHOP_ELITE_BUY: 購買
MID_SHOP_ELITE_RESULT: $a已消費寶珠×$a0，\n將主題變更為$a1。
MID_SHOP_RECOVER: 回復
MID_SHOP_RECOVER_WITH_ITEM: 回復
MID_SHOP_STAMINA_TITLE: 回復體力
MID_SHOP_STAMINA_CONFIRM_ITEM: 是否消費體力回復藥×１\n回復體力？
MID_SHOP_STAMINA_NOTENOUGH_ITEM: 體力不足。\n是否消費體力回復藥×1\n回復體力？
MID_SHOP_STAMINA_CONFIRM_ORB: 是否消費寶珠×1\n回復體力？
MID_SHOP_STAMINA_NOTENOUGH_ORB: 體力不足。\n是否消費寶珠×1\n回復體力？
MID_SHOP_STAMINA_NOTNECESSARY: 體力已完全回復。
MID_SHOP_STAMINA_RESULT_POTION: 已消費體力回復藥×1\n回復體力。
