[Heroes Archive] (Data_642_legend11)


Heroes Message Name: Message


MDAID_花のかんざし・金: 花のかんざし・金
MID_MISSION_H_S201812CHARA01_C3: アサマで、\nレベル３５以上の敵を撃破。
MID_MISSION_S201812KIZUNA01_TITLE: 絆英雄戦
MID_MISSION_S201812KIZUNA01_A1: 特殊：絆英雄戦突破
MID_MISSION_H_S201812KIZUNA01_A1: アスク王国の王女シャロンを自軍に入れて、\n絆英雄戦・セリス＆ユリアをクリア。
MID_MISSION_S201812KIZUNA01_A2: 特殊：絆英雄戦突破
MID_MISSION_H_S201812KIZUNA01_A2: アスク王国の王子アルフォンスを自軍に入れて、\n絆英雄戦・セリス＆ユリア\nルナティック以上をクリア。
MID_MISSION_S201812KIZUNA01_A3: 特殊：セリスを撃破
MID_MISSION_H_S201812KIZUNA01_A3: アスク王国の王女シャロンで、\nレベル４０以上のセリスを撃破。
MID_MISSION_S201812KIZUNA01_A4: 特殊：ユリアを撃破
MID_MISSION_H_S201812KIZUNA01_A4: アスク王国の王子アルフォンスで、\nレベル４０以上のユリアを撃破。
MID_MISSION_S201812KIZUNA01_A5: 特殊：絆英雄戦突破
MID_MISSION_H_S201812KIZUNA01_A5: 全員歩行の仲間で、\n絆英雄戦・セリス＆ユリア\nルナティック以上をクリア。
MID_MISSION_S201812VOTE01_TITLE: 投票大戦
MID_MISSION_S201812VOTE01_A1: 投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A1: 投票大戦をクリア。
MID_MISSION_S201812VOTE01_A2: 投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A2: 投票大戦をクリア。
MID_MISSION_S201812VOTE01_A3: 投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A3: 投票大戦をクリア。
MID_MISSION_S201812VOTE01_A4: 投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A4: 投票大戦をクリア。
MID_MISSION_S201812VOTE01_A5: 投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A5: 投票大戦をクリア。
MID_MISSION_S201812VOTE01_A6: 修練の塔・第２階層突破
MID_MISSION_H_S201812VOTE01_A6: 修練の塔・第２階層をクリア。
MID_MISSION_S201812VOTE01_A7: 修練の塔・第５階層突破
MID_MISSION_H_S201812VOTE01_A7: 修練の塔・第５階層をクリア。
MID_MISSION_S201812VOTE01_A8: 修練の塔・第８階層突破
MID_MISSION_H_S201812VOTE01_A8: 修練の塔・第８階層をクリア。
MID_MISSION_S201812VOTE01_A9: 闘技場で勝利
MID_MISSION_H_S201812VOTE01_A9: 闘技場で勝利。
MID_MISSION_S201812VOTE01_A10: 闘技場で勝利
MID_MISSION_H_S201812VOTE01_A10: 闘技場で勝利。
MID_MISSION_S201812VOTE01_A11: 闘技場・中級以上で勝利
MID_MISSION_H_S201812VOTE01_A11: 闘技場・中級以上で勝利。
MID_MISSION_S201812VOTE01_A12: 闘技場・中級以上で勝利
MID_MISSION_H_S201812VOTE01_A12: 闘技場・中級以上で勝利。
MID_MISSION_S201812VOTE01_A13: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A13: 赤属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A14: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A14: 青属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A15: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A15: 緑属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A16: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A16: 無属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A17: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A17: 赤属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A18: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A18: 青属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A19: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A19: 緑属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201812VOTE01_A20: 特殊：投票大戦で勝利
MID_MISSION_H_S201812VOTE01_A20: 無属性の仲間を自軍に入れて、\n投票大戦をクリア。
MPID_HONOR_フリーズ: 氷刃の王子
MPID_H_フリーズ: 氷の王国ニフルの第一王子。\n冷静な性格で、常にあらゆる危険に思いを巡らせる。
MPID_VOICE_フリーズ: 松岡禎丞
MPID_ILLUST_フリーズ: 前嶋重機
MPID_LEGEND_フリーズ: 伝承効果：「風」　仲間のＨＰ＋３、守備＋４\n「風」のシーズンの時、\n「風」の祝福を付与された仲間は、\nこの英雄と共に出撃すると、伝承効果を受ける。
MSID_ギョッル: ギョッル
MSID_凍結の封印: 凍結の封印
MSID_H_ギョッル: 攻撃＋３\n敵が不利な状態異常を受けている時、\n自分は絶対追撃、敵は追撃不可\n（不利な状態異常…\n　「敵の次回行動終了まで」の効果全般\n　弱化、移動制限、パニック、反撃不可、相性激化等）
MSID_H_凍結の封印: ターン開始時、自分のＨＰが５０％以上なら、\n敵軍内で最も魔防が低い敵の攻撃、速さ－６\n（敵の次回行動終了まで）
MID_STAGE_HONOR_L0009: 氷刃の王子
MID_STAGE_L0009: フリーズ
MID_STAGE_TITLE_PB036: スキル編３６
MID_STAGE_PB036: ニフルの封印の力
MID_STAGE_TITLE_PC019: 超難問１９
MID_STAGE_PC019: 幻惑のトリレンマ
