[Heroes Archive] (Data_52_bride02)


Heroes Message Name: Message


MID_MISSION_S201805KIZUNA01_TITLE: 絆英雄戦
MSID_攻撃の封印1: 攻撃の封印１
MSID_攻撃の封印2: 攻撃の封印２
MSID_攻撃の封印3: 攻撃の封印３
MSID_守備魔防の連携1: 守備魔防の連携１
MSID_守備魔防の連携2: 守備魔防の連携２
MSID_守備魔防の連携3: 守備魔防の連携３
MSID_速さの共謀1: 速さの共謀１
MSID_速さの共謀2: 速さの共謀２
MSID_速さの共謀3: 速さの共謀３
MSID_H_愛のケーキサーバ: ターン開始時、周囲１マスに味方がいれば、\n自分と周囲１マスの味方の攻撃＋４（１ターン）
MSID_H_愛のケーキサーバ＋: ターン開始時、周囲１マスに味方がいれば、\n自分と周囲１マスの味方の攻撃＋４（１ターン）
MSID_H_ムスペルの炎花: 速さ＋３　戦闘中、攻撃、速さが\n周囲２マス以内の味方の人数×２だけ上昇\n（各能力の強化の最大値は＋６）
MSID_H_清らかなブーケ: ターン開始時、周囲１マスに味方がいれば、\n自分と周囲１マスの味方の速さ＋４（１ターン）
MSID_H_清らかなブーケ＋: ターン開始時、周囲１マスに味方がいれば、\n自分と周囲１マスの味方の速さ＋４（１ターン）
MSID_H_ニフルの氷花: 攻撃＋３　戦闘中、攻撃、速さが\n周囲２マス以内の味方の人数×２だけ上昇\n（各能力の強化の最大値は＋６）
MSID_H_攻撃の封印1: ターン開始時、\n敵軍内で最も攻撃が高い敵の攻撃－３\n（敵の次回行動終了まで）
MSID_H_攻撃の封印2: ターン開始時、\n敵軍内で最も攻撃が高い敵の攻撃－５\n（敵の次回行動終了まで）
MSID_H_攻撃の封印3: ターン開始時、\n敵軍内で最も攻撃が高い敵の攻撃－７\n（敵の次回行動終了まで）
MSID_H_守備魔防の連携1: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の守備、魔防＋２（１ターン）
MSID_H_守備魔防の連携2: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の守備、魔防＋４（１ターン）
MSID_H_守備魔防の連携3: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の守備、魔防＋６（１ターン）
MSID_H_速さの共謀1: 応援を使用した時、または自分に使用された時、\n自分の十字方向にいる敵は、\n速さ－３（敵の次回行動終了まで）
MSID_H_速さの共謀2: 応援を使用した時、または自分に使用された時、\n自分の十字方向にいる敵は、\n速さ－５（敵の次回行動終了まで）
MSID_H_速さの共謀3: 応援を使用した時、または自分に使用された時、\n自分の十字方向にいる敵は、\n速さ－７（敵の次回行動終了まで）
MID_CHAPTER_TITLE_CX019: 外伝２０
MID_CHAPTER_CX019: 花嫁たちに捧ぐ花
MID_STAGE_TITLE_X0191: 外伝２０－１節
MID_STAGE_TITLE_X0192: 外伝２０－２節
MID_STAGE_TITLE_X0193: 外伝２０－３節
MID_STAGE_X0191: 結婚式の王子
MID_STAGE_X0192: 神聖な花嫁たち
MID_STAGE_X0193: 幸せの花を受け取って
MID_STAGE_TITLE_ST_X0018: 外伝１９
MID_STAGE_TITLE_ST_X0019: 外伝２０
MID_STAGE_TITLE_ST_X1019: 外伝１９～２０
MID_CHAPTER_ST_CX010: 外伝１９～２０
