[Heroes Archive] (Data_61_halloween_02)


Heroes Message Name: Message


MDAID_コウモリの耳: コウモリの耳
MID_MISSION_H_S201810SENKA02_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810STORY01_TITLE: 大地の恵みに
MID_MISSION_S201810STORY01_A1: 特殊：外伝２５－１節ルナ突破
MID_MISSION_H_S201810STORY01_A1: 槍の仲間を自軍に入れて、\n外伝２５－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201810STORY01_A2: 特殊：外伝２５－２節ルナ突破
MID_MISSION_H_S201810STORY01_A2: 斧の仲間を自軍に入れて、\n外伝２５－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201810STORY01_A3: 特殊：外伝２５－３節ルナ突破
MID_MISSION_H_S201810STORY01_A3: 剣の仲間を自軍に入れて、\n外伝２５－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201810TAPBTL01_D01_TITLE: タップバトル・デイリー
MID_MISSION_S201810TAPBTL01_D01_A1: 特殊：リーフを撃破
MID_MISSION_H_S201810TAPBTL01_D01_A1: かんたんタップバトルで、難易度ノーマル\n第１６～２０階層のボス・リーフを撃破。
MID_MISSION_S201810TAPBTL01_D01_A2: 第２１～２５階層をクリア
MID_MISSION_H_S201810TAPBTL01_D01_A2: かんたんタップバトルで、\n第２１～２５階層のステージをクリア。
MID_MISSION_S201810TAPBTL01_D01_A3: ステージクリア
MID_MISSION_H_S201810TAPBTL01_D01_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201810TAPBTL01_D02_TITLE: タップバトル・デイリー
MID_MISSION_S201810TAPBTL01_D02_A1: 特殊：リーフを撃破
MID_MISSION_H_S201810TAPBTL01_D02_A1: かんたんタップバトルで、難易度ハード\n第１６～２０階層のボス・リーフを撃破。
MID_MISSION_S201810TAPBTL01_D02_A2: 第４１～４５階層をクリア
MID_MISSION_H_S201810TAPBTL01_D02_A2: かんたんタップバトルで、\n第４１～４５階層のステージをクリア。
MID_MISSION_S201810TAPBTL01_D02_A3: ステージクリア
MID_MISSION_H_S201810TAPBTL01_D02_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201810TAPBTL01_D03_TITLE: タップバトル・デイリー
MID_MISSION_S201810TAPBTL01_D03_A1: 特殊：リーンを撃破
MID_MISSION_H_S201810TAPBTL01_D03_A1: かんたんタップバトルで、難易度ノーマル\n第３６～４０階層のボス・リーンを撃破。
MID_MISSION_S201810TAPBTL01_D03_A2: 第６１～６５階層をクリア
MID_MISSION_H_S201810TAPBTL01_D03_A2: かんたんタップバトルで、\n第６１～６５階層のステージをクリア。
MID_MISSION_S201810TAPBTL01_D03_A3: ステージクリア
MID_MISSION_H_S201810TAPBTL01_D03_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201810TAPBTL01_D04_TITLE: タップバトル・デイリー
MID_MISSION_S201810TAPBTL01_D04_A1: 特殊：リーンを撃破
MID_MISSION_H_S201810TAPBTL01_D04_A1: かんたんタップバトルで、難易度ハード\n第３６～４０階層のボス・リーンを撃破。
MID_MISSION_S201810TAPBTL01_D04_A2: 第８１～８５階層をクリア
MID_MISSION_H_S201810TAPBTL01_D04_A2: かんたんタップバトルで、\n第８１～８５階層のステージをクリア。
MID_MISSION_S201810TAPBTL01_D04_A3: ステージクリア
MID_MISSION_H_S201810TAPBTL01_D04_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201810TAPBTL02_TITLE: タップバトル
MID_MISSION_S201810TAPBTL02_A1: ボスを撃破
MID_MISSION_H_S201810TAPBTL02_A1: かんたんタップバトルで、\nボスを撃破。
MID_MISSION_S201810TAPBTL02_A2: ボスを撃破
MID_MISSION_H_S201810TAPBTL02_A2: かんたんタップバトルで、\nボスを撃破。
MID_MISSION_S201810TAPBTL02_A3: ステージクリア
MID_MISSION_H_S201810TAPBTL02_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201810TAPBTL02_A4: エクストラステージ１をクリア
MID_MISSION_H_S201810TAPBTL02_A4: かんたんタップバトルで、\nエクストラステージ１をクリア。\n（エクストラステージが解放されて以降、\n　エクストラステージ１はプレイ可能）
MPID_ハロワユ: ワユ
MPID_ハロミルラ: ミルラ
MPID_ハロカゲロウ: カゲロウ
MPID_ハロゼロ: ゼロ
MPID_ハロドルカス: ドルカス
MPID_HONOR_ハロワユ: 月へ昇る魔女
MPID_HONOR_ハロミルラ: 無垢なるお化け
MPID_HONOR_ハロカゲロウ: 収穫祭のくの一
MPID_HONOR_ハロゼロ: 禁断のいたずら
MPID_HONOR_ハロドルカス: カボチャ割りの斧
MPID_H_ハロワユ: グレイル傭兵団で剣の腕を磨くために戦う傭兵。\n収穫祭の賑やかさを気に入っている。\n（登場：『ファイアーエムブレム　暁の女神』）
MPID_H_ハロミルラ: 竜人族の少女。外見よりも年齢はずっと上。\nお菓子が欲しいが、なかなか言い出せずにいる。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_ハロカゲロウ: 白夜王国に仕えるくの一。\nお菓子を持ち帰る任務を拝命する。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_H_ハロゼロ: 暗夜王国のシーフ。レオンの臣下。\n収穫祭の熱狂が禁断の夜を連れてくる…\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_H_ハロドルカス: 妻の病の治療費のために戦う傭兵。\n妻への土産にするお菓子を探している。\n（登場：『ファイアーエムブレム　烈火の剣』）
MPID_VOICE_ハロワユ: 浅川悠
MPID_VOICE_ハロミルラ: 門脇舞以
MPID_VOICE_ハロカゲロウ: 村川梨衣
MPID_VOICE_ハロゼロ: 子安武人
MPID_VOICE_ハロドルカス: 北村謙次
MPID_ILLUST_ハロワユ: 米山舞
MPID_ILLUST_ハロミルラ: アマガイタロー
MPID_ILLUST_ハロカゲロウ: cuboon
MPID_ILLUST_ハロゼロ: 由良
MPID_ILLUST_ハロドルカス: 添田一平
MSID_孤高の剣: 孤高の剣
MSID_第15迷宮の覇者1: 第１５迷宮の覇者１
MSID_第15迷宮の覇者2: 第１５迷宮の覇者２
MSID_第15迷宮の覇者3: 第１５迷宮の覇者３
MSID_カボチャの斧: カボチャの斧
MSID_カボチャの斧＋: カボチャの斧＋
MSID_コウモリの弓: コウモリの弓
MSID_コウモリの弓＋: コウモリの弓＋
MSID_果汁のボトル: 果汁のボトル
MSID_果汁のボトル＋: 果汁のボトル＋
MSID_キャンディの杖: キャンディの杖
MSID_キャンディの杖＋: キャンディの杖＋
MSID_精霊のブレス: 精霊のブレス
MSID_守備魔防1: 守備魔防１
MSID_守備魔防2: 守備魔防２
MSID_攻撃速さの連携1: 攻撃速さの連携１
MSID_攻撃速さの連携2: 攻撃速さの連携２
MSID_攻撃速さの連携3: 攻撃速さの連携３
MSID_攻撃の波・偶数1: 攻撃の波・偶数１
MSID_攻撃の波・偶数2: 攻撃の波・偶数２
MSID_攻撃の波・偶数3: 攻撃の波・偶数３
MSID_H_孤高の剣: 奥義が発動しやすい（発動カウント－１）
MSID_H_翼槍ヴィドフニル改: 剣、槍、斧、竜の敵から攻撃された時、\n戦闘中の守備、魔防＋７
MSID_H_攻撃速さの絆R歩重: 歩行、重装の味方が２マス以内にいる時、\n戦闘中、自身の攻撃、速さ＋４
MSID_H_反撃抑制R魔竜: 敵が魔法、竜の時、敵は反撃不可
MSID_H_第15迷宮の覇者1: 攻撃＋１
MSID_H_第15迷宮の覇者2: 攻撃＋２
MSID_H_第15迷宮の覇者3: 攻撃＋３
MSID_H_カボチャの斧: 戦闘中、敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_カボチャの斧＋: 戦闘中、敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_コウモリの弓: 飛行特効\n戦闘中、敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_コウモリの弓＋: 飛行特効\n戦闘中、敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_果汁のボトル: 戦闘中、敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）\n戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の\n守備、魔防－５（敵の次回行動終了まで）
MSID_H_果汁のボトル＋: 戦闘中、敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）\n戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の\n守備、魔防－７（敵の次回行動終了まで）
MSID_H_キャンディの杖: 戦闘中に攻撃していれば、戦闘後に\n敵の奥義発動カウントを最大値に戻す\n（最大値に戻る時、同時に\n　「戦闘後、奥義発動カウント－」が発動しても無効\n　「奥義が発動しやすい」「奥義が出にくい」は有効）\nかつ、\n敵に奥義発動カウント変動量－１の状態異常を付与\n（同系統効果複数時、最大値適用）\n（敵の次回行動終了まで）
MSID_H_キャンディの杖＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の\n奥義発動カウントを最大値に戻す\n（最大値に戻る時、同時に\n　「戦闘後、奥義発動カウント－」が発動しても無効\n　「奥義が発動しやすい」「奥義が出にくい」は有効）\nかつ、\n奥義発動カウント変動量－１の状態異常を付与\n（同系統効果複数時、最大値適用）\n（敵の次回行動終了まで）
MSID_H_精霊のブレス: 守備＋３\n自分から攻撃した時、\n敵より守備が５以上高ければ、絶対追撃\n射程２の敵に、敵の守備か魔防の低い方でダメージ計算
MSID_H_守備魔防1: 守備、魔防＋１
MSID_H_守備魔防2: 守備、魔防＋２
MSID_H_攻撃速さの連携1: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の攻撃、速さ＋２（１ターン）
MSID_H_攻撃速さの連携2: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の攻撃、速さ＋４（１ターン）
MSID_H_攻撃速さの連携3: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の攻撃、速さ＋６（１ターン）
MSID_H_攻撃の波・偶数1: 偶数ターン開始時、自分と周囲１マスの味方の\n攻撃＋２（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_攻撃の波・偶数2: 偶数ターン開始時、自分と周囲１マスの味方の\n攻撃＋４（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_攻撃の波・偶数3: 偶数ターン開始時、自分と周囲１マスの味方の\n攻撃＋６（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MID_CHAPTER_TITLE_CX024: 外伝２５
MID_CHAPTER_CX024: 大地の恵みに
MID_STAGE_TITLE_X0241: 外伝２５－１節
MID_STAGE_TITLE_X0242: 外伝２５－２節
MID_STAGE_TITLE_X0243: 外伝２５－３節
MID_STAGE_X0241: 蝙蝠と魔女とメイド
MID_STAGE_X0242: 牛頭怪物と悪魔
MID_STAGE_X0243: かぼちゃを求めて
MID_STAGE_TITLE_BG_FIRE_0012: 火の大庭園２
MID_STAGE_TITLE_BG_WATER_0013: 水の大庭園３
MID_STAGE_TITLE_BG_WIND_0013: 風の大庭園３
MID_STAGE_TITLE_BG_EARTH_0013: 地の大庭園３
MID_STAGE_TITLE_SB_0015: 第１５迷宮
MID_STAGE_TITLE_PB031: スキル編３１
MID_STAGE_PB031: フレリア王家の双聖器
MID_STAGE_TITLE_PC015: 超難問１５
MID_STAGE_PC015: 紋章をめぐる戦い
MID_STAGE_HONOR_T0041: エフラム　＆
MID_STAGE_T0041: ミルラ
MID_TAP_BATTLE_DATA_TITLE_0009: 光をつぐもの
MID_MUSIC_NAME_BGM_MAP_FE04_01: 序章（聖騎士誕生）
MID_MUSIC_NAME_BGM_MAP_FE04_05: 第３章（獅子王エルトシャン）
MID_MUSIC_NAME_BGM_MAP_BRAVE_02: グランドオブアスク
