[Heroes Archive] (Data_63_dream01)


Heroes Message Name: Message


MDAID_白夜王妃の頭飾り: 白夜王妃の頭飾り
MID_MISSION_H_S201811SKY01_A15: 飛空城の攻撃で勝利。
MID_MISSION_S201811STORY01_TITLE: 浮雲、朝露
MID_MISSION_S201811STORY01_A1: 特殊：外伝２７－１節ルナ突破
MID_MISSION_H_S201811STORY01_A1: 剣の仲間を自軍に入れて、\n外伝２７－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201811STORY01_A2: 特殊：外伝２７－２節ルナ突破
MID_MISSION_H_S201811STORY01_A2: 槍の仲間を自軍に入れて、\n外伝２７－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201811STORY01_A3: 特殊：外伝２７－３節ルナ突破
MID_MISSION_H_S201811STORY01_A3: 斧の仲間を自軍に入れて、\n外伝２７－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201811TAPBTL01_D01_TITLE: タップバトル・デイリー
MID_MISSION_S201811TAPBTL01_D01_A1: 特殊：ルキナを撃破
MID_MISSION_H_S201811TAPBTL01_D01_A1: かんたんタップバトルで、難易度ノーマル\n第１６～２０階層のボス・ルキナを撃破。
MID_MISSION_S201811TAPBTL01_D01_A2: 第２１～２５階層をクリア
MID_MISSION_H_S201811TAPBTL01_D01_A2: かんたんタップバトルで、\n第２１～２５階層のステージをクリア。
MID_MISSION_S201811TAPBTL01_D01_A3: ステージクリア
MID_MISSION_H_S201811TAPBTL01_D01_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201811TAPBTL01_D02_TITLE: タップバトル・デイリー
MID_MISSION_S201811TAPBTL01_D02_A1: 特殊：ルキナを撃破
MID_MISSION_H_S201811TAPBTL01_D02_A1: かんたんタップバトルで、難易度ハード\n第１６～２０階層のボス・ルキナを撃破。
MID_MISSION_S201811TAPBTL01_D02_A2: 第４１～４５階層をクリア
MID_MISSION_H_S201811TAPBTL01_D02_A2: かんたんタップバトルで、\n第４１～４５階層のステージをクリア。
MID_MISSION_S201811TAPBTL01_D02_A3: ステージクリア
MID_MISSION_H_S201811TAPBTL01_D02_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201811TAPBTL01_D03_TITLE: タップバトル・デイリー
MID_MISSION_S201811TAPBTL01_D03_A1: 特殊：ウードを撃破
MID_MISSION_H_S201811TAPBTL01_D03_A1: かんたんタップバトルで、難易度ノーマル\n第３６～４０階層のボス・ウードを撃破。
MID_MISSION_S201811TAPBTL01_D03_A2: 第６１～６５階層をクリア
MID_MISSION_H_S201811TAPBTL01_D03_A2: かんたんタップバトルで、\n第６１～６５階層のステージをクリア。
MID_MISSION_S201811TAPBTL01_D03_A3: ステージクリア
MID_MISSION_H_S201811TAPBTL01_D03_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201811TAPBTL01_D04_TITLE: タップバトル・デイリー
MID_MISSION_S201811TAPBTL01_D04_A1: 特殊：ウードを撃破
MID_MISSION_H_S201811TAPBTL01_D04_A1: かんたんタップバトルで、難易度ハード\n第３６～４０階層のボス・ウードを撃破。
MID_MISSION_S201811TAPBTL01_D04_A2: 第８１～８５階層をクリア
MID_MISSION_H_S201811TAPBTL01_D04_A2: かんたんタップバトルで、\n第８１～８５階層のステージをクリア。
MID_MISSION_S201811TAPBTL01_D04_A3: ステージクリア
MID_MISSION_H_S201811TAPBTL01_D04_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201811TAPBTL02_TITLE: タップバトル
MID_MISSION_S201811TAPBTL02_A1: ボスを撃破
MID_MISSION_H_S201811TAPBTL02_A1: かんたんタップバトルで、\nボスを撃破。
MID_MISSION_S201811TAPBTL02_A2: ボスを撃破
MID_MISSION_H_S201811TAPBTL02_A2: かんたんタップバトルで、\nボスを撃破。
MID_MISSION_S201811TAPBTL02_A3: ステージクリア
MID_MISSION_H_S201811TAPBTL02_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201811TAPBTL02_A4: エクストラステージ１をクリア
MID_MISSION_H_S201811TAPBTL02_A4: かんたんタップバトルで、\nエクストラステージ１をクリア。\n（エクストラステージが解放されて以降、\n　エクストラステージ１はプレイ可能）
MPID_夢カミラ: カミラ
MPID_HONOR_夢カミラ: 夢幻の花
MPID_H_夢カミラ: 暗夜王国の第一王女。異界の存在。\nアクアに優しくしてくれる、つつましやかな姉。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢カミラ: 沢城みゆき
MPID_ILLUST_夢カミラ: みく郎
MPID_夢カムイ男: カムイ
MPID_HONOR_夢カムイ男: 夢境の王子
MPID_H_夢カムイ男: 暗夜王国で育った白夜王国の王子。異界の存在。\nアクアの気持ちを理解してくれる、理想の友達。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢カムイ男: 島﨑信長
MPID_ILLUST_夢カムイ男: まいぽんぽん / INTELLIGENT SYSTEMS
MPID_夢カムイ女: カムイ
MPID_HONOR_夢カムイ女: 夢想の王女
MPID_H_夢カムイ女: 暗夜王国で育った白夜王国の王女。異界の存在。\nアクアの気持ちを理解してくれる、理想の友達。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢カムイ女: 佐藤聡美
MPID_ILLUST_夢カムイ女: 煎茶
MPID_幼少アクア: アクア
MPID_HONOR_幼少アクア: 幼き歌姫
MPID_H_幼少アクア: 暗夜王国の王妃シェンメイの娘。王宮で周囲から\n心無い仕打ちを受け、心に闇を抱えてしまう。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_幼少アクア: Lynn
MPID_ILLUST_幼少アクア: kaya8
MPID_夢ミコト: ミコト
MPID_HONOR_夢ミコト: 夢によぎりし慈母
MPID_H_夢ミコト: 慈愛にあふれた白夜王国の女王。異界の存在。\nアクアを守ってくれる母親のような庇護者。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_VOICE_夢ミコト: 大原さやか
MPID_ILLUST_夢ミコト: 伊藤未生
MSID_黄金の短剣: 黄金の短剣
MSID_シャニーの誓槍: シャニーの誓槍
MSID_フロリーナの誓槍: フロリーナの誓槍
MSID_バアトルの豪斧: バアトルの豪斧
MSID_第16迷宮の覇者1: 第１６迷宮の覇者１
MSID_第16迷宮の覇者2: 第１６迷宮の覇者２
MSID_第16迷宮の覇者3: 第１６迷宮の覇者３
MSID_夢幻の書: 夢幻の書
MSID_泡影の書: 泡影の書
MSID_フラッシュ: フラッシュ
MSID_フラッシュ＋: フラッシュ＋
MSID_水の飛沫: 水の飛沫
MSID_攻撃速さの応援＋: 攻撃速さの応援＋
MSID_静水の舞い2: 静水の舞い２
MSID_静水の舞い3: 静水の舞い３
MSID_攻撃魔防の連携1: 攻撃魔防の連携１
MSID_攻撃魔防の連携2: 攻撃魔防の連携２
MSID_攻撃魔防の連携3: 攻撃魔防の連携３
MSID_見切り・追撃効果1: 見切り・追撃効果１
MSID_見切り・追撃効果2: 見切り・追撃効果２
MSID_見切り・追撃効果3: 見切り・追撃効果３
MSID_H_黄金の短剣: 奥義が発動しやすい（発動カウント－１）
MSID_H_シャニーの誓槍: 奥義が発動しやすい（発動カウント－１）
MSID_H_フロリーナの誓槍: 重装特効
MSID_H_バアトルの豪斧: 重装特効
MSID_H_特殊射程R奥義待機: 戦闘開始時、奥義発動可能状態の場合、\n戦闘中、攻撃、速さ、守備、魔防＋３、かつ\n距離に関係なく反撃する
MSID_H_近距離構えR4: 剣、槍、斧、竜の敵から攻撃された時、\n戦闘中、攻撃、速さ、守備、魔防＋４
MSID_H_第16迷宮の覇者1: ＨＰ＋３
MSID_H_第16迷宮の覇者2: ＨＰ＋４
MSID_H_第16迷宮の覇者3: ＨＰ＋５
MSID_H_夢幻の書: 攻撃＋３\n味方と隣接している時、\n戦闘中、敵の攻撃、速さ、守備、魔防－４
MSID_H_泡影の書: 速さ＋３\n味方と隣接している時、\n戦闘中、敵の攻撃、速さ、守備、魔防－４
MSID_H_フラッシュ: 戦闘中に攻撃していれば、戦闘後に\n敵に反撃不可の状態異常を付与\n（敵の次回行動終了まで）
MSID_H_フラッシュ＋: 戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵に\n反撃不可の状態異常を付与（敵の次回行動終了まで）
MSID_H_水の飛沫: 奥義が発動しやすい（発動カウント－１）\n射程２の敵に、敵の守備か魔防の低い方でダメージ計算\n周囲２マス以内の\n敵の数より味方の数（自身と戦闘相手を除く）が\n多い時、戦闘中、攻撃、速さ＋５
MSID_H_攻撃速さの応援＋: 対象の攻撃、速さ＋６（１ターン）
MSID_H_静水の舞い2: 「歌う」「踊る」使用時、\n対象の魔防＋４
MSID_H_静水の舞い3: 「歌う」「踊る」使用時、\n対象の魔防＋５
MSID_H_攻撃魔防の連携1: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の攻撃、魔防＋２（１ターン）
MSID_H_攻撃魔防の連携2: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の攻撃、魔防＋４（１ターン）
MSID_H_攻撃魔防の連携3: 移動系補助（体当たり、引き戻し、回り込み等）を\n使用した時、または自分に使用された時、\n自分と相手の攻撃、魔防＋６（１ターン）
MSID_H_見切り・追撃効果1: 戦闘開始時、自身のＨＰが１００％なら\n戦闘中、敵の絶対追撃を無効、かつ、\n自分の追撃不可を無効
MSID_H_見切り・追撃効果2: 戦闘開始時、自身のＨＰが５０％以上なら\n戦闘中、敵の絶対追撃を無効、かつ、\n自分の追撃不可を無効
MSID_H_見切り・追撃効果3: 戦闘中、敵の絶対追撃を無効、かつ、\n自分の追撃不可を無効
MID_CHAPTER_TITLE_CX026: 外伝２７
MID_CHAPTER_CX026: 浮雲、朝露
MID_STAGE_TITLE_X0261: 外伝２７－１節
MID_STAGE_TITLE_X0262: 外伝２７－２節
MID_STAGE_TITLE_X0263: 外伝２７－３節
MID_STAGE_X0261: 私の友達
MID_STAGE_X0262: 私の家族
MID_STAGE_X0263: 私の願いは…
MID_STAGE_HONOR_T0043: カムイ　＆
MID_STAGE_T0043: カンナ
MID_STAGE_TITLE_SB_0016: 第１６迷宮
MID_STAGE_TITLE_BG_FIRE_0013: 火の大庭園３
MID_STAGE_TITLE_BG_WATER_0014: 水の大庭園４
MID_STAGE_TITLE_BG_WIND_0014: 風の大庭園４
MID_STAGE_TITLE_BG_EARTH_0014: 地の大庭園４
MID_STAGE_TITLE_BG_FIRE_0014: 火の大庭園４
MID_STAGE_TITLE_PB034: スキル編３４
MID_STAGE_PB034: 過保護のカムイ
