[Heroes Archive] (Data_542_legend06)


Heroes Message Name: Message


MID_MISSION_M201807A_TITLE: ７月ミッションＡ
MID_MISSION_H_S201807BLESS01_A2: 火の祝福を付与された英雄で、\nレベル２０以上の敵を撃破。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807BLESS01_A3: 特殊：火の祝福の味方で撃破
MID_MISSION_H_S201807BLESS01_A3: 火の祝福を付与された英雄で、\nレベル３５以上の赤属性の敵を撃破。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807BLESS01_A4: 特殊：火の祝福の味方で撃破
MID_MISSION_H_S201807BLESS01_A4: 火の祝福を付与された英雄で、\nレベル３５以上の青属性の敵を撃破。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807BLESS01_A5: 特殊：火の祝福の味方で撃破
MID_MISSION_H_S201807BLESS01_A5: 火の祝福を付与された英雄で、\nレベル３５以上の緑属性の敵を撃破。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807BLESS01_A6: 特殊：修練の塔・第１階層突破
MID_MISSION_H_S201807BLESS01_A6: 火の祝福を付与された英雄を自軍に入れて、\n修練の塔・第１階層をクリア。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807BLESS01_A7: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S201807BLESS01_A7: 火の祝福を付与された英雄を自軍に入れて、\n修練の塔・第５階層をクリア。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807BLESS01_A8: 特殊：修練の塔・１０階層突破
MID_MISSION_H_S201807BLESS01_A8: 火の祝福を付与された英雄を自軍に入れて、\n修練の塔・第１０階層をクリア。\n（火の伝承英雄は、\n　火の祝福を付与された英雄とは異なる）
MID_MISSION_S201807VOTE01_TITLE: 投票大戦
MID_MISSION_S201807VOTE01_A1: 投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A1: 投票大戦をクリア。
MID_MISSION_S201807VOTE01_A2: 投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A2: 投票大戦をクリア。
MID_MISSION_S201807VOTE01_A3: 投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A3: 投票大戦をクリア。
MID_MISSION_S201807VOTE01_A4: 投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A4: 投票大戦をクリア。
MID_MISSION_S201807VOTE01_A5: 投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A5: 投票大戦をクリア。
MID_MISSION_S201807VOTE01_A6: 修練の塔・第２階層突破
MID_MISSION_H_S201807VOTE01_A6: 修練の塔・第２階層をクリア。
MID_MISSION_S201807VOTE01_A7: 修練の塔・第５階層突破
MID_MISSION_H_S201807VOTE01_A7: 修練の塔・第５階層をクリア。
MID_MISSION_S201807VOTE01_A8: 修練の塔・第８階層突破
MID_MISSION_H_S201807VOTE01_A8: 修練の塔・第８階層をクリア。
MID_MISSION_S201807VOTE01_A9: 闘技場で勝利
MID_MISSION_H_S201807VOTE01_A9: 闘技場で勝利。
MID_MISSION_S201807VOTE01_A10: 闘技場で勝利
MID_MISSION_H_S201807VOTE01_A10: 闘技場で勝利。
MID_MISSION_S201807VOTE01_A11: 闘技場・中級以上で勝利
MID_MISSION_H_S201807VOTE01_A11: 闘技場・中級以上で勝利。
MID_MISSION_S201807VOTE01_A12: 闘技場・中級以上で勝利
MID_MISSION_H_S201807VOTE01_A12: 闘技場・中級以上で勝利。
MID_MISSION_S201807VOTE01_A13: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A13: 赤属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A14: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A14: 青属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A15: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A15: 緑属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A16: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A16: 無属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A17: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A17: 赤属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A18: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A18: 青属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A19: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A19: 緑属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201807VOTE01_A20: 特殊：投票大戦で勝利
MID_MISSION_H_S201807VOTE01_A20: 無属性の仲間を自軍に入れて、\n投票大戦をクリア。
MPID_伝承ヘクトル: ヘクトル
MPID_HONOR_伝承ヘクトル: オスティア侯
MPID_H_伝承ヘクトル: オスティア侯の爵位を継いだヘクトル。\n志も新たに【アルマーズ】を振るい、民を導く。\n（登場：『ファイアーエムブレム　烈火の剣』）
MPID_VOICE_伝承ヘクトル: 鳥海浩輔
MPID_ILLUST_伝承ヘクトル: ワダサチコ
MPID_LEGEND_伝承ヘクトル: 伝承効果：「火」　仲間のＨＰ＋３、攻撃＋２\n「火」のシーズンの時、\n「火」の祝福を付与された仲間は、\nこの英雄と共に出撃すると、伝承効果を受ける。
MSID_天雷アルマーズ: 天雷アルマーズ
MSID_オスティアの鼓動: オスティアの鼓動
MSID_H_天雷アルマーズ: 守備＋３\n周囲２マス以内の\n敵の数より味方の数（自身と戦闘相手を除く）が\n多い時、敵は追撃不可
MSID_H_オスティアの鼓動: １ターン目開始時、味方の奥義発動カウント－１\nただし、現在の部隊内で、\n同じ移動タイプが２体以下の味方のみが対象
MID_STAGE_HONOR_T0034: ヘクトル　＆
MID_STAGE_T0034: マシュー
MID_STAGE_HONOR_L0004: オスティア侯
MID_STAGE_L0004: ヘクトル
