[Heroes Archive] (Data_58_popularity03)


Heroes Message Name: Message


MDAID_重騎士の兜: 重騎士の兜
MSID_H_獅子連斬: 戦闘開始時、自身のＨＰが１００％なら\n自分から攻撃した時、２回攻撃\n（同系統効果複数時、最大値適用）\nその状態で攻撃した時、戦闘後、自分に１ダメージ
MSID_H_奥義隊形1: 戦闘開始時、自分のＨＰが９０％以上の時、\n自身の奥義発動カウント変動量＋１\n敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_奥義隊形2: 戦闘開始時、自分のＨＰが７０％以上の時、\n自身の奥義発動カウント変動量＋１\n敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_奥義隊形3: 戦闘開始時、自分のＨＰが５０％以上の時、\n自身の奥義発動カウント変動量＋１\n敵の奥義発動カウント変動量－１\n（同系統効果複数時、最大値適用）
MSID_H_魔防の波・偶数1: 偶数ターン開始時、自分と周囲１マスの味方の\n魔防＋２（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_魔防の波・偶数2: 偶数ターン開始時、自分と周囲１マスの味方の\n魔防＋４（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_魔防の波・偶数3: 偶数ターン開始時、自分と周囲１マスの味方の\n魔防＋６（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_近距離警戒1: 周囲２マス以内の味方は、\n剣、槍、斧、竜の敵と戦闘時、守備、魔防＋２
MSID_H_近距離警戒2: 周囲２マス以内の味方は、\n剣、槍、斧、竜の敵と戦闘時、守備、魔防＋３
MSID_H_近距離警戒3: 周囲２マス以内の味方は、\n剣、槍、斧、竜の敵と戦闘時、守備、魔防＋４
MID_CHAPTER_TITLE_CX023: 外伝２４
MID_CHAPTER_CX023: 大いなる者、顕現す
MID_STAGE_TITLE_X0231: 外伝２４－１節
MID_STAGE_TITLE_X0232: 外伝２４－２節
MID_STAGE_TITLE_X0233: 外伝２４－３節
MID_STAGE_X0231: 王女と皇女
MID_STAGE_X0232: 侯爵と王子
MID_STAGE_X0233: 皇女の願い
MID_CHAPTER_ST_CX012: 外伝２３～２４
MID_STAGE_TITLE_ST_X0022: 外伝２３
MID_STAGE_TITLE_ST_X0023: 外伝２４
MID_STAGE_TITLE_ST_X1023: 外伝２３～２４
MID_STAGE_TITLE_PB023: スキル編２３
MID_STAGE_PB023: 大いなるヘクトルとエフラム
MID_STAGE_TITLE_PB024: スキル編２４
MID_STAGE_PB024: 大いなるセリカとヴェロニカ
