[Heroes Archive] (Data_57_bon01)


Heroes Message Name: Message


MWID_H_赤暗: 赤の暗器　射程２\n敵の守備が高いほど与えるダメージは減る\n敵の能力を一時的に減少させる
MWID_H_青暗: 青の暗器　射程２\n敵の守備が高いほど与えるダメージは減る\n敵の能力を一時的に減少させる
MWID_H_緑暗: 緑の暗器　射程２\n敵の守備が高いほど与えるダメージは減る\n敵の能力を一時的に減少させる
MDAID_花のかんざし: 花のかんざし
MID_MISSION_S201808KIZUNA01_TITLE: 絆英雄戦
MID_MISSION_S201808KIZUNA01_A1: 特殊：絆英雄戦突破
MID_MISSION_H_S201808KIZUNA01_A1: アスク王国の王女シャロンを自軍に入れて、\n絆英雄戦・カムイ＆アクアをクリア。
MID_MISSION_S201808KIZUNA01_A2: 特殊：絆英雄戦突破
MID_MISSION_H_S201808KIZUNA01_A2: アンナを自軍に入れて、\n絆英雄戦・カムイ＆アクア\nルナティック以上をクリア。
MID_MISSION_S201808KIZUNA01_A3: 特殊：カムイを撃破
MID_MISSION_H_S201808KIZUNA01_A3: アスク王国の王女シャロンで、\nレベル４０以上の未来を選びし王子カムイを撃破。
MID_MISSION_S201808KIZUNA01_A4: 特殊：アクアを撃破
MID_MISSION_H_S201808KIZUNA01_A4: アンナで、\nレベル４０以上の泉の歌姫アクアを撃破。
MID_MISSION_S201808KIZUNA01_A5: 特殊：絆英雄戦突破
MID_MISSION_H_S201808KIZUNA01_A5: 全員騎馬の仲間で、\n絆英雄戦・カムイ＆アクア\nルナティック以上をクリア。
MID_MISSION_S201808SENKA01_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201808SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA02_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201808SENKA02_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA02_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA02_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA02_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA02_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA02_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808SENKA02_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201808SENKA02_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201808STORY01_TITLE: 白夜の夏祭り
MID_MISSION_S201808STORY01_A1: 特殊：外伝２３－１節ルナ突破
MID_MISSION_H_S201808STORY01_A1: 斧の仲間を自軍に入れて、\n外伝２３－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201808STORY01_A2: 特殊：外伝２３－２節ルナ突破
MID_MISSION_H_S201808STORY01_A2: 剣の仲間を自軍に入れて、\n外伝２３－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201808STORY01_A3: 特殊：外伝２３－３節ルナ突破
MID_MISSION_H_S201808STORY01_A3: 槍の仲間を自軍に入れて、\n外伝２３－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201808TAPBTL01_D01_TITLE: タップバトル・デイリー
MID_MISSION_S201808TAPBTL01_D01_A1: 特殊：リズを撃破
MID_MISSION_H_S201808TAPBTL01_D01_A1: かんたんタップバトルで、難易度ノーマル\n第１６～２０階層のボス・リズを撃破。
MID_MISSION_S201808TAPBTL01_D01_A2: 第２１～２５階層をクリア
MID_MISSION_H_S201808TAPBTL01_D01_A2: かんたんタップバトルで、\n第２１～２５階層のステージをクリア。
MID_MISSION_S201808TAPBTL01_D01_A3: ステージクリア
MID_MISSION_H_S201808TAPBTL01_D01_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201808TAPBTL01_D02_TITLE: タップバトル・デイリー
MID_MISSION_S201808TAPBTL01_D02_A1: 特殊：リズを撃破
MID_MISSION_H_S201808TAPBTL01_D02_A1: かんたんタップバトルで、難易度ハード\n第１６～２０階層のボス・リズを撃破。
MID_MISSION_S201808TAPBTL01_D02_A2: 第４１～４５階層をクリア
MID_MISSION_H_S201808TAPBTL01_D02_A2: かんたんタップバトルで、\n第４１～４５階層のステージをクリア。
MID_MISSION_S201808TAPBTL01_D02_A3: ステージクリア
MID_MISSION_H_S201808TAPBTL01_D02_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201808TAPBTL01_D03_TITLE: タップバトル・デイリー
MID_MISSION_S201808TAPBTL01_D03_A1: 特殊：アクアを撃破
MID_MISSION_H_S201808TAPBTL01_D03_A1: かんたんタップバトルで、難易度ノーマル\n第３６～４０階層のボス・アクアを撃破。
MID_MISSION_S201808TAPBTL01_D03_A2: 第６１～６５階層をクリア
MID_MISSION_H_S201808TAPBTL01_D03_A2: かんたんタップバトルで、\n第６１～６５階層のステージをクリア。
MID_MISSION_S201808TAPBTL01_D03_A3: ステージクリア
MID_MISSION_H_S201808TAPBTL01_D03_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201808TAPBTL01_D04_TITLE: タップバトル・デイリー
MID_MISSION_S201808TAPBTL01_D04_A1: 特殊：アクアを撃破
MID_MISSION_H_S201808TAPBTL01_D04_A1: かんたんタップバトルで、難易度ハード\n第３６～４０階層のボス・アクアを撃破。
MID_MISSION_S201808TAPBTL01_D04_A2: 第８１～８５階層をクリア
MID_MISSION_H_S201808TAPBTL01_D04_A2: かんたんタップバトルで、\n第８１～８５階層のステージをクリア。
MID_MISSION_S201808TAPBTL01_D04_A3: ステージクリア
MID_MISSION_H_S201808TAPBTL01_D04_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201808TAPBTL02_TITLE: タップバトル
MID_MISSION_S201808TAPBTL02_A1: ボスを撃破
MID_MISSION_H_S201808TAPBTL02_A1: かんたんタップバトルで、\nボスを撃破。
MID_MISSION_S201808TAPBTL02_A2: ボスを撃破
MID_MISSION_H_S201808TAPBTL02_A2: かんたんタップバトルで、\nボスを撃破。
MID_MISSION_S201808TAPBTL02_A3: ステージクリア
MID_MISSION_H_S201808TAPBTL02_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201808TAPBTL02_A4: エクストラステージ１をクリア
MID_MISSION_H_S201808TAPBTL02_A4: かんたんタップバトルで、\nエクストラステージ１をクリア。\n（エクストラステージが解放されて以降、\n　エクストラステージ１はプレイ可能）
MID_MISSION_S201808TAPBTL02_A5: 第６～１０階層をクリア
MID_MISSION_H_S201808TAPBTL02_A5: かんたんタップバトルで、\n第６～１０階層のステージをクリア。
MID_MISSION_S201808TAPBTL02_A6: 第８１～８５階層をクリア
MID_MISSION_H_S201808TAPBTL02_A6: かんたんタップバトルで、\n第８１～８５階層のステージをクリア。
MPID_夏祭リョウマ: リョウマ
MPID_夏祭エリンシア: エリンシア
MPID_夏祭マークス: マークス
MPID_夏祭ミカヤ: ミカヤ
MPID_HONOR_夏祭リョウマ: 浴衣の侍
MPID_HONOR_夏祭エリンシア: 夏空の王女
MPID_HONOR_夏祭マークス: 浴衣の騎士
MPID_HONOR_夏祭ミカヤ: 夏色の乙女
MPID_H_夏祭リョウマ: 白夜王国の第一王子。一本気な性格で義に篤い。\n白夜の神事である夏祭りに参加する。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_H_夏祭エリンシア: クリミア王国の王女。心優しく、民や国を大切に思う。\n夏祭りで踊る人々の笑顔に、幸せを感じている。\n（登場：『ファイアーエムブレム　暁の女神』）
MPID_H_夏祭マークス: 暗夜王国の第一王子。常に自己研鑽を怠らない。\n白夜王国の夏祭りに招かれ、白夜の装束で参加する。\n（登場：『ファイアーエムブレム　ｉｆ』）
MPID_H_夏祭ミカヤ: 義賊「暁の団」に所属する、輝く銀色の髪の少女。\n着慣れない夏祭りの装束に、少し戸惑っている。\n（登場：『ファイアーエムブレム　暁の女神』）
MPID_VOICE_夏祭リョウマ: 中村悠一
MPID_VOICE_夏祭エリンシア: 滝田樹里
MPID_VOICE_夏祭マークス: 小西克幸
MPID_VOICE_夏祭ミカヤ: 桑谷夏子
MPID_ILLUST_夏祭リョウマ: 北千里
MPID_ILLUST_夏祭エリンシア: 麻谷知世
MPID_ILLUST_夏祭マークス: п猫Ｒ
MPID_ILLUST_夏祭ミカヤ: チーコ
MSID_第13迷宮の覇者1: 第１３迷宮の覇者１
MSID_第13迷宮の覇者2: 第１３迷宮の覇者２
MSID_第13迷宮の覇者3: 第１３迷宮の覇者３
MSID_青天の舞扇: 青天の舞扇
MSID_青天の舞扇＋: 青天の舞扇＋
MSID_緑雲の舞扇: 緑雲の舞扇
MSID_緑雲の舞扇＋: 緑雲の舞扇＋
MSID_宵闇の団扇: 宵闇の団扇
MSID_宵闇の団扇＋: 宵闇の団扇＋
MSID_暁天の神楽鈴: 暁天の神楽鈴
MSID_業火静水の舞い1: 業火静水の舞い１
MSID_業火静水の舞い2: 業火静水の舞い２
MSID_疾風大地の舞い1: 疾風大地の舞い１
MSID_疾風大地の舞い2: 疾風大地の舞い２
MSID_速さ魔防の紋章1: 速さ魔防の紋章１
MSID_速さ魔防の紋章2: 速さ魔防の紋章２
MSID_守備の波・奇数1: 守備の波・奇数１
MSID_守備の波・奇数2: 守備の波・奇数２
MSID_守備の波・奇数3: 守備の波・奇数３
MSID_H_フォルクヴァング改: 戦闘開始時、自分のＨＰが８０％以下なら\n戦闘中、攻撃、守備＋７
MSID_H_フェンサリル改: 戦闘中、敵の強化の＋を無効にする\n（無効になるのは、鼓舞や応援等の＋効果）
MSID_H_ノーアトゥーン改: 自分のＨＰが５０％以下の時、\n味方の隣接マスへ移動可能
MSID_H_第13迷宮の覇者1: 魔防＋１
MSID_H_第13迷宮の覇者2: 魔防＋２
MSID_H_第13迷宮の覇者3: 魔防＋３
MSID_H_青天の舞扇: 重装特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n戦闘中に攻撃していれば、戦闘後に\n敵とその周囲２マスの敵の守備、魔防－５\n（敵の次回行動終了まで）
MSID_H_青天の舞扇＋: 重装特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n戦闘中に攻撃していれば、戦闘後に\n敵とその周囲２マスの敵の守備、魔防－７\n（敵の次回行動終了まで）
MSID_H_緑雲の舞扇: 竜特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n戦闘中に攻撃していれば、戦闘後に\n敵とその周囲２マスの敵の守備、魔防－５\n（敵の次回行動終了まで）
MSID_H_緑雲の舞扇＋: 竜特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n戦闘中に攻撃していれば、戦闘後に\n敵とその周囲２マスの敵の守備、魔防－７\n（敵の次回行動終了まで）
MSID_H_宵闇の団扇: 騎馬特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n戦闘中に攻撃していれば、戦闘後に\n敵とその周囲２マスの敵の守備、魔防－５\n（敵の次回行動終了まで）
MSID_H_宵闇の団扇＋: 騎馬特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n戦闘中に攻撃していれば、戦闘後に\n敵とその周囲２マスの敵の守備、魔防－７\n（敵の次回行動終了まで）
MSID_H_暁天の神楽鈴: 攻撃＋３　重装、騎馬特効\n自身の戦闘順入替スキル（待ち伏せ、攻め立て等）無効\n敵の戦闘順入替スキル（待ち伏せ、攻め立て等）無効
MSID_H_業火静水の舞い1: 「歌う」「踊る」使用時、\n対象の攻撃＋２、魔防＋３
MSID_H_業火静水の舞い2: 「歌う」「踊る」使用時、\n対象の攻撃＋３、魔防＋４
MSID_H_疾風大地の舞い1: 「歌う」「踊る」使用時、\n対象の速さ＋２、守備＋３
MSID_H_疾風大地の舞い2: 「歌う」「踊る」使用時、\n対象の速さ＋３、守備＋４
MSID_H_速さ魔防の紋章1: 周囲１マスの味方は、\n戦闘中、速さ魔防＋２
MSID_H_速さ魔防の紋章2: 周囲１マスの味方は、\n戦闘中、速さ魔防＋３
MSID_H_守備の波・奇数1: 奇数ターン開始時、自分と周囲１マスの味方の\n守備＋２（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_守備の波・奇数2: 奇数ターン開始時、自分と周囲１マスの味方の\n守備＋４（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MSID_H_守備の波・奇数3: 奇数ターン開始時、自分と周囲１マスの味方の\n守備＋６（１ターン）\n（周囲１マスに味方がいなくても自分は強化される）
MID_CHAPTER_TITLE_CX022: 外伝２３
MID_CHAPTER_CX022: 白夜の夏祭り
MID_STAGE_TITLE_X0221: 外伝２３－１節
MID_STAGE_TITLE_X0222: 外伝２３－２節
MID_STAGE_TITLE_X0223: 外伝２３－３節
MID_STAGE_X0221: 白き地に奉ずる
MID_STAGE_X0222: 古き神の黄昏
MID_STAGE_X0223: 竜は風に
MID_STAGE_HONOR_T0037: ミカヤ　＆
MID_STAGE_T0037: サザ
MID_STAGE_TITLE_PC011: 超難問１１
MID_STAGE_PC011: 分断の地にて
MID_STAGE_TITLE_BG_WATER_0011: 水の大庭園１
MID_STAGE_TITLE_BG_WIND_0011: 風の大庭園１
MID_STAGE_TITLE_SB_0013: 第１３迷宮
MID_STAGE_HONOR_Q0023: 毎週更新
MID_STAGE_Q0023: 制圧戦
MID_STAGE_HONOR_Q0024: 毎週更新
MID_STAGE_Q0024: 制圧戦
MID_STAGE_HONOR_Q0025: 毎週更新
MID_STAGE_Q0025: 制圧戦
MID_STAGE_HONOR_Q0026: 毎週更新
MID_STAGE_Q0026: 制圧戦
MID_TAP_BATTLE_DATA_TITLE_0007: 迷宮の祭典
MID_MUSIC_NAME_BGM_MAP_FES_02: モアファンフェスト
MID_MUSIC_NAME_BGM_MAP_POPULARITY_01: ブレイヴヒーローズ
MID_MUSIC_NAME_BGM_MAP_FE13_06: 天命～炎
