[Heroes Archive] (Data_00_first)


Heroes Message Name: Message


MID_MISSION_M0001_TITLE: ２月ミッション
MID_MISSION_H_M0001_C1: 青属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M0001_C2: 騎馬で、LV３５以上を撃破
MID_MISSION_H_M0001_C2: 騎馬の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M0001_C3: ＬＶ３５以上の緑属性を撃破
MID_MISSION_H_M0001_C3: レベル３５以上の緑属性の敵を撃破。
MID_MISSION_M0001_C4: ＬＶ３５以上の重装を撃破
MID_MISSION_H_M0001_C4: レベル３５以上の重装の敵を撃破。
MID_MISSION_M0001_C5: 特殊：６章－５節ルナ突破
MID_MISSION_H_M0001_C5: ６章－５節ルナティックを\n４人全員歩行の仲間で\n４人全員生存でクリア。
MID_MISSION_M0001_C6: 特殊：６章－１節ルナ突破
MID_MISSION_H_M0001_C6: ６章－１節ルナティックを\nフェリシアを自軍に入れて\n４人全員生存でクリア。
MID_MISSION_M0001_C7: 修練の塔・第８階層突破
MID_MISSION_H_M0001_C7: 修練の塔・第８階層をクリア。
MID_MISSION_M0001_C8: 闘技場・上級で勝利
MID_MISSION_H_M0001_C8: 闘技場・上級で勝利。
MID_MISSION_S0000_TITLE: 結晶プレゼント
MID_MISSION_S0000_A1: 序章－３節突破
MID_MISSION_H_S0000_A1: 序章－３節をクリア。
MID_MISSION_S0000_A2: １章－５節突破
MID_MISSION_H_S0000_A2: １章－５節をクリア。
MID_MISSION_S0000_A3: ２章－５節突破
MID_MISSION_H_S0000_A3: ２章－５節をクリア。
MID_MISSION_S0000_A4: ３章－５節突破
MID_MISSION_H_S0000_A4: ３章－５節をクリア。
MID_MISSION_S0000_A5: ４章－５節突破
MID_MISSION_H_S0000_A5: ４章－５節をクリア。
MID_MISSION_S0000_A6: ５章－５節突破
MID_MISSION_H_S0000_A6: ５章－５節をクリア。
MID_MISSION_S0000_A7: ６章－５節突破
MID_MISSION_H_S0000_A7: ６章－５節をクリア。
MID_MISSION_S0000_A8: ７章－５節突破
MID_MISSION_H_S0000_A8: ７章－５節をクリア。
MID_MISSION_S0000_A9: ８章－５節突破
MID_MISSION_H_S0000_A9: ８章－５節をクリア。
MID_MISSION_S0000_A10: ９章－５節突破
MID_MISSION_H_S0000_A10: ９章－５節をクリア。
MID_MISSION_S0000_B1: １章－５節ハード突破
MID_MISSION_H_S0000_B1: １章－５節ハードをクリア。
MID_MISSION_S0000_B2: ２章－５節ハード突破
MID_MISSION_H_S0000_B2: ２章－５節ハードをクリア。
MID_MISSION_S0000_B3: ３章－５節ハード突破
MID_MISSION_H_S0000_B3: ３章－５節ハードをクリア。
MID_MISSION_S0000_B4: ４章－５節ハード突破
MID_MISSION_H_S0000_B4: ４章－５節ハードをクリア。
MID_MISSION_S0000_B5: ５章－５節ハード突破
MID_MISSION_H_S0000_B5: ５章－５節ハードをクリア。
MID_MISSION_S0000_B6: ６章－５節ハード突破
MID_MISSION_H_S0000_B6: ６章－５節ハードをクリア。
MID_MISSION_S0000_B7: ７章－５節ハード突破
MID_MISSION_H_S0000_B7: ７章－５節ハードをクリア。
MID_MISSION_S0000_B8: ８章－５節ハード突破
MID_MISSION_H_S0000_B8: ８章－５節ハードをクリア。
MID_MISSION_S0000_B9: ９章－５節ハード突破
MID_MISSION_H_S0000_B9: ９章－５節ハードをクリア。
MID_MISSION_S0000_C1: １章－５節ルナ突破
MID_MISSION_H_S0000_C1: １章－５節ルナティックをクリア。
MID_MISSION_S0000_C2: ２章－５節ルナ突破
MID_MISSION_H_S0000_C2: ２章－５節ルナティックをクリア。
MID_MISSION_S0000_C3: ３章－５節ルナ突破
MID_MISSION_H_S0000_C3: ３章－５節ルナティックをクリア。
MID_MISSION_S0000_C4: ４章－５節ルナ突破
MID_MISSION_H_S0000_C4: ４章－５節ルナティックをクリア。
MID_MISSION_S0000_C5: ５章－５節ルナ突破
MID_MISSION_H_S0000_C5: ５章－５節ルナティックをクリア。
MID_MISSION_S0000_C6: ６章－５節ルナ突破
MID_MISSION_H_S0000_C6: ６章－５節ルナティックをクリア。
MID_MISSION_S0000_C7: ７章－５節ルナ突破
MID_MISSION_H_S0000_C7: ７章－５節ルナティックをクリア。
MID_MISSION_S0000_C8: ８章－５節ルナ突破
MID_MISSION_H_S0000_C8: ８章－５節ルナティックをクリア。
MID_MISSION_S0000_C9: ９章－５節ルナ突破
MID_MISSION_H_S0000_C9: ９章－５節ルナティックをクリア。
MID_MISSION_S0015_TITLE: 闘技場
MID_MISSION_S0015_A1: 闘技場で勝利
MID_MISSION_H_S0015_A1: 闘技場で勝利。
MID_MISSION_S0015_A2: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_A2: 闘技場・中級以上で勝利。
MID_MISSION_S0015_A3: 闘技場で勝利
MID_MISSION_H_S0015_A3: 闘技場で勝利。
MID_MISSION_S0015_B1: 闘技場で勝利
MID_MISSION_H_S0015_B1: 闘技場で勝利。
MID_MISSION_S0015_B2: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_B2: 闘技場・中級以上で勝利。
MID_MISSION_S0015_B3: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_B3: 闘技場・中級以上で勝利。
MID_MISSION_S0015_C1: 闘技場で勝利
MID_MISSION_H_S0015_C1: 闘技場で勝利。
MID_MISSION_S0015_C2: 闘技場・中級以上で勝利
MID_MISSION_H_S0015_C2: 闘技場・中級以上で勝利。
MID_MISSION_S0015_C3: 闘技場・上級で勝利
MID_MISSION_H_S0015_C3: 闘技場・上級で勝利。
MID_MISSION_S0001_TITLE: 兄妹の愛
MID_MISSION_S0001_A1: エフラムで撃破
MID_MISSION_H_S0001_A1: エフラムで、敵を撃破。
MID_MISSION_S0001_A2: エイリークで撃破
MID_MISSION_H_S0001_A2: エイリークで、敵を撃破。
MID_MISSION_S0001_A3: セリスで撃破
MID_MISSION_H_S0001_A3: セリスで、敵を撃破。
MID_MISSION_S0001_A4: ユリアで撃破
MID_MISSION_H_S0001_A4: ユリアで、敵を撃破。
MID_MISSION_S0001_A5: 特殊：外伝１－１節突破
MID_MISSION_H_S0001_A5: 赤属性の仲間を自軍に入れて、\n外伝１－１節をクリア。
MID_MISSION_S0001_A6: 特殊：外伝１－２節突破
MID_MISSION_H_S0001_A6: 弓の仲間を自軍に入れて、\n外伝１－２節をクリア。
MID_MISSION_S0001_A7: 特殊：外伝１－３節突破
MID_MISSION_H_S0001_A7: 騎馬の仲間を自軍に入れて、\n外伝１－３節をクリア。
MID_MISSION_S0001_A8: 特殊：外伝１－１節突破
MID_MISSION_H_S0001_A8: 青属性の仲間を自軍に入れて、\n外伝１－１節をクリア。
MID_MISSION_S0001_A9: 特殊：外伝１－１節ハード突破
MID_MISSION_H_S0001_A9: 緑属性の仲間を自軍に入れて、\n外伝１－１節ハードをクリア。
MID_MISSION_S0001_A10: 特殊：外伝１－２節ハード突破
MID_MISSION_H_S0001_A10: 暗器の仲間を自軍に入れて、\n外伝１－２節ハードをクリア。
MID_MISSION_S0001_A11: 特殊：外伝１－３節ハード突破
MID_MISSION_H_S0001_A11: 飛行の仲間を自軍に入れて、\n外伝１－３節ハードをクリア。
MID_MISSION_S0001_A12: 特殊：外伝１－２節ハード突破
MID_MISSION_H_S0001_A12: 赤魔の仲間を自軍に入れて、\n外伝１－２節ハードをクリア。
MID_MISSION_S0010_TITLE: 剣の極意
MID_MISSION_S0010_A1: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0010_A1: 全員剣の仲間で、\n修練の塔・第３階層をクリア。
MID_MISSION_S0010_A2: 特殊：１章－３節ハード突破
MID_MISSION_H_S0010_A2: 全員剣の仲間で、\n１章－３節ハードをクリア。
MID_MISSION_S0010_A7: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S0010_A7: 全員剣の仲間で、\n修練の塔・第５階層をクリア。
MID_MISSION_S0010_A8: 特殊：３章－２節ハード突破
MID_MISSION_H_S0010_A8: 全員剣の仲間で、\n３章－２節ハードをクリア。
MID_MISSION_S0010_A13: 特殊：修練の塔・第７階層突破
MID_MISSION_H_S0010_A13: 全員剣の仲間で、\n修練の塔・第７階層をクリア。
MID_MISSION_S0010_A14: 特殊：７章－３節ルナ突破
MID_MISSION_H_S0010_A14: 全員剣の仲間で、\n７章－３節ルナティックをクリア。
MID_MISSION_S0011_TITLE: 槍の極意
MID_MISSION_S0011_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0011_A3: 全員槍の仲間で、\n修練の塔・第３階層をクリア。
MID_MISSION_S0011_A4: 特殊：１章－２節ハード突破
MID_MISSION_H_S0011_A4: 全員槍の仲間で、\n１章－２節ハードをクリア。
MID_MISSION_S0011_A9: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S0011_A9: 全員槍の仲間で、\n修練の塔・第５階層をクリア。
MID_MISSION_S0011_A10: 特殊：３章－４節ハード突破
MID_MISSION_H_S0011_A10: 全員槍の仲間で、\n３章－４節ハードをクリア。
MID_MISSION_S0011_A15: 特殊：修練の塔・第７階層突破
MID_MISSION_H_S0011_A15: 全員槍の仲間で、\n修練の塔・第７階層をクリア。
MID_MISSION_S0011_A16: 特殊：７章－２節ルナ突破
MID_MISSION_H_S0011_A16: 全員槍の仲間で、\n７章－２節ルナティックをクリア。
MID_MISSION_S0012_TITLE: 斧の極意
MID_MISSION_S0012_A5: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0012_A5: 全員斧の仲間で、\n修練の塔・第３階層をクリア。
MID_MISSION_S0012_A6: 特殊：１章－４節ハード突破
MID_MISSION_H_S0012_A6: 全員斧の仲間で、\n１章－４節ハードをクリア。
MID_MISSION_S0012_A11: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S0012_A11: 全員斧の仲間で、\n修練の塔・第５階層をクリア。
MID_MISSION_S0012_A12: 特殊：３章－５節ハード突破
MID_MISSION_H_S0012_A12: 全員斧の仲間で、\n３章－５節ハードをクリア。
MID_MISSION_S0012_A17: 特殊：修練の塔・第７階層突破
MID_MISSION_H_S0012_A17: 全員斧の仲間で、\n修練の塔・第７階層をクリア。
MID_MISSION_S0012_A18: 特殊：７章－４節ルナ突破
MID_MISSION_H_S0012_A18: 全員斧の仲間で、\n７章－４節ルナティックをクリア。
MPID_セリス: セリス
MPID_エフラム: エフラム
MPID_エイリーク: エイリーク
MPID_ユリア: ユリア
MPID_HONOR_セリス: 光を継ぐ者
MPID_HONOR_エフラム: 碧空の勇王
MPID_HONOR_エイリーク: 碧風の優王女
MPID_HONOR_ユリア: 神竜を継ぐ者
MPID_H_セリス: 聖剣【ティルフィング】の継承者で、ユリアの異父兄。\n光の公子、救世主と称えられるが、争いを好まない性格。\n（登場：『ファイアーエムブレム　聖戦の系譜』）
MPID_H_エフラム: ルネス王国王子。エイリークの双子の兄。\n妹思いで勇ましい性格だが、その強さゆえの危うさも持つ。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_エイリーク: ルネス王国王女。エフラムの双子の妹。\n兄思いで優しい性格だが、その優しさゆえの弱さも持つ。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_ユリア: 聖なる光の書【ナーガ】の継承者。セリスの異父妹。\n物静かな性格だが、運命に立ち向かう強さも持つ。\n（登場：『ファイアーエムブレム　聖戦の系譜』）
MPID_VOICE_セリス: 内田雄馬
MPID_VOICE_エフラム: 八代拓
MPID_VOICE_エイリーク: 水橋かおり
MPID_VOICE_ユリア: 佐倉綾音
MPID_ILLUST_セリス: 沙汰
MPID_ILLUST_エフラム: 麻谷知世
MPID_ILLUST_エイリーク: 麻谷知世
MPID_ILLUST_ユリア: はいむらきよたか
MSID_ジークリンデ: ジークリンデ
MSID_ジークムント: ジークムント
MSID_ティルフィング: ティルフィング
MSID_ナーガ: ナーガ
MSID_H_ジークリンデ: ターン開始時、周囲１マスの味方の\n攻撃＋３（１ターン）
MSID_H_ジークムント: ターン開始時、周囲１マスの味方の\n攻撃＋３（１ターン）
MSID_H_ティルフィング: 自分のＨＰが５０％以下の時、\n戦闘時、守備＋４
MSID_H_ナーガ: 竜特効\n敵から攻撃された時、守備、魔防＋２
MID_CHAPTER_TITLE_CX000: 外伝１
MID_CHAPTER_CX000: 兄妹の愛
MID_STAGE_TITLE_X0001: 外伝１－１節
MID_STAGE_TITLE_X0002: 外伝１－２節
MID_STAGE_TITLE_X0003: 外伝１－３節
MID_STAGE_X0001: 聖魔の兄妹
MID_STAGE_X0002: 聖戦の兄妹
MID_STAGE_X0003: 兄妹愛再び
MID_STAGE_HONOR_T0001: 謎多き軍師
MID_STAGE_T0001: ルフレ
MID_STAGE_HONOR_V0003: リリース記念
MID_STAGE_V0003: その３
MID_Summon_01_brother01: 新英雄召喚　兄妹の愛
MID_Summon_01_brother01_02: ピックアップ　ルフレ対抗
MID_MISSION_M0002_TITLE: ３月ミッション
MID_MISSION_M0002_A1: 青属性で撃破
MID_MISSION_H_M0002_A1: 青属性の味方で、敵を撃破。
MID_MISSION_M0002_A2: 重装で撃破
MID_MISSION_H_M0002_A2: 重装の味方で、敵を撃破。
MID_MISSION_M0002_A3: 緑属性を撃破
MID_MISSION_H_M0002_A3: 緑属性の敵を撃破。
MID_MISSION_M0002_A4: 歩行を撃破
MID_MISSION_H_M0002_A4: 歩行の敵を撃破。
MID_MISSION_M0002_A5: ＬＶ１０以上を撃破
MID_MISSION_H_M0002_A5: レベル１０以上の敵を撃破。
MID_MISSION_M0002_A6: 暗器で２章－２節突破
MID_MISSION_H_M0002_A6: 暗器の仲間を自軍に入れて、\n２章－２節をクリア。
MID_MISSION_M0002_A7: 修練の塔・第２階層突破
MID_MISSION_H_M0002_A7: 修練の塔・第２階層をクリア。
MID_MISSION_M0002_A8: 闘技場で勝利
MID_MISSION_H_M0002_A8: 闘技場で勝利。
MID_MISSION_M0002_B1: 赤属性で、LV２０以上を撃破
MID_MISSION_H_M0002_B1: 赤属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M0002_B2: 歩行で、LV２０以上を撃破
MID_MISSION_H_M0002_B2: 歩行の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M0002_B3: ＬＶ２０以上の青属性を撃破
MID_MISSION_H_M0002_B3: レベル２０以上の青属性の敵を撃破。
MID_MISSION_M0002_B4: ＬＶ２０以上の重装を撃破
MID_MISSION_H_M0002_B4: レベル２０以上の重装の敵を撃破。
MID_MISSION_M0002_B5: 特殊：３章－１節ハード突破
MID_MISSION_H_M0002_B5: ３章－１節ハード以上を\n３人以下でクリア。
MID_MISSION_M0002_B6: 特殊：３章－５節ハード突破
MID_MISSION_H_M0002_B6: ３章－５節ハード以上を\nシャロンを自軍に入れてクリア。
MID_MISSION_M0002_B7: 修練の塔・第５階層突破
MID_MISSION_H_M0002_B7: 修練の塔・第５階層をクリア。
MID_MISSION_M0002_B8: 闘技場・中級以上で勝利
MID_MISSION_H_M0002_B8: 闘技場・中級以上で勝利。
MID_MISSION_M0002_C1: 緑属性で、LV４０以上を撃破
MID_MISSION_H_M0002_C1: 緑属性の味方で、\nレベル４０以上の敵を撃破。
MID_MISSION_M0002_C2: 飛行で、LV４０以上を撃破
MID_MISSION_H_M0002_C2: 飛行の味方で、\nレベル４０以上の敵を撃破。
MID_MISSION_M0002_C3: ＬＶ４０以上の赤属性を撃破
MID_MISSION_H_M0002_C3: レベル４０以上の赤属性の敵を撃破。
MID_MISSION_M0002_C4: ＬＶ４０以上の騎馬を撃破
MID_MISSION_H_M0002_C4: レベル４０以上の騎馬の敵を撃破。
MID_MISSION_M0002_C5: 特殊：７章－５節ルナ突破
MID_MISSION_H_M0002_C5: ７章－５節ルナティックを\n４人全員重装の仲間で\n４人全員生存でクリア。
MID_MISSION_M0002_C6: 特殊：７章－４節ルナ突破
MID_MISSION_H_M0002_C6: ７章－４節ルナティックを\nカザハナを自軍に入れて\n４人全員生存でクリア。
MID_MISSION_M0002_C7: 修練の塔・第８階層突破
MID_MISSION_H_M0002_C7: 修練の塔・第８階層をクリア。
MID_MISSION_M0002_C8: 闘技場・上級で勝利
MID_MISSION_H_M0002_C8: 闘技場・上級で勝利。
MID_MISSION_S0002_TITLE: 兄妹の絆
MID_MISSION_S0002_A1: クレインで撃破
MID_MISSION_H_S0002_A1: クレインで、敵を撃破。
MID_MISSION_S0002_A2: サナキで撃破
MID_MISSION_H_S0002_A2: サナキで、敵を撃破。
MID_MISSION_S0002_A3: エルトシャンで撃破
MID_MISSION_H_S0002_A3: エルトシャンで、敵を撃破。
MID_MISSION_S0002_A4: ラケシスで撃破
MID_MISSION_H_S0002_A4: ラケシスで、敵を撃破。
MID_MISSION_S0002_A5: ラインハルトで撃破
MID_MISSION_H_S0002_A5: ラインハルトで、敵を撃破。
MID_MISSION_S0002_A6: オルエンで撃破
MID_MISSION_H_S0002_A6: オルエンで、敵を撃破。
MID_MISSION_S0002_A7: 特殊：外伝２－１節突破
MID_MISSION_H_S0002_A7: 無属性の仲間を自軍に入れて、\n外伝２－１節をクリア。
MID_MISSION_S0002_A8: 特殊：外伝２－２節突破
MID_MISSION_H_S0002_A8: 青魔道の仲間を自軍に入れて、\n外伝２－２節をクリア。
MID_MISSION_S0002_A9: 特殊：外伝２－３節突破
MID_MISSION_H_S0002_A9: 歩行の仲間を自軍に入れて、\n外伝２－３節をクリア。
MID_MISSION_S0002_A10: 特殊：外伝２－３節突破
MID_MISSION_H_S0002_A10: 重装の仲間を自軍に入れて、\n外伝２－３節をクリア。
MID_MISSION_S0002_A11: 特殊：外伝２－１節ハード突破
MID_MISSION_H_S0002_A11: 青属性の仲間を自軍に入れて、\n外伝２－１節ハードをクリア。
MID_MISSION_S0002_A12: 特殊：外伝２－２節ハード突破
MID_MISSION_H_S0002_A12: 緑魔道の仲間を自軍に入れて、\n外伝２－２節ハードをクリア。
MID_MISSION_S0002_A13: 特殊：外伝２－３節ハード突破
MID_MISSION_H_S0002_A13: 飛行の仲間を自軍に入れて、\n外伝２－３節ハードをクリア。
MID_MISSION_S0002_A14: 特殊：外伝２－１節ハード突破
MID_MISSION_H_S0002_A14: 緑属性の仲間を自軍に入れて、\n外伝２－１節ハードをクリア。
MPID_エルトシャン: エルトシャン
MPID_クレイン: クレイン
MPID_ラインハルト: ラインハルト
MPID_オルエン: オルエン
MPID_ラケシス: ラケシス
MPID_サナキ: サナキ
MPID_HONOR_エルトシャン: 獅子王
MPID_HONOR_クレイン: 銀の貴公子
MPID_HONOR_ラインハルト: 雷神の右腕
MPID_HONOR_オルエン: 青の魔道騎士
MPID_HONOR_ラケシス: 獅子王の妹姫
MPID_HONOR_サナキ: ベグニオンの神使
MPID_H_エルトシャン: ノディオン王であり、ラケシスの兄。\n魔剣【ミストルティン】を手に、主君への忠誠を貫く。\n（登場：『ファイアーエムブレム　聖戦の系譜』）
MPID_H_クレイン: エトルリア王国の若き将軍。クラリーネの兄。\n身分の違いを気にせず、皆と分け隔てなく接する。\n（登場：『ファイアーエムブレム　封印の剣』）
MPID_H_ラインハルト: フリージ軍の魔道騎士で、オルエンの兄。\n優れた人格者であり、妹の良き理解者。\n（登場：『ファイアーエムブレム　トラキア７７６』）
MPID_H_オルエン: フリージ軍の魔道騎士で、ラインハルトの妹。\n自分の信じる正義のため、尊敬する兄と袂を分かつ。\n（登場：『ファイアーエムブレム　トラキア７７６』）
MPID_H_ラケシス: ノディオン王家の王女で、エルトシャンの妹。\n兄を敬愛しており、兄以外の男性には興味がない。\n（登場：『ファイアーエムブレム　聖戦の系譜』）
MPID_H_サナキ: ベグニオン帝国皇帝であり、女神の声を聴く神使。\n幼いながらも為政者としての責務を果たす。\n（登場：『ファイアーエムブレム　暁の女神』）
MPID_VOICE_エルトシャン: 間島淳司
MPID_VOICE_クレイン: 太田悠介
MPID_VOICE_ラインハルト: 利根健太朗
MPID_VOICE_オルエン: 高橋美佳子
MPID_VOICE_ラケシス: 大西沙織
MPID_VOICE_サナキ: 中原麻衣
MPID_ILLUST_エルトシャン: п猫Ｒ
MPID_ILLUST_クレイン: Tobi
MPID_ILLUST_ラインハルト: cuboon
MPID_ILLUST_オルエン: cuboon
MPID_ILLUST_ラケシス: みわべさくら
MPID_ILLUST_サナキ: 富岡二郎
MSID_シムベリン: シムベリン
MSID_ダイムサンダ: ダイムサンダ
MSID_ミストルティン: ミストルティン
MSID_H_シムベリン: 自分から攻撃した時、戦闘後、\n自分の周囲１マスの味方の攻撃＋４（１ターン）
MSID_H_ダイムサンダ: 自分から攻撃した時、２回攻撃\n速さ－５
MSID_H_ミストルティン: 奥義が発動しやすい（発動カウント－１）
MID_CHAPTER_TITLE_CX001: 外伝２
MID_CHAPTER_CX001: 兄妹の絆
MID_STAGE_TITLE_X0004: 外伝２－１節
MID_STAGE_TITLE_X0005: 外伝２－２節
MID_STAGE_TITLE_X0006: 外伝２－３節
MID_STAGE_X0004: 兄と妹
MID_STAGE_X0005: 青雷の兄妹
MID_STAGE_X0006: 獅子王と妹
MID_STAGE_HONOR_T0004: 蒼鴉
MID_STAGE_T0004: ウルスラ
MID_STAGE_HONOR_V0004: リリース記念
MID_STAGE_V0004: その４
MID_STAGE_HONOR_V0005: リリース記念
MID_STAGE_V0005: その５
MID_Summon_02_brother02: 新英雄召喚　兄妹の絆
MID_Summon_02_brother02_02_A: ピックアップ　王子編
MID_Summon_02_brother02_02_B: ピックアップ　王女編
MID_Summon_02_brother02_03: ピックアップ　ウルスラ対抗
MID_DAILY_LOGIN_BONUS_SUMMON_NEW: 新英雄登場記念ログインボーナス
MID_DAILY_LOGIN_BONUS_SUMMON_PICK: ピックアップ召喚記念ログインボーナス
MID_DAILY_LOGIN_BONUS_TRAINING: 育成応援ログインボーナス
MID_DAILY_LOGIN_BONUS_BEGINNER: 初心者応援ログインボーナス
MID_MISSION_S0004_TITLE: 烈火の暗影
MID_MISSION_S0004_A1: カレルで撃破
MID_MISSION_H_S0004_A1: カレルで、敵を撃破。
MID_MISSION_S0004_A2: ジャファルで撃破
MID_MISSION_H_S0004_A2: ジャファルで、敵を撃破。
MID_MISSION_S0004_A3: ルセアで撃破
MID_MISSION_H_S0004_A3: ルセアで、敵を撃破。
MID_MISSION_S0004_A4: プリシラで撃破
MID_MISSION_H_S0004_A4: プリシラで、敵を撃破。
MID_MISSION_S0004_A5: ニニアンで撃破
MID_MISSION_H_S0004_A5: ニニアンで、敵を撃破。
MID_MISSION_S0004_A6: レベッカで撃破
MID_MISSION_H_S0004_A6: レベッカで、敵を撃破。
MID_MISSION_S0004_A7: 特殊：外伝３－１節突破
MID_MISSION_H_S0004_A7: 無属性の仲間を自軍に入れて、\n外伝３－１節をクリア。
MID_MISSION_S0004_A8: 特殊：外伝３－２節突破
MID_MISSION_H_S0004_A8: 杖の仲間を自軍に入れて、\n外伝３－２節をクリア。
MID_MISSION_S0004_A9: 特殊：外伝３－３節突破
MID_MISSION_H_S0004_A9: 歩行の仲間を自軍に入れて、\n外伝３－３節をクリア。
MID_MISSION_S0004_A10: 特殊：外伝３－２節突破
MID_MISSION_H_S0004_A10: 剣の仲間を自軍に入れて、\n外伝３－２節をクリア。
MID_MISSION_S0004_A11: 特殊：外伝３－１節ハード突破
MID_MISSION_H_S0004_A11: 赤属性の仲間を自軍に入れて、\n外伝３－１節ハードをクリア。
MID_MISSION_S0004_A12: 特殊：外伝３－２節ハード突破
MID_MISSION_H_S0004_A12: 槍の仲間を自軍に入れて、\n外伝３－２節ハードをクリア。
MID_MISSION_S0004_A13: 特殊：外伝３－３節ハード突破
MID_MISSION_H_S0004_A13: 重装の仲間を自軍に入れて、\n外伝３－３節ハードをクリア。
MID_MISSION_S0004_A14: 特殊：外伝３－３節ハード突破
MID_MISSION_H_S0004_A14: 騎馬の仲間を自軍に入れて、\n外伝３－３節ハードをクリア。
MID_MISSION_S0013_TITLE: 育成応援
MID_MISSION_S0013_A1: 赤属性で撃破
MID_MISSION_H_S0013_A1: 赤属性の味方で、敵を撃破。
MID_MISSION_S0013_A2: 青属性で撃破
MID_MISSION_H_S0013_A2: 青属性の味方で、敵を撃破。
MID_MISSION_S0013_A3: 緑属性で撃破
MID_MISSION_H_S0013_A3: 緑属性の味方で、敵を撃破。
MID_MISSION_S0013_A4: 無属性で撃破
MID_MISSION_H_S0013_A4: 無属性の味方で、敵を撃破。
MID_MISSION_S0013_A5: 歩行で撃破
MID_MISSION_H_S0013_A5: 歩行の味方で、敵を撃破。
MID_MISSION_S0013_A6: 重装で撃破
MID_MISSION_H_S0013_A6: 重装の味方で、敵を撃破。
MID_MISSION_S0013_A7: 騎馬で撃破
MID_MISSION_H_S0013_A7: 騎馬の味方で、敵を撃破。
MID_MISSION_S0013_A8: 飛行で撃破
MID_MISSION_H_S0013_A8: 飛行の味方で、敵を撃破。
MID_MISSION_S0021ENCOUNT01_TITLE: 修練の塔
MID_MISSION_S0021ENCOUNT01_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_S0021ENCOUNT01_A1: アルフォンスを自軍に入れて、\n修練の塔・第１階層を\n４人全員生存でクリア。
MID_MISSION_S0021ENCOUNT01_A2: 特殊：修練の塔・第２階層突破
MID_MISSION_H_S0021ENCOUNT01_A2: シャロンを自軍に入れて、\n修練の塔・第２階層を\n４人全員生存でクリア。
MID_MISSION_S0021ENCOUNT01_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_S0021ENCOUNT01_A3: アンナを自軍に入れて、\n修練の塔・第３階層を\n４人全員生存でクリア。
