[Heroes Archive] (Data_482_legend03)


Heroes Message Name: Message


MID_MISSION_M201804A_TITLE: ４月ミッションＡ
MID_MISSION_S201804KIZUNA01_A1: 特殊：絆英雄戦突破
MID_MISSION_H_S201804KIZUNA01_A1: アスク王国の王子アルフォンスを自軍に入れて、\n絆英雄戦・ミネルバ＆マリアをクリア。
MID_MISSION_S201804KIZUNA01_A2: 特殊：絆英雄戦突破
MID_MISSION_H_S201804KIZUNA01_A2: フィヨルムを自軍に入れて、\n絆英雄戦・ミネルバ＆マリア\nルナティック以上をクリア。
MID_MISSION_S201804KIZUNA01_A3: 特殊：ミネルバを撃破
MID_MISSION_H_S201804KIZUNA01_A3: アスク王国の王子アルフォンスで、\nレベル４０以上のミネルバを撃破。
MID_MISSION_S201804KIZUNA01_A4: 特殊：マリアを撃破
MID_MISSION_H_S201804KIZUNA01_A4: フィヨルムで、\nレベル４０以上のマリアを撃破。
MID_MISSION_S201804KIZUNA01_A5: 特殊：絆英雄戦突破
MID_MISSION_H_S201804KIZUNA01_A5: 全員飛行の仲間で、\n絆英雄戦・ミネルバ＆マリア\nルナティック以上をクリア。
MID_MISSION_S201804TRIAL01_TITLE: 連戦トライアル
MID_MISSION_S201804TRIAL01_A1: 特殊：連戦トライアル突破
MID_MISSION_H_S201804TRIAL01_A1: 連戦トライアル外伝１\n最終マップをクリア。
MID_MISSION_S201804TRIAL01_A2: 特殊：連戦トライアル突破
MID_MISSION_H_S201804TRIAL01_A2: 連戦トライアル外伝２\n最終マップハード以上をクリア。
MID_MISSION_S201804TRIAL01_A3: 特殊：連戦トライアル突破
MID_MISSION_H_S201804TRIAL01_A3: 連戦トライアル外伝１～２\n最終マップルナティックをクリア。
MID_MISSION_S201804TRIAL01_A4: 特殊：縛鎖の迷宮突破
MID_MISSION_H_S201804TRIAL01_A4: 縛鎖の迷宮第５迷宮\n最終マップをクリア。
MID_MISSION_S201804VOTE01_TITLE: 投票大戦
MID_MISSION_S201804VOTE01_A1: 投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A1: 投票大戦をクリア。
MID_MISSION_S201804VOTE01_A2: 投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A2: 投票大戦をクリア。
MID_MISSION_S201804VOTE01_A3: 投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A3: 投票大戦をクリア。
MID_MISSION_S201804VOTE01_A4: 投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A4: 投票大戦をクリア。
MID_MISSION_S201804VOTE01_A5: 投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A5: 投票大戦をクリア。
MID_MISSION_S201804VOTE01_A6: 修練の塔・第２階層突破
MID_MISSION_H_S201804VOTE01_A6: 修練の塔・第２階層をクリア。
MID_MISSION_S201804VOTE01_A7: 修練の塔・第５階層突破
MID_MISSION_H_S201804VOTE01_A7: 修練の塔・第５階層をクリア。
MID_MISSION_S201804VOTE01_A8: 修練の塔・第８階層突破
MID_MISSION_H_S201804VOTE01_A8: 修練の塔・第８階層をクリア。
MID_MISSION_S201804VOTE01_A9: 闘技場で勝利
MID_MISSION_H_S201804VOTE01_A9: 闘技場で勝利。
MID_MISSION_S201804VOTE01_A10: 闘技場で勝利
MID_MISSION_H_S201804VOTE01_A10: 闘技場で勝利。
MID_MISSION_S201804VOTE01_A11: 闘技場・中級以上で勝利
MID_MISSION_H_S201804VOTE01_A11: 闘技場・中級以上で勝利。
MID_MISSION_S201804VOTE01_A12: 闘技場・中級以上で勝利
MID_MISSION_H_S201804VOTE01_A12: 闘技場・中級以上で勝利。
MID_MISSION_S201804VOTE01_A13: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A13: 赤属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A14: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A14: 青属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A15: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A15: 緑属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A16: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A16: 無属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A17: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A17: 赤属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A18: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A18: 青属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A19: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A19: 緑属性の仲間を自軍に入れて、\n投票大戦をクリア。
MID_MISSION_S201804VOTE01_A20: 特殊：投票大戦で勝利
MID_MISSION_H_S201804VOTE01_A20: 無属性の仲間を自軍に入れて、\n投票大戦をクリア。
MPID_伝承ルフレ女: ルフレ
MPID_HONOR_伝承ルフレ女: 邪竜の応身
MPID_H_伝承ルフレ女: イーリス聖王国の軍師であるルフレが、\n邪竜ギムレーに心身を支配された姿。\n（登場：『ファイアーエムブレム　覚醒』）
MPID_VOICE_伝承ルフレ女: 沢城みゆき
MPID_ILLUST_伝承ルフレ女: チーコ
MPID_LEGEND_伝承ルフレ女: 伝承効果：「地」　仲間のＨＰ＋３、速さ＋３\n「地」のシーズンの時、\n「地」の祝福を付与された仲間は、\nこの英雄と共に出撃すると、伝承効果を受ける。
MSID_邪竜の鱗: 邪竜の鱗
MSID_魔防の紫煙1: 魔防の紫煙１
MSID_魔防の紫煙2: 魔防の紫煙２
MSID_魔防の紫煙3: 魔防の紫煙３
MSID_H_邪竜の鱗: 飛行特効無効\n敵から攻撃された時、戦闘中、\n守備、魔防＋４
MSID_H_魔防の紫煙1: 戦闘後、敵の周囲２マスの敵の魔防－３\n（敵の次回行動終了まで）
MSID_H_魔防の紫煙2: 戦闘後、敵の周囲２マスの敵の魔防－５\n（敵の次回行動終了まで）
MSID_H_魔防の紫煙3: 戦闘後、敵の周囲２マスの敵の魔防－７\n（敵の次回行動終了まで）
MID_STAGE_HONOR_T0028: チキ　＆
MID_STAGE_T0028: ノノ
MID_STAGE_HONOR_L0001: 邪竜の応身
MID_STAGE_L0001: ルフレ
